date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.06 » 20.06,,,Tour de Serbie (2.5) ,,,,2004
16.06,DNF,,Stage 2 - Banja Koviljaca › Cacak ,185,,,2004
15.06,71,69,Stage 1 - Beograd  › Banja Koviljaca ,157,,,2004
23.05 » 30.05,,,FBD Milk Ras (2.5) ,,,,2004
,40,,General classification ,,,,2004
29.05,10,,Stage 7 - Carrick › Tullow ,149,,,2004
23.05,19,,Stage 1 - Dublin › Trim ,132,,,2004
26.04 » 02.05,,,Ruban Granitier Breton (2.6) ,,,,2004
,12,,Mountains classification ,,,,2004
,29,,Points classification ,,,,2004
,21,,General classification ,,,,2004
02.05,33,,Stage 6 - Saint-James › Dinan ,153.5,,,2004
01.05,32,20,Stage 5 - Missillac › Dol-de-Bretagne ,187.9,,,2004
30.04,5,20,Stage 4 - Sarzeau › Missillac ,133.8,,,2004
29.04,48,65,Stage 3 - Névez › Saint-Gildas-de-Rhuys ,167.7,,,2004
28.04,89,72,Stage 2 - Bourbriac › Névez ,172.7,,,2004
27.04,85,80,Stage 1 - Rennes › Saint-Brieuc ,147.9,,,2004
26.04,41,41,Prologue - Cesson-Sévigné › Cesson-Sévigné ,4.2,,,2004
18.02 » 24.02,,,UAE International Emirates Post Tour (2.5) ,,,,2004
23.02,4,,Stage 5 - Fujairah (Hatta Fort Hotel) › Dubai ,145,,,2004
21.02,2,3,Stage 3 - Ras al Khaimah › Khor Fakkan (Oceanic Hotel) ,151,2,,2004
18.02,3,3,Prologue - Dubai › Dubai ,6,1,,2004
30.04 » 04.05,,,Ringerike GP (2.5) ,,,,2003
04.05,DNF,,Stage 5 - Hønefoss  › Hønefoss  ,169.2,,,2003
03.05,80,66,Stage 4 - Hønefoss  › Hønefoss  ,168.2,,,2003
02.05,92,74,Stage 3 - Hønefoss  › Ringerike ,146.6,,,2003
01.05,101,35,Stage 2 - Hønefoss  › Hønefoss  ,150.9,,,2003
30.04,80,,Stage 1 - Hønefoss  › Hønefoss  ,157.7,,,2003
02.04 » 06.04,,,Cinturón Ciclista Internacional a Mallorca (2.6) ,,,,2003
,24,,General classification ,,,,2003
06.04,34,,Stage 5 - Palma › Castillo Bellver ,93.8,,,2003
05.04,58,17,Stage 4 - Santa Margarita › Santa Margarita ,144,,,2003
04.04,19,18,Stage 3 - Son Ferriol › Alto de Cura ,144.8,,,2003
03.04,62,26,Stage 2 - Puerto Pollensa › Puerto Pollensa ,66,,,2003
02.04,35,35,Stage 1 (ITT) - Playa de Palma › Playa de Palma ,7.1,,,2003
30.03,6,,Archer International Grand Prix (1.5) ,198,1,,2003
03.08,DNS,,Commonwealth Games - Road Race (JR) ,187.2,,,2002
12.05,1,,Lincoln International GP (1.5) ,164,15,,2002
07.04,15,,Archer Grand Prix (1.5) ,190,,,2002
27.07,10,,Manx International (1.5) ,181,,,2001
13.05,5,,Lincoln International GP (1.5) ,164,2,,2001
29.09 » 02.10,,,Circuit Franco-Belge (2.4) ,,,,2000
01.10,94,90,Stage 3 - Marquette-lez-Lille › Jurbise ,128.7,,,2000
30.09,103,,Stage 2 (ITT) - La Gorgue › La Gorgue ,14.3,,,2000
29.09,91,91,Stage 1 - Aubechies › Mont de l'Enclus ,187,,,2000
25.06,10,,National Championships Great Britain - Road Race (NC) ,206,,,2000
02.06 » 08.06,,,Tour de Serbie (2.5) ,,,,2000
08.06,1,,Stage 7 - Cuprija › Arancelovac ,153,5,,2000
20.05 » 28.05,,,Olympia's Tour () ,,,,2000
25.05,DNF,,Stage 5 - Born › Rhenoy ,189,,,2000
24.05,88,,Stage 4 - Buchten › Buchten ,185,,,2000
23.05,66,,Stage 3 - Rockanje › Ossendrecht ,163,,,2000
22.05,72,,Stage 2 - Tilburg › Rockanje ,189,,,2000
21.05,103,,Stage 1 - Tilburg › Tilburg ,150,,,2000
20.05,43,,Prologue - Tilburg › Tilburg ,6,,,2000
07.05,10,,Lincoln International GP (1.5) ,163,,,2000
09.04,3,,Archer Grand Prix (1.5) ,171,7,,2000
27.06,7,,National Championships Great Britain - Road Race (NC) ,209,,,1999
25.06,2,,Manx Premier Trophy () ,183,10,,1999
23.05 » 29.05,,,Prudential Tour () ,,,,1999
29.05,DNF,,Stage 7b - Edinburgh › Edinburgh ,48.3,,,1999
29.05,67,,Stage 7a - Carlisle › Edinburgh ,148,,,1999
28.05,74,,Stage 6 - Liverpool › Blackpool ,166,,,1999
27.05,36,,Stage 5 - Swansea › Birmingham ,214,,,1999
26.05,38,,Stage 4 - Bristol › Swansea ,172,,,1999
25.05,59,,Stage 3 - Winchester › Bristol ,171,,,1999
24.05,8,,Stage 2a - Medway › Portsmouth ,178.5,1,,1999
24.05,72,,Stage 2b (ITT) - Portsmouth › Portsmouth ,5,,,1999
23.05,24,,Stage 1 - Westminster › Westminster ,81,,,1999
09.05,7,,Lincoln Grand Prix (1.5) ,164,,,1999
27.07,1,,National Championships Great Britain MJ - Road Race (NC) ,93,50,,1994
