date,result ranking,general classification,race name,distance,PCS point,UCI point
05.10,24,,Memorial Galera - Ciudad de Armilla (1.3),145,,
06.09 » 26.09,,,Vuelta a España (),,,
,109,,Points classification,,,
,130,,General classification,,20,
26.09,30,,Stage 21 - Madrid  ›  Madrid,145.8,,
25.09,137,130,Stage 20 (ITT) - San Lorenzo de El Escorial  ›  Alto de Abantos,11.2,,
24.09,104,130,Stage 19 - Alcobendas  ›  Collado Villalba ,164,,
23.09,141,130,Stage 18 - Las Rozas  ›  Las Rozas,143.8,,
22.09,145,132,Stage 17 - Granada ›  Córdoba,188.4,,
21.09,134,127,Stage 16 - Jaén ›  Sierra Nevada,162,,
20.09,144,120,Stage 15 - Valdepeñas  › La Pandera,172.1,,
19.09,57,111,Stage 14 - Albacete › Valdepeñas,167.4,,
18.09,95,115,Stage 13 (ITT) - Albacete  ›  Albacete,53.3,,
17.09,31,114,Stage 12 - Cuenca › Albacete,168.8,,
16.09,97,127,Stage 11 - Utiel  ›  Cuenca,162,,
15.09,15,137,Stage 10 - Andorra › Sabadell,194,1,
14.09,115,145,Stage 9 - Viella › Port d'Envalira ,174.8,,
13.09,96,145,Stage 8 - Cauterets › Pla de Beret ,166,,
12.09,121,146,Stage 7 - Huesca › Cauterets,190,,
11.09,127,137,Stage 6 (ITT) - Zaragoza  ›  Zaragoza,43.8,,
10.09,17,137,Stage 5 - Soria › Zaragoza,166.7,,
09.09,22,146,Stage 4 - Santander  ›  Burgos,151,,
08.09,147,159,Stage 3 - Cangas de Onís › Santander,154.3,,
07.09,150,166,Stage 2 - Gijón  ›  Cangas de Onís,148,,
06.09,22,176,Stage 1 (TTT) - Gijón  ›  Gijón,30,,
17.08,34,,Gran Premio Llodio (1.3),177,,
31.07,25,,Circuito de Getxo (1.1),185.3,,
25.07,31,,GP Villafranca de Ordizia (1.2),165,,
20.05 » 24.05,,,Vuelta a Castilla y Leon (2.3),,,
24.05,DNF,,Stage 5 - Avila › Avila,182,,
23.05,106,118,Stage 4 - El Burgo de Osma › La Granja de San Ildefonso,173.4,,
22.05,74,116,Stage 3 - Lerma › Almazan,164.3,,
20.05,133,133,Stage 1 - San Andrés del Rabanedo › Valladolid,165.6,,
16.04 » 20.04,,,Vuelta a Aragon (2.2),,,
19.04,DNS,,Stage 4 - La Muela › Borja,168.5,,
18.04,104,67,Stage 3 - Illueca › Illueca,157,,
17.04,33,56,Stage 2 - Benasque › Sabiñanigo,185.2,,
16.04,68,68,Stage 1 - Huesca › Cerler,152.2,,
24.03 » 28.03,,,Setmana-Catalana (2.1),,,
,86,,General classification,,,
28.03,88,,Stage 5 - Bagá › Vic,176,,
27.03,100,100,Stage 4 - Parets del Vallès › Coll de Pal,144,,
26.03,25,91,Stage 3 - Castelló de Ampurias  › Parets ,174.8,,
25.03,96,92,Stage 2 - Lloret de Mar  › Empuriabrava,158.7,,
24.03,90,90,Stage 1 - Lloret de Mar  › Lloret de Mar ,146.7,,
05.03 » 09.03,,,Vuelta a Murcia (2.3),,,
,58,,General classification,,,
09.03,40,,Stage 5 (ITT) - Murcia › Murcia,12.9,,
08.03,34,61,Stage 4 - Cartagena › Alto de La Santa,167,,
07.03,90,98,Stage 3 - Caravaca › Caravaca,160.8,,
06.03,129,128,Stage 2 - Alguazas › Alto Cresta del Gallo,153.6,,
05.03,38,40,Stage 1 - Murcia › Ceuti,162.2,,
02.03,6,,Clasica de Almeria (1.3),187,24,
25.02 » 01.03,,,Vuelta Ciclista a la Comunidad Valenciana (2.3),,,
,74,,General classification,,,
01.03,123,,Stage 5 - Valencia › Valencia,165,,
28.02,92,71,Stage 4 - Sagunto › Alto del Campello,158.2,,
27.02,70,69,Stage 3 - Onda › Sagunto,157.6,,
26.02,74,78,Stage 2 - Xorret de Cati › Villajoyosa,159.7,,
25.02,72,72,Stage 1 (ITT) - San Vicente del Raspeig › San Vicente del Raspeig,9.7,,
23.02,4,,Trofeo Luis Puig (1.2),172.4,32,
03.02,114,,Trofeo Cala: Cala Bona - Cala Rajada (1.3),164.5,,
02.02,35,,Trofeo Mallorca (1.3),80,,
02.06,21,,Tro-Bro Léon (1.3),184.3,,
07.04,51,,GP de la Ville de Rennes (),158,,
24.03,45,,Cholet-Pays de Loire (1.2),202,,
06.03 » 10.03,,,Vuelta Ciclista a Murcia (2.3),,,
,75,,General classification,,,
10.03,70,,Stage 5 (ITT) - Murcia › Murcia,12.9,,
09.03,74,76,Stage 4 - Ceuti › Alhama,173.6,,
08.03,67,65,Stage 3 - Molina › Alguazas,180.3,,
07.03,76,70,Stage 2 - Beniel › San Javier,160.3,,
06.03,48,50,Stage 1 - Murcia › Fortuna,176.8,,
26.02 » 02.03,,,Vuelta Ciclista a la Comunidad Valenciana (2.3),,,
,100,,General classification,,,
02.03,86,,Stage 5 (ITT) - Valencia › Valencia,20.3,,
01.03,52,,Stage 4 - Tavernes › Vallada,148,,
28.02,121,,Stage 3 - Castellón › Segorbe  ,157.9,,
27.02,8,,Stage 2 - Calpe  › Castellón,216,1,
26.02,78,,Stage 1 - Calpe  › Calpe ,126,,
24.02,82,,Trofeo Luis Puig (1.2),180.2,,
04.02,19,,Trofeo Cala: Cala Millor - Son Servera (1.1),152,2,
02.08 » 15.08,,,Volta a Portugal (2.3),,,
,106,,General classification,,,
07.08,104,,Stage 6 - Reguengos de Monsara › Cabeço do Mouro (Portalegre),158.5,,
04.07 » 08.07,,,Volta ao Alentejo (2.4),,,
05.07,5,,Stage 2 - Portel › Grândola,165,,
04.07,5,,Stage 1 - Beja › Beja,208,,
02.05 » 06.05,,,Grande Prémio Jornal de Notícias (2.5),,,
,53,,General classification,,,
05.05,16,,Stage 4 - Porto › Lordelo,142.5,,
04.05,1,,Stage 3 - Porto › Matosinhos,147.2,5,
03.05,20,,Stage 2 - Porto › Gondomar,145,,
02.05,27,,Stage 1 - Porto › Gaia,160.4,,
11.02 » 15.02,,,Volta ao Algarve (),,,
,108,,General classification,,,
15.02,68,,Stage 5 - Loulé › Loulé,174.8,,
14.02,9,,Stage 4 - Portimão › Portimão,169.9,,
13.02,121,,Stage 3 - Faro › Fóia,170.5,,
12.02,145,,Stage 2 - Castro Marim › Albufeira,168.3,,
11.02,72,,Stage 1 - Tavira › Tavira,171.7,,
24.07 » 06.08,,,Volta a Portugal (2.3),,,
26.07,171,,Stage 3 - Odivelas › Leiria,194.5,,
25.07,5,,Stage 2 - Palmela › Odivelas,191,4,
24.07,73,,Stage 1 - Loulé › Loulé,172.7,,
25.04 » 29.04,,,Volta ao Alentejo (2.5),,,
29.04,6,,Stage 5 - Monforte › Évora,185.8,,
26.04,22,,Stage 2 - Sines › Beja,198.8,,
17.05 » 23.05,,,Circuito Montañes (2.5),,,
20.05,1,,Stage 4 - Laredo › Maliano,103,5,
28.04 » 02.05,,,Volta ao Alentejo (2.5),,,
02.05,5,,Stage 5 - Cabeço de Vide › Évora,153,,
