date,result ranking,general classification,race name,distance,PCS point,UCI point
14.11 » 16.11,,,Tour of Fuzhou (2.2),,,
,20,,General classification,,,
16.11,74,,Stage 3 - Yongtai › Yongtai,130.3,,
15.11,19,20,Stage 2 - Yongtai › Yunding,133,,
14.11,53,56,Stage 1 - Fuzhou › Fuzhou,119.4,,
10.11 » 11.11,,,Tour of Yancheng Coastal Wetlands (2.2),,,
,84,,General classification,,,
11.11,90,,Stage 2 - Dongtan › Dongtan,134.5,,
10.11,84,84,Stage 1 - Yancheng › Guandong,186,,
31.10 » 08.11,,,Tour of Taihu Lake (2.1),,,
,45,,General classification,,,
08.11,89,,Stage 9 - Wujiang › Wujiang,90.4,,
07.11,80,43,Stage 8 - Haining › Yanguan,143.6,,
06.11,44,40,Stage 7 - Wuxing › Changxing,139.5,,
05.11,83,44,Stage 6 - Yixing Yangxian › Yixing Yangxian,123.3,,
04.11,57,45,Stage 5 - Chishanhu Lake State wetlands Park › Maoshan Mountain,130.6,,
03.11,56,59,Stage 4 - Wujin Yancheng Park › Xitaihu Lake,113,,
02.11,79,83,Stage 3 - Haimen › Haimen,133,,
01.11,86,86,Stage 2 - Nantong › Haimen,120.9,,
31.10,87,87,Stage 1 - Wuxi Binhu › Wuxi Binhu,142,,
20.10 » 28.10,,,Tour of Hainan (2.HC),,,
25.10,DNF,,Stage 6 - Qiongzhong › Sanya,174.1,,
24.10,41,71,Stage 5 - Chengmai › Qiongzhong,191.9,,
23.10,106,80,Stage 4 - Haikou › Chengmai,237,,
22.10,105,77,Stage 3 - Wenchang › Haikou,130.7,,
21.10,61,63,Stage 2 - Xinglong › Wenchang,188.3,,
20.10,81,81,Stage 1 - Xinglong › Xinglong,76.1,,
11.10 » 18.10,,,Tour of China II (2.1),,,
,89,,General classification,,,
18.10,100,,Stage 6 - Zhuhai › Zhuhai,82.7,,
17.10,61,73,Stage 5 - Qingyuan  › Qingyuan ,146.7,,
15.10,82,78,Stage 4 - Chenzhou › Zixing,136.3,,
14.10,94,85,Stage 3 - Shaoshan › Shaoshan,127.8,,
13.10,83,79,Stage 2 - Shaoyang Langshan › Shaoyang Langshan,131,,
11.10,68,70,Stage 1 - Chongqing Banan › Chongqing Banan,134.9,,
02.10 » 09.10,,,Tour of China I (2.1),,,
,29,,General classification,,,
09.10,95,,Stage 6 - Leshan › Leshan,138.6,,
08.10,34,29,Stage 5 - Bazhong › PingChang,156.1,,
06.10,61,60,Stage 4 - Wuhan › Wuhan,109.2,,
05.10,54,87,Stage 3 - Huang shi › Huang shi,130,,
03.10,91,88,Stage 2 (ITT) - Tianjin › Tianjin,3.1,,
02.10,102,102,Stage 1 - Tianjin › Tianjin,109.2,,
05.07 » 18.07,,,Tour of Qinghai Lake (2.HC),,,
,46,,General classification,,,
18.07,104,,Stage 13 - Shuitonggou › Yinchuan,135,,
17.07,101,46,Stage 12 - Zhongwei › Zhongwei,120,,
16.07,66,46,Stage 11 - Tianshui › Pingliang,235,,
15.07,93,49,Stage 10 - Tianshui › Tianshui,100,,
13.07,76,49,Stage 9 - Linxia › Dingxi,203,,
12.07,86,50,Stage 8 - Xunhua › Linxia,126,,
11.07,77,51,Stage 7 - Guide › Xunhua,190,,
10.07,79,40,Stage 6 - Gonghe › Guide,138,,
09.07,57,32,Stage 5 - Xihaizhen › Gonghe,133,,
08.07,56,22,Stage 4 - Qinghai Lake › Gangcha,185,,
07.07,19,21,Stage 3 - Xining › Qinghai Lake,148,,
06.07,85,97,Stage 2 - Duoba › Datong,188,,
05.07,101,101,Stage 1 - Xining › Xining,121,,
28.06,29,,National Championships Russia - Road Race (NC),204,,
07.06 » 14.06,,,Tour de Korea (2.1),,,
,28,,Points classification,,,
,24,,General classification,,,
14.06,52,,Stage 8 - Seoul › Seoul,65,,
13.06,22,12,Stage 7 - Gunsan › Daejun,145.8,,
12.06,28,11,Stage 6 - Gangjin › Gunsan,193.7,,
11.06,16,10,Stage 5 - Yeosu › Gangjin,175,,
10.06,28,10,Stage 4 - Muju › Yeosu,207,,
09.06,8,10,Stage 3 - Muju › Muju,99,1,
08.06,19,16,Stage 2 - Gumi › Muju,174.4,,
07.06,12,15,Stage 1 - Busan › Gumi,189.1,,
28.05 » 31.05,,,Tour de Kumano (2.2),,,
,10,,Mountains classification,,,
,5,,Points classification,,,
,2,,General classification,,18,30
31.05,9,,Stage 3 - Taiji › Taiji,100,,
30.05,2,2,Stage 2 - Kumano › Kumano,109.3,2,5
29.05,74,60,Stage 1 - Akagigawa › Akagigawa,114.1,,
28.05,76,76,Prologue - Shingu City › Shingu City,0.7,,
17.05 » 24.05,,,Tour of Japan (2.1),,,
,15,,Mountains classification,,,
,22,,Points classification,,,
,28,,General classification,,,
