date,result ranking,general classification,race name,distance,PCS point,UCI point
09.10,87,,Paris - Tours (1.HC),230.5,,
02.10,9,,Tour de Vendée (1.HC),205,26,
20.08 » 11.09,,,Vuelta a España (WT),,,
,58,,Mountains classification,,,
,98,,Points classification,,,
,71,,General classification,,20,
11.09,127,,Stage 21 - Circuito del Jarama › Madrid,94,,
10.09,13,71,Stage 20 - Bilbao › Vitoria,187,3,
09.09,61,75,Stage 19 - Noja › Bilbao,157.9,,
08.09,115,78,Stage 18 - Solares › Noja,169.7,,
07.09,76,80,Stage 17 - Faustino V › Peña Cabarga,212.5,,
06.09,34,80,Stage 16 - Villa Romana La Olmeda (Palencia) › Haro,180,,
04.09,112,82,Stage 15 - Avilés › Anglirú,144,,
03.09,33,80,Stage 14 - Astorga › La Farrapona. Lagos De Somiedo,173.2,,
02.09,87,95,Stage 13 - Sarria › Ponferrada,150,,
01.09,74,94,Stage 12 - Ponteareas › Pontevedra,160,,
31.08,107,95,Stage 11 - Verín › Estación de Montaña Manzaneda,171,,
29.08,135,91,Stage 10 (ITT) - Salamanca › Salamanca,47,,
28.08,92,91,Stage 9 - Villacastín › Sierra de Béjar. La Covatilla,179.5,,
27.08,90,93,Stage 8 - Talavera de la Reina › San Lorenzo de El Escorial,183,,
26.08,111,102,Stage 7 - Almadén › Talavera de la Reina,185,,
25.08,105,102,Stage 6 - Úbeda › Córdoba,193.4,,
24.08,93,110,Stage 5 - Sierra Nevada › Valdepeñas de Jaén,187,,
23.08,124,118,Stage 4 - Baza › Sierra Nevada,170.2,,
22.08,123,121,Stage 3 - Petrer › Totana,164,,
21.08,130,135,Stage 2 - La Nucía › Playas de Orihuela,171.5,,
20.08,12,146,Stage 1 (TTT) - Benidorm › Benidorm,13.5,,
03.08 » 07.08,,,Vuelta a Burgos (2.HC),,,
,65,,General classification,,,
07.08,50,,Stage 5 - Areniscas de los Pinares › Lagunas de Neila,155,,
06.08,80,,Stage 4 - Roa de Duero › Clúnia,168,,
04.08,88,,Stage 2 - Burgos › Castillo de Burgos,144,,
03.08,94,,Stage 1 - Villarcayo › Alto de San Juan del Monte,168,,
31.07,70,,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1),170,,
30.07,DNF,,Clasica Ciclista San Sebastian (WT),234,,
25.07,48,,Prueba Villafranca-Ordiziako Klasika (1.1),165.7,,
07.05 » 29.05,,,Giro d'Italia (WT),,,
,63,,General classification,,20,
29.05,85,,Stage 21 (ITT) - Milano › Milano,26,,
28.05,72,63,Stage 20 - Verbania › Sestriere,242,,
27.05,64,56,Stage 19 - Bergamo › Macugnaga,209,,
26.05,71,56,Stage 18 - Morbegno › San Pellegrine Terme,151,,
25.05,66,58,Stage 17 - Feltre › Tirano,230,,
24.05,72,62,Stage 16 (ITT) - Belluno › Nevegal,12.7,,
22.05,76,62,Stage 15 - Conegliano › Gardeccia/Val di Fassa,229,,
21.05,88,58,Stage 14 - Lienz › Monte Zoncolan,172,,
20.05,135,56,Stage 13 - Spilimbergo › Großglockner,167,,
19.05,81,46,Stage 12 - Castefidardo › Ravenna,184,,
18.05,44,46,Stage 11 - Tortoreto Lido › Castefidardo,144,,
17.05,20,47,Stage 10 - Termoli › Teramo,159,,
15.05,52,48,Stage 9 - Messina › Etna,169,,
14.05,129,52,Stage 8 - Sapri › Tropea,217,,
13.05,87,52,Stage 7 - Maddaloni › Montevergine de Mercogliano,110,,
12.05,24,41,Stage 6 - Orvieto › Fiuggi,216,,
11.05,34,41,Stage 5 - Piombino › Orvieto,191,,
09.05,20,99,Stage 3 - Reggio Emilia › Rapallo,173,,
08.05,107,155,Stage 2 - Alba › Parma,244,,
07.05,23,180,Stage 1 (TTT) - Venaria Reale › Torino,19.3,,
