date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.03 » 21.03,,,Tour of Libya (2.2) ,,,,2008
21.03,6,,Stage 7 - Gharian › Tripoli ,154,,,2008
20.03,2,,Stage 6 - Bani Walid › Gharian ,155,2,3,2008
16.03,63,,Stage 2 - Tripoli › Misurata ,192,,,2008
15.03,65,65,Stage 1 - Tripoli › Tripoli ,36,,,2008
15.03 » 21.03,,,Tour of Libya (2.2) ,,,,2008
21.03,6.0,,Stage 7 - Gharian › Tripoli ,154.0,,,2008
20.03,2.0,,Stage 6 - Bani Walid › Gharian ,155.0,2,3,2008
16.03,63.0,,Stage 2 - Tripoli › Misurata ,192.0,,,2008
15.03,65.0,65,Stage 1 - Tripoli › Tripoli ,36.0,,,2008
08.06 » 17.06,,,Tour du Maroc (2.2) ,,,,2007
13.06,63.0,66,Stage 6 - Ouarzazate › Marrakech ,190.0,,,2007
12.06,13.0,71,Stage 5 - Tinghir › Ouarzazate ,170.0,,,2007
11.06,21.0,73,Stage 4 - Errachidia › Tinghir ,136.0,,,2007
10.06,79.0,76,Stage 3 - Khénifra › Midelt ,150.0,,,2007
09.06,76.0,78,Stage 2 - Meknès › Khénifra ,152.0,,,2007
08.06,49.0,49,Stage 1a - Rabat › Khemisset ,75.0,,,2007
08.06,76.0,76,Stage 1b - Khemisset › Meknès ,87.0,,,2007
17.03 » 23.03,,,Tour of Libya (2.2) ,,,,2007
,4.0,,Points classification ,,,,2007
,26.0,,General classification ,,,,2007
23.03,2.0,,Stage 7 - Zletin › Tripoli ,150.0,2,,2007
22.03,9.0,,Stage 6 - Misurata › Zletin ,120.0,,,2007
21.03,29.0,,Stage 5 (ITT) - Misurata › Misurata ,22.0,,,2007
20.03,33.0,,Stage 4 - Bani Walid › Misurata ,130.0,,,2007
19.03,1.0,,Stage 3 - Gherian › Bani Walid ,170.0,5,,2007
18.03,42.0,,Stage 2 - Tripoli › Gherian ,138.0,,,2007
17.03,16.0,,Stage 1 - Tripoli › Tarhona ,123.0,,,2007
30.10 » 06.11,,,Tour des Aéroports (2.2) ,,,,2006
,13.0,,Youth classification ,,,,2006
,33.0,,General classification ,,,,2006
06.11,17.0,,Stage 8 - Sfax › Monastir ,140.0,,,2006
05.11,39.0,34,Stage 7 - Gabes › Sfax ,132.0,,,2006
04.11,57.0,34,Stage 6 - El Jorf › Gabes ,90.0,,,2006
03.11,20.0,,Stage 5 - Matmata › Houmet Essouk ,138.0,,,2006
02.11,32.0,22,Stage 4 - Douz › Matmata ,100.0,,,2006
01.11,26.0,,Stage 3 - Tozeur › Kebeli ,113.0,,,2006
31.10,22.0,,Stage 2 - Gafsa › Tozeur ,96.0,,,2006
30.10,16.0,16,Stage 1a - Tunis › Bizerte ,60.0,,,2006
30.10,27.0,,Stage 1b - Birete › Tabarka ,136.0,,,2006
