date,result ranking,general classification,race name,distance,PCS point,UCI point
15.08,DNF,,Puchar Ministra Obrony Narodowej (1.5),196,,
27.07 » 31.07,,,Dookoła Mazowsza (2.5),,,
,43,,General classification,,,
31.07,45,,Stage 4 - Warsaw › Warsaw,114,,
29.07,11,52,Stage 2 - Siedlce › Kozienice,179.2,,
27.06,DNF,,National Championships Poland - Road Race (NC),233,,
25.04 » 01.05,,,Circuit des Mines (2.5),,,
,44,,General classification,,,
22.03 » 29.03,,,Tour de Normandie (2.5),,,
,70,,General classification,,,
23.08,9,,Szlakiem walk majora Hubala (1.5),180,,
17.06 » 23.06,,,Tour de Serbie (2.5),,,
,1,,General classification,,25,
23.06,2,,Stage 6 - Vranje › Nis,115,2,
20.06,3,,Stage 3b - Pozarevac › Jagodina,91,1,
19.06,2,,Stage 3a - Beograd › Pozarevac,75,2,
24.05,11,,Ühispanga Tartu Tänavasóit (1.3),187,,
23.05,26,,E.O.S. Tallinn GP (1.3),180,,
24.03 » 30.03,,,Tour de Normandie (2.5),,,
,20,,Youth classification,,,
,40,,General classification,,,
29.03,81,,Stage 5 -  Valognes  › Bagnoles-de-l'Orne ,194,,
28.03,10,46,Stage 4 - Flers  ›  Valognes ,178,,
27.03,46,50,Stage 3 - Elbeuf  › Flers ,208,,
26.03,60,35,Stage 2 - Forges-les-Eaux  › Elbeuf ,151,,
25.03,14,41,Stage 1 - Lisieux  › Forges-les-Eaux ,181,,
24.03,47,47,Prologue - Mondeville  › Mondeville ,5.6,,
09.09 » 16.09,,,Tour de Pologne (2.2),,,
,59,,General classification,,,
28.08 » 01.09,,,Okolo Slovenska (2.5),,,
,11,,General classification,,,
01.09,19,,Stage 5 (ITT) - Humenne › Humenne,25.9,,
31.08,2,,Stage 4 - Stara Lubovna › Humenne,144.6,2,
30.08,4,,Stage 3 - Ziar nad Hronom › Stara Lubovna,212.3,,
29.08,16,,Stage 2 - Kysucke Nove Mesto › Ziar nad Hronom,149.6,,
28.08,9,,Stage 1 - Kysucke Nove Mesto › Kysucke Nove Mesto,166,,
30.06,17,,National Championships Poland - Road Race (NC),224,,
10.06 » 17.06,,,Bank Austria Tour (),,,
16.06,42,88,Stage 6 - Kitzbühel › Tamsweg,171,,
15.06,57,94,Stage 5 - Bad Gastein › Kitzbühel,186,,
14.06,57,99,Stage 4 - Lienz › Bad Hofgastein,141,,
13.06,102,102,Stage 3 - Schwaz › Innervillgraten,196,,
12.06,108,85,Stage 2 - Reutte › Schwaz,182,,
11.06,14,46,Stage 1 - Reutte › Reutte,67,,
10.06,47,47,Stage 1 (ITT) - Am Plansee › Reutte,11,,
25.05,19,,Tartu Tänavasóit (1.5),181.5,,
24.05,5,,E.O.S. Tallinn (1.1),180.6,28,
25.03 » 31.03,,,Tour de Normandie (2.5),,,
31.03,OTL,,Stage 6 -  Bagnoles-de-l'Orne  › Caen,146,,
30.03,26,,Stage 5 - Octeville  ›  Bagnoles-de-l'Orne ,201,,
29.03,49,,Stage 4 - Flers  › Octeville ,191,,
28.03,110,,Stage 3 - Elbeuf  › Flers ,205,,
27.03,40,,Stage 2 - Forges-les-Eaux  › Elbeuf ,153,,
26.03,33,,Stage 1 - Lisieux  › Forges-les-Eaux ,181,,
25.03,86,,Prologue - Mondeville  › Mondeville ,5.6,,
03.09 » 10.09,,,Tour de Pologne (2.3),,,
,58,,General classification,,,
10.09,52,,Stage 8 (ITT) - Jelenia Góra › Karpacz,19,,
09.09,57,,Stage 7 - Jelenia Góra  › Karpacz,61,,
08.09,45,,Stage 6 - Piechowice › Karpacz,150,,
07.09,79,,Stage 5 - Kożuchów › Szklarska Poręba,160.5,,
06.09,85,,Stage 4 - Stargard › Zielona Góra,256,,
05.09,74,,Stage 3 - Kołobrzeg › Szczecin,178,,
04.09,27,,Stage 2 - Gdynia › Koszalin,246.5,,
03.09,118,,Stage 1 - Gdansk › Sopot,178,,
05.05,17,,Memorial Andrzeja Trochanowskiego (1.5),172,,
