date,result ranking,general classification,race name,distance,PCS point,UCI point,year
25.06,3,,National Championships Canada - ITT (NC) ,,2,,1998
28.04 » 03.05,,,Circuit des Mines (2.5) ,,,,1998
,26,,General classification ,,,,1998
18.02 » 01.03,,,Le Tour de Langkawi () ,,,,1998
,88,,General classification ,,,,1998
01.03,76,,Stage 12 - Kuala Lumpur › Kuala Lumpur ,69.6,,,1998
28.02,73,,Stage 11 - Tanjung Malim › Genting Highlands ,147,,,1998
27.02,67,,Stage 10 - Sabak Bernam › Ipoh ,137.7,,,1998
26.02,66,,Stage 9 - Port Dickson › Sunway Lagoon ,189.9,,,1998
25.02,9,,Stage 8 - Malacca › Port Dickson ,128.7,,,1998
24.02,78,,Stage 7 - Johor Bahru › Muar ,176.3,,,1998
23.02,80,,Stage 6 - Kuantan › Mersing ,196.8,,,1998
22.02,79,,Stage 5 - Kuala Terengganu › Kuantan ,202.4,,,1998
21.02,67,,Stage 4 - Kota Bharu › Kuala Terengganu ,165.1,,,1998
20.02,107,,Stage 3 - Gerik › Kota Bharu ,223,,,1998
19.02,51,,Stage 2 - Kangar  › George Town ,181.5,,,1998
18.02,88,,Stage 1 (ITT) - Langkawi › Langkawi ,17.7,,,1998
25.06,3,,National Championships Canada - ITT (NC) ,,2,,1998
28.04 » 03.05,,,Circuit des Mines (2.5) ,,,,1998
,26,,General classification ,,,,1998
18.02 » 01.03,,,Le Tour de Langkawi () ,,,,1998
,88,,General classification ,,,,1998
01.03,76,,Stage 12 - Kuala Lumpur › Kuala Lumpur ,69.6,,,1998
28.02,73,,Stage 11 - Tanjung Malim › Genting Highlands ,147.0,,,1998
27.02,67,,Stage 10 - Sabak Bernam › Ipoh ,137.7,,,1998
26.02,66,,Stage 9 - Port Dickson › Sunway Lagoon ,189.9,,,1998
25.02,9,,Stage 8 - Malacca › Port Dickson ,128.7,,,1998
24.02,78,,Stage 7 - Johor Bahru › Muar ,176.3,,,1998
23.02,80,,Stage 6 - Kuantan › Mersing ,196.8,,,1998
22.02,79,,Stage 5 - Kuala Terengganu › Kuantan ,202.4,,,1998
21.02,67,,Stage 4 - Kota Bharu › Kuala Terengganu ,165.1,,,1998
20.02,107,,Stage 3 - Gerik › Kota Bharu ,223.0,,,1998
19.02,51,,Stage 2 - Kangar  › George Town ,181.5,,,1998
18.02,88,,Stage 1 (ITT) - Langkawi › Langkawi ,17.7,,,1998
25.06,3,,National Championships Canada - ITT (NC) ,,2,,1997
29.04 » 04.05,,,Circuit des Mines (2.5) ,,,,1997
02.05,2,,Stage 5 - Trieux › Trieux ,170.0,2,,1997
13.02 » 24.02,,,Le Tour de Langkawi () ,,,,1997
,25,,General classification ,,,,1997
31.07,88,,Olympic Games Road Race (Olympics) ,221.85,15,,1996
04.10,37,,World Championships - ITT (WC) ,43.0,10,,1995
27.08,DNF,,Commonwealth Games - Road Race (JR) ,180.0,,,1994
25.08,35,,World Championships - ITT (WC) ,42.0,10,,1994
02.08,62,,Olympic Games - Road Race (Olympics) ,194.4,,,1992
