date,result ranking,general classification,race name,distance,PCS point,UCI point
30.06,DNF,,National Championships Czech Republic - Road Race (NC),186.6,,
19.06 » 23.06,,,Tour of Slovenia (2.HC),,,
19.06,DNF,,Stage 1 - Ljubljana › Rogaška Slatina,171,,
11.06 » 16.06,,,Tour de Hongrie (2.1),,,
12.06,OTL,,Stage 1 - Velence › Esztergom,194.1,,
11.06,118,118,Prologue - Siófok › Siófok,4,,
10.05 » 12.05,,,CCC Tour - Grody Piastowskie (2.2),,,
11.05,DNF,,Stage 2 - Złotoryja › Jawor,144.3,,
10.05,90,81,Stage 1b - Głogów › Polkowice,112.5,,
10.05,59,59,Stage 1a (ITT) - Polkowice › Polkowice,16.2,,
28.04,41,,Visegrad 4 Bicycle Race Grand Prix Poland (1.2),156.6,,
18.04 » 21.04,,,Belgrade Banjaluka (2.1),,,
21.04,DNF,,Stage 4 - Prnjavor › Banjaluka,175,,
20.04,112,129,Stage 3 - Brčko › Teslić,174,,
19.04,139,130,Stage 2 - Vlasenica › Brčko,151,,
18.04,131,131,Stage 1 - Beograd › Vlasenica,193.5,,
09.08 » 12.08,,,Czech Cycling Tour (2.1),,,
,7,,Youth classification,,,
,44,,General classification,,,
12.08,69,,Stage 4 - Olomouc › Dolany,147.9,,
11.08,49,46,Stage 3 - Mohelnice › Šternberk,178,,
10.08,43,40,Stage 2 - Olomouc › Frýdek-Místek,197.7,,
09.08,9,44,Stage 1 (TTT) - Uničov › Uničov,18.2,,
15.07,DNF,,European Continental Championships U23 - Road Race (CC),140.4,,
05.07 » 08.07,,,Sibiu Cycling Tour (2.1),,,
,15,,Youth classification,,,
,65,,General classification,,,
08.07,70,,Stage 3b - Sibiu › Sibiu,152.8,,
08.07,3,67,Stage 3a (TTT) - Cisnadie › Sibiu,9.6,6,3
06.07,74,70,Stage 1 - Sibiu › Balea Lac,91.2,,
05.07,36,36,Prologue - Sibiu › Sibiu,2.2,,
24.06,14,,National Championships Czech Republic - Road Race (NC),192,,1
21.06,7,,National Championships Czech Republic U23 - ITT (NC),40,,
31.05 » 03.06,,,Grand Prix Priessnitz spa (2.Ncup),,,
,94,,General classification,,,
03.06,93,,Stage 3 - Jeseník › Jeseník,158,,
02.06,99,94,Stage 2 - Krnov › Dlouhé stráně,148.9,,
01.06,53,40,Stage 1 - Jeseník › Rýmařov,133,,
31.05,44,44,Prologue - Krnov › Krnov,2,,
24.05 » 26.05,,,Gemenc Grand Prix (2.2),,,
,28,,Youth classification,,,
,72,,General classification,,,
26.05,85,,Stage 2 - Szekszard › Szekszard,131,,
25.05,68,72,Stage 1 - Szekszard › Szekszard,162,,
24.05,77,77,Prologue - Szekszard › Szekszard,2,,
12.05,59,,Visegrad 4 Kerekparverseny (1.2),173.7,,
02.05,58,,Memoriał Romana Siemińskiego (1.2),162.9,,
01.05,37,,Memorial Andrzeja Trochanowskiego (1.2),168.8,,
22.04,43,,Visegrad 4 Bicycle Race Grand Prix Poland (1.2),176,,
01.04,DNF,,GP Adria Mobil (1.2),183.8,,
28.02,143,,Trofej Umag - Umag Trophy (1.2),144.4,,
19.04 » 21.04,,,Tour of Istria - Memorial Edi Rajkovic (2.Ncup),,,
,87,,General classification,,5,
21.04,87,,Stage 3 - Vrsar › Pula,105,,
20.04,82,94,Stage 2 - Umag › Labin,105,,
19.04,98,98,Stage 1 - Rovinj › Buzet,94,,
