date,result ranking,general classification,race name,distance,PCS point,UCI point
10.10 » 17.10,,,Tour of Taihu Lake (2.1),,,
,26,,Youth classification,,,
,63,,General classification,,,
17.10,76,,Stage 7 - Jurong Chishanhu › Maoshan,130.6,,
16.10,117,13,Stage 6 - Jiangyan › Jiangyan,106.4,,
15.10,81,12,Stage 5 - Nantong › Haimen,148,,
14.10,68,11,Stage 4 - Wujiang › Wujiang,117.4,,
13.10,87,10,Stage 3 - Huzhou › Changxing,134.3,,
12.10,63,8,Stage 2 - Wujin › Wujin,117.1,,
11.10,66,6,Stage 1 - Wuxi › Wuxi,111.3,,
10.10,6,6,Prologue - Wuxi › Wuxi,5.3,3,
24.08 » 27.08,,,Baltic Chain Tour (2.2),,,
,47,,General classification,,,
27.08,10,,Stage 4 - Helsinki › Helsinki,154,,
26.08,4,48,Stage 3 - Tartu › Tallinn,220,,
25.08,55,50,Stage 2 - Jelgava › Sigulda,170,,
24.08,50,50,Stage 1 - Vilnius › Panevezys,160.9,,
22.08,104,,GP Stad Zottegem (1.1),198,,
04.08 » 15.08,,,Volta a Portugal em Bicicleta Santander Totta (2.1),,,
,19,,Youth classification,,,
,20,,Points classification,,,
,97,,General classification,,,
15.08,52,,Stage 10 (ITT) - Viseu › Viseu,20.1,,
14.08,93,100,Stage 9 - Lousã › Guarda,184.1,,
13.08,86,105,Stage 8 - Gondomar › Oliveira de Azeméis ,159.8,,
12.08,107,107,Stage 7 - Lousada › St. Tirso (Monte N. Sr.ª da Assunção)  ,161.9,,
10.08,117,106,Stage 6 - Braga › Fafe,182.7,,
09.08,104,107,Stage 5 - Boticas › Viana do Castelo ,179.6,,
08.08,108,106,Stage 4 - Macedo de Cavaleiros  › Mondim de Basto (Sr.ª da Graça) ,152.7,,
07.08,111,103,Stage 3 - F. C. Rodrigo  › Bragança,162.1,,
06.08,4,86,Stage 2 - Reguengos de Monsaraz  › Castelo Branco ,214.7,5,
05.08,114,103,Stage 1 - Vila Franca de Xira  › Setúbal,203,,
04.08,74,74,Prologue - Lisboa › Lisboa,5.4,,
30.07,OTL,,Prudential RideLondon-Surrey Classic (1.UWT),185.9,,
25.07,OTL,,Prueba Villafranca-Ordiziako Klasika (1.1),165.7,,
02.07 » 08.07,,,Int. Österreich-Rundfahrt-Tour of Austria (2.1),,,
,5,,Points classification,,,
,100,,General classification,,,
08.07,115,,Stage 6 - St. Johann - Alpenbdorf › Wels,203.9,,
07.07,117,101,Stage 5 - Kitzbühel › St. Johann - Alpenbdorf,212.5,,
06.07,117,100,Stage 4 - Salzburg › Kitzbüheler Horn,82.7,,
05.07,2,96,Stage 3 - Wieselburg › Altheim,226.2,12,5
04.07,134,120,Stage 2 - Wieselburg › Pöggstall,199.6,,
03.07,3,15,Stage 1 - Graz › Wien,193.8,7,3
02.07,62,62,Prologue - Graz › Schlossberg,0.8,,
14.06 » 18.06,,,Tour de Korea (2.1),,,
,5,,Points classification,,,
,17,,General classification,,4,3
18.06,3,,Stage 5 - Seoul › Seoul,65,7,3
17.06,13,21,Stage 4 - Yeongju › Chungju,156,,
16.06,8,22,Stage 3 - Muju › Yeongju,167.8,1,
15.06,19,20,Stage 2 - Gunsan › Muju,156.8,,
14.06,5,8,Stage 1 - Yeosu › Gunsan,216.9,4,
19.05 » 21.05,,,Vuelta a Castilla y Leon (2.1),,,
,34,,Points classification,,,
,100,,General classification,,,
21.05,12,,Stage 3 - Ponferrada › León,145.5,,
20.05,113,107,Stage 2 - Velilla del Río Carrión-Sabero › Alto de la Camperona,166.4,,
19.05,48,48,Stage 1 - Aguilar de Campoo › Santibañez de la Peña,168,,
29.04 » 01.05,,,Vuelta Asturias Julio Alvarez Mendo (2.1),,,
,90,,General classification,,,
01.05,89,,Stage 3 - Cangas del Narcea › Oviedo (Uría),120,,
30.04,79,85,Stage 2 - Ribera de Arriba › Alto del Acebo (Cangas de Narcea),177,,
29.04,118,118,Stage 1 - Oviedo › Pola de Lena,169.2,,
18.04 » 23.04,,,Tour of Croatia (2.1),,,
,38,,Points classification,,,
,100,,General classification,,,
23.04,47,,Stage 6 - Samobor › Zagreb,147,,
22.04,82,109,Stage 5 - Porec › Ucka,141,,
21.04,19,111,Stage 4 - Crikvenica › Umag,171,,
20.04,15,118,Stage 3 - Imotski › Zadar,237,,
19.04,144,132,Stage 2 - Trogir › Biokovo (sv. Jure),107,,
18.04,11,14,Stage 1 - Osijek › Koprivnica,227,,
02.04,36,,Vuelta Ciclista a La Rioja (1.1),150.5,,
01.04,DNF,,Gran Premio Miguel Indurain (1.1),186,,
17.03,DNF,,Handzame Classic (1.1),192.7,,
11.03,DNF,,Ronde van Drenthe (1.1),206.2,,
22.02 » 26.02,,,Volta ao Alentejo (2.1),,,
,39,,Youth classification,,,
,107,,General classification,,,
26.02,101,,Stage 5 - Ferreira do Alentejo › Évora,168.9,,
25.02,106,96,Stage 4 - Odemira › Alcácer do Sal,175.8,,
24.02,113,94,Stage 3 - Mourão › Mértola,208.8,,
23.02,17,91,Stage 2 - Monforte › Portel,171.3,,
22.02,118,121,Stage 1 - Portalegre › Castelo de Vide,158,,
01.02 » 05.02,,,Volta a la Comunitat Valenciana (2.1),,,
02.02,DNF,,Stage 2 - Alicante › Denia,180.6,,
01.02,202,161,Stage 1 (TTT) - Orihuela › Orihuela,37.9,,
13.10,6,,World Championships U23 - Road Race (WC),166,24,70
27.09 » 02.10,,,Olympia's Tour (2.2U),,,
02.10,DNS,,Stage 6 - Margraten › Noorbeek,177.4,,
01.10,3,38,Stage 5 - Reuver › Reuver,145.4,1,
30.09,44,40,Stage 4 - Zutphen › Zutphen,136.4,,
29.09,4,46,Stage 3b - Ulft › Gendringen,109.4,,
29.09,54,47,Stage 3a (ITT) - 's-Heerenberg › Elten,15.3,,
28.09,19,47,Stage 2 - Assen › Assen,141.3,,
27.09,2,130,Stage 1 (TTT) - Hardenberg › Hardenberg,18.9,4,1
16.08 » 19.08,,,Tour du Limousin (2.1),,,
,49,,Youth classification,,,
,112,,General classification,,,
19.08,124,,Stage 4 - Saint-Léonard-de-Noblat › Limoges,185.3,,
18.08,132,91,Stage 3 - Le Lonzac › Liginiac,179.9,,
17.08,50,33,Stage 2 - Dun-le-Palestel › Auzances,173.6,,
16.08,12,17,Stage 1 - Limoges  › Oradour-sur-Glane,165.4,,
20.07,71,,Grand Prix Cerami (1.1),211,,
22.06,DNF,,Halle Ingooigem (1.1),200.5,,
15.06 » 19.06,,,Ster ZLM Toer GP Jan van Heeswijk (2.1),,,
17.06,DNF,,Stage 3 - Buchten › Buchten,210,,
16.06,81,77,Stage 2 - Oss › Oss,186,,
15.06,86,86,Stage 1 (ITT) - Goes › Goes,6.4,,
02.06 » 05.06,,,Boucles de la Mayenne (2.1),,,
,20,,Youth classification,,,
,104,,General classification,,,
05.06,89,,Stage 3 - Juvigné › Laval ,180,,
04.06,113,112,Stage 2 - Laval  › Villaines-la-Juhel,182,,
03.06,44,54,Stage 1 - Renault Saint-Berthevin › Château de Craon,190,,
02.06,59,59,Prologue - Laval  › Laval ,4.5,,
18.05 » 22.05,,,Tour of Norway (2.HC),,,
19.05,DNF,,Stage 2 - Kragerø  › Rjukan,211,,
18.05,9,11,Stage 1 - Drammen › Langesund,173.4,,
