date,result ranking,general classification,race name,distance,PCS point,UCI point
18.08 » 24.08,,,USA Pro Challenge (2.HC),,,
,70,,General classification,,,
24.08,47,,Stage 7 - Boulder › Denver,126,,
23.08,101,74,Stage 6 (ITT) - Vail › Vail,16.1,,
22.08,90,70,Stage 5 - Woodland Park › Breckenridge,168,,
21.08,101,61,Stage 4 - Colorado Springs › Colorado Springs,113,,
20.08,115,58,Stage 3 - Gunnison › Monarch Mountain,155,,
19.08,36,51,Stage 2 - Aspen › Crested Butte,169,,
18.08,106,106,Stage 1 - Aspen › Aspen,98,,
04.08 » 10.08,,,The Larry H.Miller Tour of Utah (2.1),,,
,38,,Points classification,,,
,75,,General classification,,,
10.08,68,,Stage 7 - Park City › Park City,125.5,,
09.08,71,73,Stage 6 - Salt Lake City › Snowbird Ski and Summer Resort,172.6,,
08.08,80,69,"Stage 5 - Evanston, WY › Kamas",163.1,,
07.08,103,71,Stage 4 - Ogden › Powder Mountain,168.5,,
06.08,87,63,Stage 3 - Lehi › Miller Motorsports Park,190.2,,
05.08,70,76,Stage 2 - Panguitch › Torrey,210.3,,
04.08,35,36,Stage 1 - Cedar City › Cedar City,182.7,,
01.06,58,,The Philadelphia Cycling Classic (1.1),193,,
26.05,29,,National Championships United States - Road Race (NC),165,,
30.04 » 04.05,,,Tour of the Gila (2.2),,,
,36,,General classification,,,
04.05,38,,Stage 5 - Silver City › Pinos Altos,161.9,,
03.05,84,,Stage 4 - Silver City › Silver City,69.1,,
02.05,28,44,Stage 3 (ITT) - Tyrone › Tyrone,26,,
01.05,62,47,Stage 2 - Fort Bayard › Fort Bayard,122.6,,
30.04,50,50,Stage 1 - Silvercity › Mongollon,148,,
18.04,12,,Winston-Salem Cycling Classic (1.2),171,,
09.03 » 13.03,,,Tour de Taiwan (2.1),,,
,74,,General classification,,,
13.03,87,,Stage 5 - Donggang › Donggang,168,,
12.03,64,68,Stage 4 - Tainan City › Tainan City,137,,
11.03,93,87,Stage 3 - Changhua County › Changhua County,154,,
10.03,83,86,Stage 2 - Taoyuan County › Taoyuan County,144,,
09.03,82,83,Stage 1 - Taipei City › Taipei City,52,,
05.02 » 09.02,,,Herald Sun Tour (2.1),,,
,34,,General classification,,,
08.02,75,34,Stage 3 - Mitchelton Winery › Nagambie,157,,
07.02,34,32,Stage 2 - Ballarat › Bendigo,165,,
06.02,52,53,Stage 1 - Geelong › Ballarat,125,,
05.02,36,36,Prologue - Melbourne › Melbourne Southbank,2.5,,
03.09 » 08.09,,,Tour of Alberta (2.1),,,
,77,,General classification,,,
08.09,53,,Stage 5 - Okotoks › Calgary,129.4,,
07.09,108,87,Stage 4 - Black Diamond › Canmore,169,,
06.09,112,87,Stage 3 - Strathmore › Drumheller,169.8,,
05.09,97,85,Stage 2 - Devon › Red Deer,174.8,,
04.09,89,70,Stage 1 - Strathcona › Camrose,158,,
03.09,57,57,Prologue - Edmonton › Edmonton,7.3,,
19.08 » 25.08,,,USA Pro Challenge (2.HC),,,
,47,,General classification,,,
25.08,88,,Stage 7 - Denver › Denver,117.4,,
24.08,66,48,Stage 6 - Loveland › Fort Collins,185.4,,
23.08,83,49,Stage 5 (ITT) - Vail › Vail,16.1,,
22.08,77,45,Stage 4 - Steamboat Springs › Beaver Creek,165.6,,
21.08,110,37,Stage 3 - Breckenridge › Steamboat Springs,170.8,,
20.08,50,38,Stage 2 - Aspen › Breckenridge,202.9,,
19.08,27,27,Stage 1 - Aspen › Aspen,102.7,,
06.08 » 11.08,,,The Larry H.Miller Tour of Utah (2.1),,,
,34,,Points classification,,,
,21,,General classification,,,
11.08,27,,Stage 6 - Park City › Park City,125.8,,
10.08,26,22,Stage 5 - Snowbasin Resort › Snowbird Ski and Summer Resort,182,,
09.08,46,30,Stage 4 - Salt Lake City › Salt Lake City,54.7,,
08.08,31,27,Stage 3 - Richfield › Payson,191.5,,
07.08,40,19,Stage 2 - Panguitch › Torrey,210,,
06.08,10,13,Stage 1 - Brian Head › Cedar City,180,,
02.06,DNF,,The Philadelphia Cycling Classic (1.2),193,,
27.05,37,,National Championships United States - Road Race (NC),163.2,,
12.05 » 19.05,,,Amgen Tour of California (2.HC),,,
,83,,General classification,,,
19.05,94,,Stage 8 - San Francisco › Santa Rosa,131.4,,
18.05,103,82,Stage 7 - Livermore › Mount Diablo,147.1,,
17.05,103,79,Stage 6 (ITT) - San Jose › San Jose,31.6,,
16.05,103,77,Stage 5 - Santa Barbara › Avila Beach,185.7,,
15.05,112,44,Stage 4 - Santa Clarita › Santa Barbara,134.6,,
14.05,84,28,Stage 3 - Palmdale › Santa Clarita,177.5,,
13.05,32,29,Stage 2 - Murrieta › Greater Palm Springs,199.7,,
12.05,22,24,Stage 1 - Escondido › Escondido,165.2,,
01.05 » 05.05,,,Tour of the Gila (2.2),,,
,43,,General classification,,,
05.05,45,,Stage 5 - Silver City › Silver City,161.9,,
04.05,29,48,Stage 4 - Silver City › Silver City,69.5,,
03.05,35,51,Stage 3 (ITT) - Silver City › Silver City,26,,
02.05,73,59,Stage 2 - Silver City › Silver City,122.6,,
01.05,60,60,Stage 1 - Silver City › Mogollon,148.1,,
10.04,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.HC),199.9,,
04.04,DNF,,Grand Prix Pino Cerami (1.1),205.8,,
03.04,127,,Scheldeprijs (1.HC),204,,
30.03,DNF,,Volta Limburg Classic (1.1),196,,
26.03 » 28.03,,,Driedaagse De Panne-Koksijde (2.HC),,,
28.03,137,139,Stage 3a - De Panne › De Panne,109.7,,
28.03,DNS,,Stage 3b (ITT) - De Panne › De Panne,14.75,,
27.03,163,160,Stage 2 - Oudenaarde › Koksijde,208.9,,
26.03,158,159,Stage 1 - Middelkerke › Zottegem,199.8,,
21.02 » 02.03,,,Tour de Langkawi (2.HC),,,
25.02,DNF,,"Stage 5 - Proton, Shah Alam › Genting Highlands",108,,
24.02,62,29,Stage 4 - Tapah › Kapar,168,,
23.02,29,29,Stage 3 - Sungai Siput › Cameron Highlands,145.5,,
22.02,112,116,Stage 2 - Serdang › Kuala Kangsar,116,,
21.02,118,119,Stage 1 - Kangar › Kulim,163.7,,
21.01 » 27.01,,,Tour de San Luis (2.1),,,
,59,,General classification,,,
