date,result ranking,general classification,race name,distance,PCS point,UCI point
13.09,41,,Bucks County Classic (1.2),160.5,,
23.08 » 30.08,,,Tour de l'Avenir (2.Ncup),,,
,36,,Mountains classification,,,
,18,,General classification,,,
30.08,22,,Stage 7 - Saint-Michel-de-Maurienne › La Toussuire,94,,
29.08,23,24,Stage 6 - Saint-Gervais › La Rosière,108,,
28.08,23,34,Stage 5 - Bons-en-Chablais › Les Carroz d'Arraches,101.6,,
27.08,53,46,Stage 4 - Saint-Vulbas › Plateau de Solaison,165.3,,
26.08,89,46,Stage 3 - Montrond-les-Bains › Paray-le-Monial,143,,
25.08,25,54,Stage 2 - Brioude › Saint-Galmier,143,,
24.08,42,69,Stage 1 - Saint-Flour › Brioude,145,,
23.08,71,71,Prologue - Saint-Flour › Saint-Flour,4.45,,
30.07 » 03.08,,,Tour Alsace (2.2),,,
,12,,Youth classification,,,
,29,,General classification,,,
03.08,70,,Stage 5 - Soultz › Cernay,139,,
02.08,33,28,Stage 4 - Ribeauvillé › Markstein,136,,
01.08,35,31,Stage 3 - Dannemarie › Huningue,150,,
31.07,42,38,Stage 2 - Strasbourg › Bischoffsheim,153,,
30.07,48,50,Stage 1 - Colmar › Sélestat,162,,
28.05 » 01.06,,,Flèche du Sud (2.2),,,
,9,,Youth classification,,,
,25,,Points classification,,,
,16,,General classification,,,
01.06,57,,Stage 4 - Leudelange › Esch/Alzette,160.1,,
31.05,31,17,Stage 3 - Roeser › Bettborn,145.2,,
30.05,6,18,Stage 2 - Clervaux › Bourscheid,162.2,,
29.05,29,38,Stage 1 - Kayl › Rumelange,165.7,,
28.05,48,48,Prologue - Schifflange › Schifflange,1.5,,
22.05 » 25.05,,,Ronde de l'Isard (2.2U),,,
,11,,Mountains classification,,,
,10,,Points classification,,,
,8,,General classification,,3,3
25.05,8,,Stage 4 - Foix › St-Girons,130.4,,
24.05,29,11,Stage 3a - Boulogne sur Gesse › Boulogne sur Gesse,82.1,,
24.05,4,8,Stage 3b (TTT) - Boulogne sur Gesse › Boulogne sur Gesse,17.7,2,
23.05,3,10,Stage 2 - Muret › Bagneres de Luchon,142.9,1,2
22.05,23,23,Stage 1 - St-Girons › Goulier-Neige,160.5,,
03.05,DNF,,Ronde van Overijssel (1.2),202.5,,
25.04 » 01.05,,,Le Tour de Bretagne Cycliste trophée harmonie Mutuelle (2.2),,,
26.04,DNF,,Stage 2 - Vay › Mauron,186.4,,
25.04,98,96,Stage 1 - Plaimboeuf › Clisson,152.1,,
24.08 » 31.08,,,Tour de l'Avenir (2.Ncup),,,
,34,,Points classification,,,
,64,,General classification,,,
31.08,88,,Stage 7 - Châtel › Plâteau des Glières,134,,
30.08,61,55,Stage 6 - Morzine › Châtel,126,,
29.08,8,49,Stage 5 - Saint Gervais › Morzine,79,,
28.08,51,54,Stage 4 - Albertville › Saint François Longchamp,106,,
27.08,24,80,Stage 3 - Aix les Bains › Albertville,127,,
26.08,89,107,Stage 2 - Champagnoles › Saint Vulbas,162,,
25.08,111,110,Stage 1 - Louhans › Arbois,146,,
24.08,103,103,Prologue - Louhans › Louhans,5.1,,
27.07 » 29.07,,,Kreiz Breizh Elites (2.2),,,
,15,,Youth classification,,,
,32,,General classification,,,
29.07,52,,Stage 4 - Plouguernevel › Rostrenen,174,,
28.07,28,44,Stage 3 - Le Saint › Ploerdut,106,,
28.07,60,53,Stage 2 (ITT) - Carhaix › Carhaix,12,,
27.07,53,53,Stage 1 - Calanhel › Plouray,194,,
04.07,28,,National Championships United States U23 - ITT (NC),29,,
08.06 » 15.06,,,Internationale Thüringen-Rundfahrt U23 (2.2U),,,
,17,,Youth classification,,,
,44,,General classification,,,
15.06,49,,Stage 7 - Ichtershausen › Ichtershausen,157.5,,
