date,result ranking,general classification,race name,distance,PCS point,UCI point
01.09,82,,Grand Prix International de la ville de Nogent-sur-Oise (1.2),168,,
02.08 » 05.08,,,Kreiz Breizh Elites (2.2),,,
,19,,General classification,,,
05.08,31,,Stage 4 - Guingamp › Rostrenen,171.8,,
04.08,39,26,Stage 3 - Ploerdut › Carhaix,181.8,,
03.08,99,38,Stage 2 - Calanhel › Plouray,181.1,,
02.08,9,38,Stage 1 (TTT) - Ploumagoar › Ploumagoar,12.4,,
31.05 » 02.06,,,Tour de la Mirabelle (2.2),,,
,19,,General classification,,,
02.06,11,,Stage 3 - Lunéville › Damelevières,180.1,,
01.06,20,21,Stage 2 - Épinal › Gérardmer,146.1,,
31.05,44,44,Stage 1a - Pont-à-Mousson › Vandœuvre-lès-Nancy ,75.1,,
31.05,82,69,Stage 1b - Vandœuvre-lès-Nancy  › Blénod-lès-Pont-à-Mousson,97.1,,
09.05 » 12.05,,,Rhône-Alpes Isère Tour (2.2),,,
12.05,DNF,,Stage 4 - Saint-Maurice-l'Exil › Charvieu-Chavagneux,172,,
11.05,39,30,Stage 3 - Montanay › Saint-Maurice-l'Exil,172.4,,
10.05,34,37,Stage 2 - Saint Exupéry Airport › Saint-Pierre-de-Chandieu,150.2,,
09.05,69,51,Stage 1 - Charvieu-Chavagneux › Villefontaine ,146.6,,
05.05,26,,Entre Brenne et Montmorillonnais (1.2),183.3,,
17.04 » 21.04,,,Tour du Loir et Cher E Provost (2.2),,,
,21,,General classification,,,
21.04,26,,Stage 5 - Blois › Blois,97,,
20.04,37,22,Stage 4 - Angé › Angé,191.5,,
19.04,23,22,Stage 3 - Mer › Vendôme,210,,
18.04,73,58,Stage 2 - Les Montils › Chailles,188,,
17.04,61,61,Stage 1 - Blois › Vineuil,176,,
12.04 » 14.04,,,Circuit des Ardennes International (2.2),,,
14.04,DNF,,Stage 4 - Villers-Semeuse › Charleville-Mézières,106,,
14.04,93,48,Stage 3 - Nouvion-sur-Meuse › Aiglemont,59.5,,
13.04,39,36,Stage 2 - Rocroi › Monthermé,157.7,,
12.04,16,18,Stage 1 - Neuvizy › Launois-sur-Vence,188.7,,
