date,result ranking,general classification,race name,distance,PCS point,UCI point
16.02 » 21.02,,,Tour of Oman (2.HC),,,
18.02,DNS,,Stage 3 - Al Sawadi Beach  › Naseem Park,176.5,,
17.02,58,60,Stage 2 - Omantel Head Office  › Quriyat,162,,
16.02,62,62,Stage 1 - Oman Exhibition Center  › Al Bustan,145.5,,
08.02 » 12.02,,,Tour of Qatar (2.HC),,,
,25,,General classification,,1,5
12.02,55,,Stage 5 - Sealine Beach Resort › Doha Corniche  ,114,,
11.02,51,26,Stage 4 - Al Zubarah Fort  › Madinat Al Shamal,189,,
10.02,46,27,Stage 3 (ITT) - Lusail  › Lusail ,11,,
09.02,80,47,Stage 2 - Doha › Doha,135,,
08.02,47,47,Stage 1 - Dukhan › Al Khor Corniche,176,,
20.09,14,,World Championships - TTT (WC),38.6,,
22.08 » 13.09,,,Vuelta a España (2.UWT),,,
,121,,General classification,,20,
13.09,55,,Stage 21 - Alcalá de Henares › Madrid,98.8,,
12.09,138,121,Stage 20 - San Lorenzo de El Escorial › Cercedilla,175.8,,
11.09,100,121,Stage 19 - Medina del Campo › Ávila,185.8,,
10.09,132,121,Stage 18 - Roa › Riaza,204,,
09.09,90,120,Stage 17 (ITT) - Burgos › Burgos,38.7,,
07.09,126,121,Stage 16 - Luarca › Ermita de Alba. Quiros,185,,
06.09,71,122,Stage 15 - Comillas › Sotres. Cabrales,175.8,,
05.09,76,126,Stage 14 - Vitoria › Alto Campoo. Fuente del Chivo,215,,
04.09,79,135,Stage 13 - Calatayud › Tarazona,178,,
03.09,98,135,Stage 12 - Escaldes-Engordany › Lleida,173,,
02.09,169,144,Stage 11 - Andorra la Vella › Cortals d'Encamp,138,,
31.08,162,138,Stage 10 - Valencia › Castellón  ,146.6,,
30.08,117,137,Stage 9 - Torrevieja › Cumbre del Sol. Benitachell,168.3,,
29.08,158,143,Stage 8 - Puebla de Don Fadrique › Murcia,182.5,,
28.08,166,136,Stage 7 - Jódar › La Alpujarra (Capileira),191.1,,
27.08,125,128,Stage 6 - Córdoba › Sierra de Cazorla,200.3,,
26.08,88,131,Stage 5 - Rota › Alcalá de Guadaíra,167.3,,
25.08,109,141,Stage 4 - Estepona › Vejer de la Frontera,209.6,,
24.08,147,143,Stage 3 - Mijas › Málaga,158.4,,
23.08,152,152,Stage 2 - Alhaurín de la Torre › Caminito del Rey,158.7,,
