date,result ranking,general classification,race name,distance,PCS point,UCI point
01.08 » 03.08,,,Kreiz Breizh Elites (2.2),,,
03.08,DNF,,Stage 4 - Plouguernevel › Rostrenen,163.2,,
02.08,117,89,Stage 3 - Carhaix › Carhaix,110.2,,
02.08,110,85,Stage 2 - Ploërdut › Callac,82.2,,
01.08,80,80,Stage 1 - Calanhel › Plouray,184.5,,
18.06 » 21.06,,,Tour des Pays de Savoie (2.2),,,
,25,,Mountains classification,,,
,56,,General classification,,,
21.06,37,,Stage 5 - Modane › Valmeinier,100,,
20.06,52,69,Stage 4 (ITT) - Orelle › Orelle,8.5,,
20.06,79,71,Stage 3 - Chambéry › Saint Michel de Maurienne,120,,
19.06,52,59,Stage 2 - Cluses › Saint Jorioz,142,,
18.06,89,89,Stage 1 - La Balme de Sillingy › Saint Alban-Leysse,142,,
29.05 » 31.05,,,Tour de Gironde (2.2),,,
,29,,General classification,,,
31.05,75,,Stage 3 - Mios › Villenave d'Ornon,195,,
30.05,26,28,Stage 2 - Bassens › Cenon,169,,
29.05,94,93,Stage 1 - Pauillac › Pauillac,173.7,,
15.04 » 19.04,,,Tour du Loir et Cher E Provost (2.2),,,
17.04,DNS,,Stage 3 - Freteval › Vendôme,209,,
16.04,14,9,Stage 2 - Huisseau/Cosson › Fougères/Bièvre,196,,
15.04,51,51,Stage 1 - Blois › Nouan-le-Fuzelier,175,,
13.08 » 17.08,,,Vuelta a Burgos (2.HC),,,
,40,,Mountains classification,,,
,84,,General classification,,,
17.08,36,,Stage 5 (ITT) - Aranda de Duero › Aranda de Duero,12.5,,
16.08,81,84,Stage 4 - Medina de Pomar › Villarcayo,142,,
15.08,78,84,Stage 3 - Comunero de Revenga  › Lagunas de Neila,170,,
14.08,88,75,Stage 2 - Briviesca › Villadiego,152,,
13.08,75,75,Stage 1 - Burgos › Burgos,143,,
31.07,29,,Circuito de Getxo (1.1),170,,
25.07,48,,Prueba Villafranca-Ordiziako Klasika (1.1),170,,
06.07 » 19.07,,,Tour of Qinghai Lake (2.HC),,,
,121,,General classification,,,
19.07,70,,Stage 13 - Lanzhou › Lanzhou,92,,
18.07,123,122,Stage 12 - Zhongwei › Zhongwei,120,,
17.07,115,121,Stage 11 - Yinchuan › Yinchuan,133,,
16.07,92,122,Stage 10 - Tianshui › Pingliang,227,,
15.07,128,127,Stage 9 - Tianshui › Tianshui,118,,
13.07,128,125,Stage 8 - Xunhua › Lintao,225,,
12.07,132,130,Stage 7 - Tongren › Hualong,143,,
11.07,122,124,Stage 6 - Guide › Tongren,208,,
