date,result ranking,general classification,race name,distance,PCS point,UCI point,year
13.01,10,,Australian Open Road Championships Road Race (NC) ,183.6,,,2003
01.06,44,,First Union Classic (1.3) ,144,,,2000
31.05,63,,First Union Wilmington Classic (1.3) ,120,,,2000
30.05,DNF,,First Union Invitational (1.3) ,147,,,2000
22.05 » 27.05,,,GP du Midi-Libre () ,,,,2000
22.05,126,,Stage 1 - Palavas  › Le Barcarès  ,197,,,2000
03.04 » 07.04,,,Vuelta al País Vasco (2.HC) ,,,,2000
05.04,123,,Stage 3 - Trapagaran › Vitoria ,190,,,2000
04.04,136,,Stage 2 - Onati › Trapagaran ,190,,,2000
03.04,138,,Stage 1 - Onati › Onati ,130,,,2000
20.03 » 24.03,,,Setmana-Catalana (2.1) ,,,,2000
,115,,General classification ,,,,2000
18.03,DNF,,Milano-Sanremo (CDM) ,294,,,2000
08.03 » 15.03,,,Tirreno-Adriatico () ,,,,2000
12.03,17,,Stage 5 (ITT) - Ascoli Piceno › Ascoli Piceno ,26.5,,,2000
22.02 » 26.02,,,Vuelta Ciclista a la Comunidad Valenciana (2.3) ,,,,2000
,57,,General classification ,,,,2000
20.02,101,,Trofeo Luis Puig (1.2) ,182,,,2000
13.02 » 17.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.3) ,,,,2000
,69,,General classification ,,,,2000
17.02,54,,Stage 5 - Luque › Granada ,134.7,,,2000
15.02,118,101,Stage 3 - Malaga › Santuario Nuestra Sra Sierra Cabarga ,164.9,,,2000
14.02,132,91,Stage 2 - Castell de Ferro › Costa Benalmadena ,149.3,,,2000
13.02,94,94,Stage 1 - Almeria › Almeria ,160.5,,,2000
08.02,129,,Trofeo Cala: Cala Millor - Son Servera (1.1) ,159,,,2000
07.02,49,,Trofeo Andratx-Mirador d'Es Colomer (1.1) ,147,,,2000
17.10,5,,GP d'Europe () ,58.8,28,,1999
13.10,104,,Milano-Torino (1.1) ,202,,,1999
10.10,DNF,,World Championships - Road Race (WC) ,260,,,1999
29.09,1,,National Championships Australia - ITT (NC) ,,15,,1999
05.04 » 09.04,,,Vuelta Ciclista al Pais Vasco (HC) ,,,,1999
,100,,General classification ,,5,,1999
09.04,88,,Stage 5b (ITT) - Orio › Orio ,8.7,,,1999
08.04,119,,Stage 4 - Vitoria › Lecumberri ,197,,,1999
07.04,82,,Stage 3 - Zalla  › Vitoria ,199,,,1999
06.04,112,,Stage 2 - Tolosa  › Zalla  ,204,,,1999
05.04,139,,Stage 1 - Tolosa  › Tolosa  ,115,,,1999
08.08,DNF,,Clasica Ciclista San Sebastian (CDM) ,232,,,1998
30.04 » 03.05,,,Vuelta Ciclista a La Rioja () ,,,,1998
,9,,General classification ,,16,,1998
12.10,DNF,,World Championships - Road Race (WC) ,265.5,,,1997
09.10,8,,World Championships - ITT (WC) ,42.6,70,,1997
17.01,1,,Australian Open Road Championships Road Race (NC) ,,15,,1997
