date,result ranking,general classification,race name,distance,PCS point,UCI point
01.04,11,,National Championships Chile - ITT (NC),,,
24.09,126,,World Championships U23 - Road Race (WC),161.1,,
20.09,55,,World Championships U23 - ITT (WC),30.3,,
18.09,DNS,,PWZ Zuidenveld Tour (1.2),200,,
12.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1),183.4,,
29.08,70,,Ronde van de Achterhoek (1.2),204.8,,
14.08,16,,Pan American Championships U23 - Road Race (CC),140,5,3
30.05,47,,Fyen Rundt - Tour of Funen (1.2),206.1,,
29.05,36,,Grand Prix Herning (1.2),195,,
15.03,DNF,,Gran Premio de la Patagonia (1.2),138.6,,
27.09,DNF,,World Championships U23 - Road Race (WC),171.6,,
08.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1),187,,
01.09,96,,Grand Prix International de la ville de Nogent-sur-Oise (1.2),168,,
25.08,DNF,,Schaal Sels Merksem / Johan Museeuw Classic (1.1),128,,
21.08,DNF,,Veenendaal-Veenendaal Classic (1.1),190.7,,
20.08,47,,Grand Prix des Marbriers (1.2),160,,
11.08,20,,Antwerpse Havenpijl (1.2),181,,
28.07,59,,Grand Prix de la ville de Pérenchies (1.2),162.4,,
16.06,39,,Midden-Brabant Poort Omloop (1.2),197.2,,
10.06,DNF,,Ronde van Limburg (1.1),201.1,,
09.06,65,,Memorial Philippe Van Coningsloo (1.2),180.1,,
30.05,DNF,,Circuit de Wallonie (1.1),192.2,,
26.05,DNF,,Grote Prijs Marcel Kint (1.1),188.1,,
12.05,DNF,,Flèche Ardennaise (1.2),179.7,,
11.05,DNF,,PWZ Zuidenveld Tour (1.2),197.3,,
04.05,5,,Pan American Championships U23 - Road Race (CC),132.3,28,50
21.04,4,,National Championships Chile - Road Race (NC),150,4,15
18.04,7,,National Championships Chile U23 - ITT (NC),30,,
06.03 » 10.03,,,Vuelta Ciclista a Chiloe (2.2),,,
,8,,Youth classification,,,
,7,,Points classification,,,
,43,,General classification,,,
10.03,51,,Stage 4 (ITT) - Puqueldón › Isla Lemuy,11.5,,
09.03,71,43,Stage 3 - Chonchi › Chonchi,117,,
08.03,33,36,"Stage 2 - Curaco de Velez › Achao, Isla Quinchao",117,,
07.03,39,42,Stage 1 - Quellón › Quellón,121.7,,
06.03,60,60,Prologue - Castro › Castro,1.99,,
28.09,DNF,,World Championships U23 - Road Race (WC),179.5,,
17.09 » 23.09,,,Tour of China II (2.1),,,
,78,,General classification,,,
23.09,17,,Stage 5 - Anshun › Anshun,127.8,,
22.09,106,90,Stage 4 (ITT) - Anshun › Anshun,21.3,,
20.09,31,71,Stage 3 - Zhuhai Hengqin › Zhuhai Hengqin,92,,
19.09,63,79,Stage 2 - Qingyuan Fogang › Qingyuan Fogang,128.4,,
18.09,95,84,Stage 1 - Yongzhou Ningyuan › Yongzhou Ningyuan,99.4,,
17.09,91,91,Prologue - Xinning Langshan › Xinning Langshan,6.9,,
08.09 » 15.09,,,Tour of China I (2.1),,,
,94,,General classification,,,
15.09,32,,Stage 7 - Xinning Langshan › Langshan,107.2,,
13.09,33,94,Stage 6 - Qianjiang › Qianjiang,113,,
12.09,22,95,Stage 5 - Yinchang › Zhijiang,113.9,,
11.09,80,97,Stage 4 - Chongqing Liangping › Chongqing Liangping,69.9,,
10.09,100,100,Stage 3 - Bazhong › Enyang,158,,
09.09,82,89,Stage 2 - Pingchang › Pingchang,140.6,,
08.09,45,50,Stage 1 - Jintang Huaizhou › Jintang Huaizhou,82.9,,
03.09 » 05.09,,,Tour of Xingtai (2.2),,,
,102,,General classification,,,
05.09,72,,Stage 3 - Xingtai › Xingtai,150,,
04.09,109,102,Stage 2 - Xingtai › Lincheng,125,,
03.09,72,72,Stage 1 - Xingtai › Yegoumen Réservoir,123,,
29.08,DNF,,Druivenkoers - Overijse (1.1),196.4,,
26.08,DNF,,Ronde van Midden Nederland (1.2),191.6,,
21.08,DNF,,Grand Prix des Marbriers (1.2),160,,
11.08,74,,KOGA Slag om Norg (1.1),190.9,,
08.07,DNF,,Grand Prix Albert Fauville - Baulet (1.2),168.4,,
07.07,34,,Grote prijs Jean-Pierre Monseré (1.1),192.9,,
30.06,DNF,,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs (1.2),176.7,,
24.06,DNF,,Paris-Chauny (1.1),198.65,,
10.06,DNF,,Midden-Brabant Poort Omloop (1.2),197.2,,
09.06,DNF,,Dwars door de Vlaamse Ardennen (1.2),200,,
03.06,DNF,,Memorial Philippe Van Coningsloo (1.2),179.9,,
02.06,DNF,,Market Heistse Pijl (1.1),194.1,,
05.05,4,,Pan American Championships U23 - Road Race (CC),144,32,30
23.09,83,,World Championships MJ - Road Race (WC),133.8,,
19.09,59,,World Championships MJ - ITT (WC),21.1,,
06.08,3,,Panamerican Championships MJ - Road Race (CC),114,50,3
16.04,1,,National Championships Chile MJ - Road Race (NC),,20,
