date,result ranking,general classification,race name,distance,PCS point,UCI point,year
05.10,DNS,,Tre Valli Varesine (1.Pro) ,196.7,,,2021
28.09 » 03.10,,,Cro Race (2.1) ,,,,2021
,11,,Points classification ,,,,2021
,19,,General classification ,,2,3,2021
03.10,49,,Stage 6 - Samobor › Zagreb ,156.5,,,2021
02.10,28,23,Stage 5 - Rabac/Labin › Opatija ,137.5,,,2021
01.10,3,4,Stage 4 - Zadar › Crikvenica ,197,7,3,2021
30.09,4,17,Stage 3 - Primošten › Makarska ,167,5,,2021
29.09,63,39,Stage 2 - Slunj › Otočac ,187,,,2021
28.09,14,19,Stage 1 - Osijek › Varaždin ,237,,,2021
12.09,DNF,,European Continental Championships - Road Race (CC) ,179.2,,,2021
31.08 » 05.09,,,Turul Romaniei (2.1) ,,,,2021
,29,,Points classification ,,,,2021
05.09,26,,Stage 5 - Bucharest › Bucharest ,98.6,,,2021
,15,,General classification ,,6,5,2021
04.09,22,15,Stage 4 - Brasov › Bucharest ,159.3,,,2021
03.09,23,15,Stage 3 - Sibiu › Poiana Brașov ,187,,,2021
02.09,16,15,Stage 2 - Deva › Păltiniș ,154.9,,,2021
01.09,13,23,Stage 1 - Timișoara › Deva ,201.5,,,2021
31.08,22,22,Prologue - Timișoara › Timișoara ,4,,,2021
24.07,DNF,,Olympic Games Road Race (Olympics) ,234,,,2021
09.06 » 13.06,,,Tour of Slovenia (2.Pro) ,,,,2021
,10,,Mountains classification ,,,,2021
,47,,Points classification ,,,,2021
,73,,General classification ,,,,2021
13.06,65,,Stage 5 - Ljubljana › Novo mesto ,175.3,,,2021
12.06,55,76,Stage 4 - Ajdovščina › Nova Gorica  126k,164.1,,,2021
11.06,87,100,Stage 3 - Brežice › Krško ,165.8,,,2021
10.06,83,90,Stage 2 - Žalec › Celje (Celjski Grad) ,147,,,2021
09.06,34,36,Stage 1 - Ptuj › Rogaška Slatina ,151.5,,,2021
27.05 » 30.05,,,Boucles de la Mayenne (2.Pro) ,,,,2021
,41,,General classification ,,,,2021
30.05,37,,Stage 4 - Méral › Laval ,181,,,2021
29.05,46,45,Stage 3 - Saint-Berthevin › Craon ,182,,,2021
28.05,55,48,Stage 2 - Vaiges › Évron ,173,,,2021
27.05,52,52,Stage 1 - Le Genest-Saint-Isle › Ambrières-les-Vallées ,175,,,2021
12.05 » 16.05,,,Tour de Hongrie (2.1) ,,,,2021
,48,,General classification ,,,,2021
16.05,59,,Stage 5 - Budapest › Budapest ,92.4,,,2021
15.05,48,48,Stage 4 - Balassagyarmat › Gyöngyös-Kékestető ,202.2,,,2021
14.05,51,59,Stage 3 - Veszprém › Tata ,141.9,,,2021
13.05,44,63,Stage 2 - Balatonfüred › Nagykanizsa ,182.6,,,2021
12.05,82,83,Stage 1 - Siófok › Kaposvár ,173,,,2021
11.04 » 18.04,,,Presidential Cycling Tour of Turkey (2.Pro) ,,,,2021
,53,,Points classification ,,,,2021
,30,,General classification ,,,5,2021
18.04,51,,Stage 8 - Bodrum › Kusadasi ,160.3,,,2021
17.04,50,32,Stage 7 - Marmaris › Turgutreis ,180,,,2021
16.04,15,35,Stage 6 - Fethiye › Marmaris ,129.1,,,2021
15.04,42,41,Stage 5 - Kemer › Elmalı (Göğübeli) ,160.3,,,2021
14.04,70,36,Stage 4 - Alanya › Kemer ,184.4,,,2021
13.04,30,28,Stage 3 - Beysehir › Alanya ,212.6,,,2021
12.04,21,25,Stage 2 - Konya › Konya ,144.9,,,2021
11.04,31,34,Stage 1 - Konya › Konya ,72.4,,,2021
23.03 » 27.03,,,Settimana Internazionale Coppi e Bartali (2.1) ,,,,2021
27.03,DNF,,Stage 5 - Forlì › Forlì ,166.2,,,2021
26.03,100,111,Stage 4 - San Marino › San Marino ,154.8,,,2021
25.03,119,111,Stage 3 - Riccione › Riccione ,139,,,2021
24.03,93,93,Stage 2 - Riccione › Sogliano al Rubicone ,163.5,,,2021
23.03,41,41,Stage 1a - Gatteo › Gatteo ,97.8,,,2021
23.03,21,108,Stage 1b (TTT) - Gatteo › Gatteo ,10.8,,,2021
20.03,60,,Milano-Sanremo (1.UWT) ,299,5,3,2021
06.03,78,,Strade Bianche (1.UWT) ,184,5,,2021
05.10,DNS,,Tre Valli Varesine (1.Pro),196.7,,,2021
28.09 » 03.10,,,Cro Race (2.1),,,,2021
