date,result ranking,general classification,race name,distance,PCS point,UCI point
01.08,DNF,,GP Industria & Artigianato - Carnaghese (1.1),196.8,,
03.07,45,,European Championships U23 - ITT (CC),23.5,,
11.06 » 14.06,,,Tour de Slovénie (2.1),,,
,11,,Youth classification,,,
,74,,General classification,,,
14.06,52,,Stage 4 - Celje › Novo mesto,157,,
13.06,71,97,Stage 3 - Škofja Loka › Krvavec,153,,
12.06,78,115,Stage 2 - Piran › Koper,179,,
11.06,117,118,Stage 1 - Ljubljana › Postojna,161,,
31.05,78,,GP Kranj (1.1),161.6,,
25.05,10,,Velika Nagrada Ptuja (1.2),192.2,,
22.04 » 25.04,,,Giro del Trentino (2.1),,,
24.04,127,,Stage 3 - Torri del Benaco › Folgaria,173,,
23.04,138,,Stage 2 - Torbole sul Garda  › Torri del Benaco,178,,
22.04,138,,Stage 1 (ITT) - Arco  ›  Riva del Garda,10,,
20.04,DNF,,Giro d'Oro (1.1),189.6,,
16.04,20,,La Côte Picarde Nations Cup (Int.),171,,
01.04 » 06.04,,,Settimana Ciclista Lombarda (2.1),,,
,129,,General classification,,,
06.04,101,,Stage 6 - Bergamo › Bergamo,162.7,,
05.04,130,,Stage 5 - Flero › Flero,163.5,,
04.04,137,,Stage 4 - Vertova › Vertova,192.6,,
03.04,94,,Stage 3 - Dalmine › Dalmine,174.4,,
02.04,38,,Stage 2 - Brignano Gera d'Adda › Costa Volpino,163.8,,
01.04,25,,Stage 1 (TTT) - Brignano Gera d'Adda › Brignano Gera d'Adda,18.3,,
25.03 » 29.03,,,Settimana Internazionale Coppi e Bartali (2.1),,,
26.03,OTL,,Stage 2 - Castel San Pietro Terme › Faenza,175.6,,
25.03,172,,Stage 1a - Riccione › Riccione,95.2,,
09.03,66,,Porec Trophy - Trofej Porec (1.2),131,,
15.02 » 17.02,,,Giro della Provincia di Grosseto (2.1),,,
15.02,DNF,,Stage 1 - Massa Marittima › Follonica,168,,
09.02,58,,GP Costa Degli Etruschi (1.1),192,,
29.09,DNF,,World Championships U23 - Road Race (WC),172,,
06.09 » 15.09,,,Tour de l'Avenir (2.Ncup),,,
,87,,General classification,,,
15.09,82,,Stage 10 -  Craponne-sur-Arzon ›  Saint-Flour,148,,
14.09,89,,Stage 9 -  Chomelix ›  Craponne-sur-Arzon,148,,
13.09,94,,Stage 8 -  Besse-et-Saint-Anastaise ›  Brioude,134,,
12.09,110,,Stage 7 -  Cérilly ›  Super-Besse,175,,
11.09,74,,Stage 6 -  Contres ›  Saint-Amand-Montrond,144,,
10.09,91,,Stage 5 (ITT) -  Sassay ›  Sassay,24,,
09.09,57,,Stage 4 -  Cholet ›  Contres,212,,
08.09,25,,Stage 3 -  Pipriac ›  Cholet,138,,
07.09,109,,Stage 2 -  Quiberon ›  Saint-Jean-la-Poterie,164,,
06.09,110,,Stage 1 -  Belle-Île-en-Mer ›  Belle-Île-en-Mer,148,,
30.08,DNF,,GP Industria Artigianato e Commercio Carnaghese (1.1),180.4,,
29.08,DNF,,GP Nobili Rubinetterie (1.1),184.8,,
26.07 » 29.07,,,Brixia Tour (2.1),,,
,85,,General classification,,,
29.07,23,,Stage 4 - Pisogne › Darfo Boario Terme,184.5,,
28.07,72,,Stage 3 - S. Vigilio di Concesio › Passo Maniva,156.5,,
27.07,73,,Stage 2a - Esine Plemo › Breno,81.5,,
27.07,104,,Stage 2b - Pian Camuno › Borno,98.4,,
26.07,88,,Stage 1 - Brescia › Toscolano Maderno,157.4,,
22.07,21,,European Championships U23 - Road Race (CC),168,,
01.07,1,,National Championships Slovenia U23 - Road Race (),,,
12.06 » 16.06,,,Tour de Slovénie (2.1),,,
,17,,Youth classification,,,
,16,,Points classification,,,
,77,,General classification,,,
16.06,6,,Stage 5 - Grosuplje › Novo mesto,162,3,2
15.06,79,88,Stage 4 - Kranjska Gora › Vršic,160,,
14.06,88,94,Stage 3 - Medvode › Beljak,168,,
13.06,86,87,Stage 2 - Šentjernej › Ljubljana,163,,
12.06,53,5,Stage 1 - Ljubljana › Zagreb,182,,
12.05 » 20.05,,,Olympia's Tour (2.2),,,
,26,,General classification,,,
20.05,38,,Stage 9 - Buchten › Buchten,192.9,,
19.05,57,,Stage 8 - Son en Breugel › Buchten,151.8,,
18.05,49,,Stage 7 - Hardenberg › Son en Breugel,211.4,,
17.05,122,,Stage 6 (ITT) - Hardenberg › Hardenberg,17,,
17.05,33,,Stage 5 - Heerenveen › Hardenberg,98.7,,
16.05,16,,Stage 4 - Heerhugowaard › Heerenveen,173.8,,
15.05,61,,Stage 3 - Hoofddorp › Heerhugowaard,146.9,,
14.05,33,,Stage 2 - Gendringen › Hoofddorp,197.4,,
13.05,52,,Stage 1 - Anholt › Gendringen,158.5,,
12.05,84,,Prologue - Varsseveld › Varsseveld,6.4,,
24.04 » 27.04,,,Giro del Trentino (2.1),,,
25.04,120,,Stage 2 - S.Massenza › Predaia rif. Sores,144.4,,
24.04,141,,Stage 1 - Arco › Terlago,165,,
21.04,78,,Liège-Bastogne-Liège U23 (1.Ncup),183.4,,
18.04,DNF,,La Côte Picarde (1.Ncup),179,,
05.04 » 09.04,,,Settimana Ciclista Lombarda (2.1),,,
08.04,37,,Stage 3 - Brignano Gera d'Adda › Brignano Gera d'Adda,175.2,,
07.04,131,,Stage 2 - Roncadelle › Roncadelle,174.5,,
06.04,176,,Stage 1 - Vertova › Vertova,146.1,,
11.03,40,,Porec Trophy - Trofej Porec (1.2),131,,
20.07 » 23.07,,,Brixia Tour (2.1),,,
,108,,General classification,,,
23.07,51,,Stage 4 - Bassano Bresciano › Palazzolo sull'Oglio,177.9,,
22.07,107,,Stage 3b - Pian Camuno › Saviore dell'Adamello,63.3,,
22.07,14,,Stage 3a - Pisogne › Darfo Boario Terme,101.8,,
