date,result ranking,general classification,race name,distance,PCS point,UCI point
03.04,36,,Vuelta Ciclista a La Rioja (1.1),157.4,,
02.04,DNF,,Gran Premio Miguel Indurain (1.1),192,,
14.02,59,,Clasica de Almeria (1.1),21,,
13.02,DNF,,Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),199.3,,
03.02 » 07.02,,,Volta a la Comunitat Valenciana (2.1),,,
06.02,DNF,,Stage 4 - Orihuela › Xorret del Catí,141.3,,
05.02,105,177,Stage 3 - Sagunto › Alzira,173.5,,
04.02,179,185,Stage 2 - Castellon › Fredes,163.3,,
03.02,164,164,Stage 1 (ITT) - Benicàssim › Oropesa del Mar,16.25,,
31.01,19,,Trofeo Playa de Palma - Palma (1.1),161.5,2,3
29.01,DNF,,Trofeo Pollenca - Port de Andratx (1.1),162.6,,
28.01,80,,Trofeo Felanitx - Ses Salines - Campos - Porreres (1.1),174,,
04.08 » 08.08,,,Vuelta a Burgos (2.HC),,,
08.08,DNF,,Stage 5 - Comunera de Revenga › Lagunas de Neila,170,,
07.08,63,38,Stage 4 - Belorado › Pineda de la Sierra (Valle del Sol),161,,
06.08,15,32,Stage 3 - Castrojeriz › Villadiego,165,,
05.08,6,63,Stage 2 (TTT) - Burgos › Burgos,13.14,,1.25
04.08,70,70,Stage 1 - Santo Domingo de Silos › Romana de Clunia,149,,
31.07,12,,Circuito de Getxo (1.1),170,10,3
25.07,39,,Prueba Villafranca-Ordiziako Klasika (1.1),170,,
09.07 » 12.07,,,GP Internacional Torres Vedras - Trofeu Joaquim Agostinho (2.2),,,
09.07,81,81,Prologue - Turcifal › Turcifal,8,,
28.06,14,,National Championships Spain - Road Race (NC),189.5,,
07.06 » 14.06,,,Tour de Korea (2.1),,,
09.06,DNS,,Stage 3 - Muju › Muju,99,,
08.06,18,46,Stage 2 - Gumi › Muju,174.4,,
07.06,92,92,Stage 1 - Busan › Gumi,189.1,,
29.05 » 31.05,,,Tour de Gironde (2.2),,,
,13,,Mountains classification,,,
,44,,General classification,,,
31.05,81,,Stage 3 - Mios › Villenave d'Ornon,195,,
30.05,78,78,Stage 2 - Bassens › Cenon,169,,
29.05,115,114,Stage 1 - Pauillac › Pauillac,173.7,,
09.05 » 10.05,,,Vuelta Ciclista Comunidad de Madrid (2.1),,,
09.05,DNF,,Stage 1 - Colmenar Viejo › Colmenar Viejo,200,,
05.04,19,,Vuelta Ciclista a La Rioja (1.1),166.3,2,
15.02,DNF,,Clasica de Almeria (1.1),183.3,,
01.02,DNF,,Trofeo Playa de Palma-Palma (1.1),168.2,,
31.01,DNF,,Trofeo Serra de Tramuntana (1.1),165.7,,
29.01,110,,Trofeo Santanyi-Ses Salines-Campos (1.1),175.5,,
20.10 » 28.10,,,Tour of Hainan (2.HC),,,
26.10,DNF,,Stage 7 - Dongfang › Wuzhishan,199.3,,
25.10,88,120,Stage 6 - Sanya › Dongfang,182.1,,
24.10,129,121,Stage 5 - Wanning › Sanya,192.8,,
23.10,112,104,Stage 4 - Wenchang › Xinglong,145.8,,
22.10,65,105,Stage 3 - Haikou › Yueliangwan,134.7,,
21.10,96,120,Stage 2 - Chengmai › Haikou,207.2,,
20.10,49,128,Stage 1 - Chengmai › Chengmai,85.4,,
30.07 » 10.08,,,Volta a Portugal em Bicicleta Liberty Seguros (2.1),,,
01.08,DNF,,Stage 2 - Gondomar › Braga,171.8,,
31.07,117,97,Stage 1 - Lousada › Maia,183.5,,
30.07,35,35,Prologue - Fafe › Fafe,6.8,,
25.07,27,,Prueba Villafranca-Ordiziako Klasika (1.1),170,,
10.07 » 13.07,,,GP Internacional Torres Vedras - Trofeu Joaquim Agostinho (2.2),,,
13.07,DNF,,Stage 3 - São Martinho do Porto › Carvoeira,164,,
12.07,60,66,Stage 2 - Atouguia de Beleia › Torres Vedras,147.5,,
11.07,71,71,Stage 1 - Manique do Intendente › Sobral de Monte Agraço,170.3,,
10.07,33,33,Prologue - Torres Vedras › Torres Vedras,7.5,,
19.06 » 22.06,,,Tour des Pays de Savoie (2.2),,,
20.06,DNF,,Stage 2 - Chambéry › Passy Plateau d'Assy,146,,
19.06,103,103,Stage 1 - Saint-Michel-de-Maurienne › Valmeinier,124.3,,
29.05 » 01.06,,,Tour de Gironde (2.2),,,
31.05,DNF,,Stage 4 - Fargues St Hilaire › Cenon,172.2,,
30.05,128,107,Stage 3 - St André de Cubzac › Braud et St Louis,179.3,,
29.05,110,78,Stage 2 - St Aubin du Médoc › Biganos,113.9,,
29.05,18,80,Stage 1 (TTT) - Pian Médoc › Pian Médoc,21.8,,
04.03 » 09.03,,,Vuelta Mexico (2.2),,,
05.03,DNF,,Stage 2 - Cuernavaca › Cuernavaca,144.8,,
04.03,120,120,Stage 1 - Mexico City › Cuernavaca,81.6,,
12.02,87,,Trofeo Platja de Muro (1.1),162,,
10.02,41,,Trofeo Ses Salines (1.1),183,,
09.02,37,,Trofeo Palma (1.1),116,,
12.11,57,,Tour of Nanjing (1.2),122,,
02.11 » 10.11,,,Tour of Taihu Lake (2.1),,,
,5,,Youth classification,,,
,16,,General classification,,5,
10.11,44,,Stage 9 - Wujiang › Wujiang,94.4,,
09.11,48,14,Stage 8 - Wujin › Wujin,80,,
08.11,37,13,Stage 7 - Yixing › Yixing,122.8,,
07.11,5,12,Stage 6 - Changxing › Changxing,110.2,4,4
06.11,8,11,Stage 5 - Huzhou › Huzhou,122.9,1,
05.11,15,10,Stage 4 - Changshu › Changshu,136,,
04.11,12,9,Stage 3 - Nantong › Nantong,98,,
03.11,21,16,Stage 2 - Zhangjiagang Shuangshan › Zhangjiagang Shuangshan,129,,
02.11,27,27,Stage 1 - Wuxi › Wuxi,80.6,,
20.10 » 28.10,,,Tour of Hainan (2.HC),,,
27.10,DNF,,Stage 8 - Dongfang › Danzhou,172.4,,
26.10,19,47,Stage 7 - Wuzhishan › Dongfang,217.2,,
25.10,25,47,Stage 6 - Sanya › Wuzhishan,115.6,,
24.10,23,56,Stage 5 - Wanning › Sanya,187.1,,
23.10,65,73,"Stage 4 - Qionghai › Xinglong, Wanning",183.6,,
22.10,104,77,Stage 3 - Haikou › Qionghai,147.4,,
21.10,25,54,Stage 2 - Chengmai › Haikou,174.5,,
20.10,88,88,Stage 1 - Chengmai old Town › Chengmai,85.6,,
23.09 » 30.09,,,Tour of China II (2.1),,,
,9,,General classification,,16,7
30.09,4,,Stage 6 - Tianjin › Tianjin,100.5,5,5
28.09,11,9,Stage 5 - Wuhan Jiangxia › Wuhan Caidian,133.8,,
27.09,34,9,Stage 4 - Zaoyang › Wuhan Caidian,207.3,,
26.09,17,8,Stage 3 - Xiangyang Laohekou › Xiangyang Gucheng,132.8,,
24.09,8,11,Stage 2 - Yueyang › Yueyang,132.6,1,
23.09,32,42,Stage 1 - Changsha › Changsha,124.2,,
14.09 » 20.09,,,Tour of China I (2.1),,,
20.09,DNF,,Stage 6 - Zunyi Songkan › Zunyi,137.2,,
19.09,94,101,Stage 5 - Chongqing Banan › Chongqing Banan,124.2,,
18.09,104,101,Stage 4 - Chengdu Dujiangyan › Chengdu Dujiangyan,101.7,,
17.09,9,70,Stage 3 - Chengdu Pengzhou › Chengdu Pengzhou,151,,
16.09,50,71,Stage 2 - Deyang › Deyang Shifang,201.6,,
14.09,73,74,Stage 1 - Xi'an › Xi'an,96.9,,
02.08 » 04.08,,,Vuelta Ciclista a León (2.2),,,
,29,,General classification,,,
04.08,12,,Stage 3 - Carbajal de la Legua › Villaouilambre,156.1,,
03.08,30,31,Stage 2 - Matallana de Torio › Puente Almuhey,164.7,,
02.08,40,40,Stage 1 - Tabuyo del Monte › Molinaseca,154.7,,
31.07,DNF,,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1),170,,
25.07,DNF,,Prueba Villafranca-Ordiziako Klasika (1.1),165.7,,
19.07 » 21.07,,,GP Internacional Torres Vedras - Trofeu Joaquim Agostinho (2.2),,,
,12,,Youth classification,,,
,62,,General classification,,,
21.07,73,,Stage 3 - Manique do Intendente › Alto da Carvoeira,177,,
20.07,43,43,Stage 2 - Atouguia da Baleia › Torres Vedras,153.3,,
19.07,20,23,Stage 1 - Silveira › Vimeiro,160.8,,
01.05 » 05.05,,,Tour de Azerbaijan (2.2),,,
,77,,General classification,,,
05.05,64,,Stage 5 - Baku › Baku,144,,
04.05,89,84,Stage 4 - Qubala › Pirqulu,116,,
03.05,92,70,Stage 3 - Qabala › Qubala,165,,
02.05,63,61,Stage 2 - Baku › Ismayilli,183,,
01.05,23,23,Stage 1 - Baku › Baku,157,,
07.04,DNF,,Klasika Primavera de Amorebieta (1.1),171.6,,
31.03,27,,Vuelta Ciclista a La Rioja (1.1),158.7,,
30.03,DNF,,Gran Premio Miguel Indurain (1.1),179.3,,
06.02,OTL,,Trofeo Alcúdia-Can Picafort-Playa de Muro (1.1),169.8,,
05.02,OTL,,"Trofeo Serra de Tramuntana, Deià-Lluc (1.1)",152.9,,
04.02,98,,Trofeo Migjorn (1.1),167,,
03.02,106,,Trofeo Palma (1.1),116,,
17.04 » 21.04,,,Toscana-Terra di ciclismo (2.Ncup),,,
20.04,DNF,,Stage 4 - Terranuova Bracciolini  › Cortona,146,,
19.04,94,93,Stage 3 - Cavriglia › Cavriglia,145.6,,
18.04,86,86,Stage 2 - Figline Valdarno  › Gaiole in Chianti,130.2,,
17.04,91,91,Stage 1 - Figline Valdarno  › Scarperia,165,,
23.06,8,,National Championships Spain U23 - ITT (NC),23,,
08.04 » 11.04,,,Cinturón Ciclista Internacional a Mallorca (2.2),,,
11.04,DNF,,Stage 4 - Castell de Bellver › Castell de Bellver,91.9,,
10.04,114,,Stage 3 - S’Arenal de Llucmajor › S’Arenal de Llucmajor,153.9,,
10.04,119,,Stage 3 - S’Arenal de Llucmajor › S’Arenal de Llucmajor,153.9,,
09.04,105,,Stage 2 - Port de Pollença › Port de Pollença,136.9,,
08.04,15,,Prologue - Playa de Muro › ,2.28,,
08.08,46,,World Championships MJ - ITT (WC),25.8,,
24.07,2,,National Championships Spain MJ - ITT (NC),,16,
11.06 » 14.06,,,Trofeo Karlsberg (2.Ncup),,,
13.06,42,,Stage 4 - Homburg › Homburg,89,,
13.06,37,,Stage 3 - Böckweiler › Altheim,11.7,,
12.06,41,,Stage 2 - Völklingen › Großrosseln,77.7,,
11.06,64,,Stage 1 - Blieskastel › Wittersheim,108,,
