date,result ranking,general classification,race name,distance,PCS point,UCI point
17.07 » 30.07,,,Tour of Qinghai Lake (2.HC),,,
,9,,Mountains classification,,,
,43,,Points classification,,,
,34,,General classification,,,3
30.07,32,,Stage 13 - Baiyin › Baiyin,95,,
29.07,92,34,Stage 12 (ITT) - Zhongwei › Zhongwei,22.6,,
28.07,95,31,Stage 11 - Yinchuan › Yinchuan,123,,
27.07,61,31,Stage 10 - Tianshui › Pingliang,240,,
26.07,54,34,Stage 9 - Tianshui › Tianshui,100,,
24.07,39,35,Stage 8 - Ledu › Linxia,235,,
23.07,73,35,Stage 7 - Qilian › Qingshizui,150,,
22.07,39,37,Stage 6 - Xihai Town › Qilan,207,,
21.07,96,39,Stage 5 - Qinghai Lake › Gangcha,185,,
20.07,28,25,Stage 4 - Guide › Qinghai Lake,147,,
19.07,31,31,Stage 3 - Duoba › Guide,133,,
18.07,102,86,Stage 2 - Xining › Datong,165,,
17.07,57,59,Stage 1 - Xining › Xining,113,,
13.06 » 26.06,,,Vuelta a Colombia (2.2),,,
16.06,DSQ,,Stage 4 - Monteria › Caucasia,118.7,,
15.06,98,86,Stage 3 - Sincelejo  › Monteria,126.8,,
14.06,90,87,Stage 2 - Cartagena  › Montes de Maria,128.6,,
13.06,85,85,Stage 1 (ITT) - Turbaco › Arjona,10.5,,
20.10 » 28.10,,,Tour of Hainan (2.HC),,,
,7,,Mountains classification,,,
,27,,General classification,,,
28.10,57,,Stage 9 - Wuzhishan › Xinglong,119,,
27.10,23,26,Stage 8 - Dongfang › Wuzhishan,204.8,,
26.10,26,77,Stage 7 - Sanya › Dongfang,165.7,,
25.10,25,78,Stage 6 - Qiongzhong › Sanya,174.1,,
24.10,62,85,Stage 5 - Chengmai › Qiongzhong,191.9,,
23.10,40,90,Stage 4 - Haikou › Chengmai,237,,
22.10,72,92,Stage 3 - Wenchang › Haikou,130.7,,
21.10,78,98,Stage 2 - Xinglong › Wenchang,188.3,,
20.10,86,89,Stage 1 - Xinglong › Xinglong,76.1,,
05.07 » 18.07,,,Tour of Qinghai Lake (2.HC),,,
,2,,Mountains classification,,,
,51,,Points classification,,,
,18,,General classification,,12,
18.07,22,,Stage 13 - Shuitonggou › Yinchuan,135,,
17.07,40,18,Stage 12 - Zhongwei › Zhongwei,120,,
16.07,30,18,Stage 11 - Tianshui › Pingliang,235,,
15.07,63,18,Stage 10 - Tianshui › Tianshui,100,,
13.07,24,18,Stage 9 - Linxia › Dingxi,203,,
12.07,70,18,Stage 8 - Xunhua › Linxia,126,,
11.07,14,19,Stage 7 - Guide › Xunhua,190,,
10.07,30,27,Stage 6 - Gonghe › Guide,138,,
09.07,12,29,Stage 5 - Xihaizhen › Gonghe,133,,
08.07,35,39,Stage 4 - Qinghai Lake › Gangcha,185,,
07.07,55,54,Stage 3 - Xining › Qinghai Lake,148,,
06.07,24,26,Stage 2 - Duoba › Datong,188,,
05.07,18,23,Stage 1 - Xining › Xining,121,,
20.10 » 28.10,,,Tour of Hainan (2.HC),,,
22.10,DNF,,Stage 3 - Haikou › Yueliangwan,134.7,,
21.10,75,73,Stage 2 - Chengmai › Haikou,207.2,,
20.10,73,73,Stage 1 - Chengmai › Chengmai,85.4,,
06.08 » 17.08,,,Vuelta a Colombia (2.2),,,
,55,,General classification,,,
17.08,46,,Stage 11 - Medellín › Medellín,97.2,,
16.08,7,56,Stage 10 (ITT) - Medellín › Alto de Las Palmas,17.5,,
15.08,107,59,Stage 9 - Manizales › La Estrella,182.8,,
14.08,70,,Stage 8 - Pereira › Manizales,199.5,,
13.08,42,40,Stage 7 - Dosquebradas › Dosquebradas,196,,
11.08,43,41,Stage 6 - Ibagué › Pereira,158.1,,
10.08,17,43,Stage 5 - Madrid › Ibagué,202.3,,
09.08,20,60,Stage 4 - Nobsa › Cota,198.7,,
08.08,28,58,Stage 3 - Barbosa › Tunja,123.2,,
07.08,51,91,Stage 2 - San Gil › Barbosa,116.1,,
06.08,12,114,Stage 1 (TTT) - Piedecuesta › Piedecuesta,28.8,,
06.07 » 19.07,,,Tour of Qinghai Lake (2.HC),,,
,5,,Mountains classification,,,
,24,,Points classification,,,
,16,,General classification,,16,
19.07,27,,Stage 13 - Lanzhou › Lanzhou,92,,
18.07,51,17,Stage 12 - Zhongwei › Zhongwei,120,,
17.07,64,17,Stage 11 - Yinchuan › Yinchuan,133,,
16.07,18,17,Stage 10 - Tianshui › Pingliang,227,,
15.07,13,18,Stage 9 - Tianshui › Tianshui,118,,
13.07,23,18,Stage 8 - Xunhua › Lintao,225,,
12.07,8,19,Stage 7 - Tongren › Hualong,143,1,2
11.07,21,17,Stage 6 - Guide › Tongren,208,,
10.07,9,19,Stage 5 - Qinghai Lake › Guide,203,,
09.07,99,41,Stage 4 - Xihai › Heimahe,206,,
08.07,82,41,Stage 3 - Huzhu › Xihai,234,,
07.07,91,11,Stage 2 - Duoba › Datong,188,,
06.07,11,13,Stage 1 - Xining › Xining,122,,
04.03 » 09.03,,,Vuelta Mexico (2.2),,,
,5,,Points classification,,,
,9,,General classification,,2,
09.03,105,,Stage 6 - Mexico City › Mexico City,101.2,,
08.03,17,9,Stage 5 (ITT) - Chapultepec › Chapultepec,2.5,,
07.03,12,10,Stage 4 - Huamantla › Huamantla,110.4,,
06.03,14,10,Stage 3 - Cuautla › La Malincha,201.2,,
05.03,31,11,Stage 2 - Cuernavaca › Cuernavaca,144.8,,
04.03,7,7,Stage 1 - Mexico City › Cuernavaca,81.6,,
09.06 » 23.06,,,Vuelta a Colombia (2.2),,,
,16,,Mountains classification,,,
,22,,General classification,,,
23.06,30,,Stage 14 (ITT) - Medellín › Medellín,27.9,,
22.06,15,22,Stage 13 - Medellín › Alto de Santa Helena,133.3,,
21.06,41,22,Stage 12 - Doradál › Medellín,174.3,,
20.06,11,20,Stage 11 - Cota › La Dorada,184.9,,
19.06,25,23,Stage 10 - Nobsa › Ubaté,195.6,,
18.06,21,23,Stage 9 - Sopó › Santa Rosa de Viterbo,172.9,,
16.06,14,24,Stage 8 - Ibagué › Bogotá,213,,
15.06,25,30,Stage 7 - Manizales › Ibagué,183.1,,
14.06,19,42,Stage 6 - Buga › Manizales,198.8,,
13.06,117,46,Stage 5 - Popayán › Cali,132.1,,
12.06,27,45,Stage 4 - Pasto › El Bordo,164.3,,
11.06,44,48,Stage 3 - Ipiales › Pasto,92.2,,
10.06,20,49,Stage 2 - Ibarra › Ipiales,134.1,,
09.06,89,89,Stage 1 - Quito › Ibarra,131.8,,
14.11,11,,National Championships Colombia - ITT (NC),42.6,,
12.06 » 24.06,,,Vuelta Pilsen a Colombia (2.2),,,
,21,,General classification,,,
24.06,4,,Stage 11 (ITT) - Medellín › Alto de Las Palmas,27.8,,
23.06,25,24,Stage 10 - Manizales › Medellín,196.4,,
22.06,51,30,Stage 9 - Dosquebradas › Manizales,119.5,,
21.06,27,11,Stage 8 - Palmira › Dosquebradas,198.2,,
20.06,29,13,Stage 7 - Popayan › Palmira,149.1,,
18.06,50,13,Stage 6 - Cali › Popayan,133,,
17.06,90,8,Stage 5 - Armenia › Cali,191.6,,
16.06,13,8,Stage 4 - Ibagué › Armenia,130.2,,
15.06,23,40,Stage 3 - Soacha › Ibagué,198,,
14.06,41,50,Stage 2 - Santander › Santander,164.1,,
13.06,74,73,Stage 1 - Puerto Gaitán › Villavicencio,192.8,,
12.06,58,58,Prologue - Puerto Gaitán › Puerto Gaitán,3.8,,
12.06 » 26.06,,,Vuelta Pilsen a Colombia (2.2),,,
,10,,General classification,,1,
26.06,5,,Stage 15 (ITT) - Medellín › Santa Elena,18,,
25.06,17,,Stage 14 - Puerto Boyacá › La Unión,200,,
24.06,77,,Stage 13 - Barrancabermeja › Puerto Boyacá,189,,
23.06,94,,Stage 12 - Bucaramanga › Barrancabermeja,205,,
22.06,7,,Stage 11 - Socorro › Bucaramanga,130,,
20.06,34,,Stage 10 - Duitama › Socorro,199,,
19.06,39,,Stage 9 - Duitama › Duitama,96,,
18.06,45,,Stage 8 - Chía › Paipa,232,,
17.06,1,,Stage 7 - Ibagué › Bogotá,221,5,
16.06,32,,Stage 6 - Caicedonia › Ibagué,116.7,,
15.06,15,,Stage 5 - Yumbo › Caicedonia,146.9,,
14.06,90,,Stage 4 - Zarzal › Yumbo,117,,
13.06,28,,Stage 2 - La Estrella › Pereira,203.7,,
12.06,56,,Stage 1 (ITT) - La Ceja › La Ceja,6,,
27.02,DNF,,Gp Di Lugano (1.1),178.1,,
05.02,72,,GP Costa Degli Etruschi (1.1),186.1,,
28.01 » 30.01,,,Giro della Provincia di reggio Calabria (2.1),,,
,85,,General classification,,,
30.01,78,,Stage 3 - Pizzo Calabro › Reggio Calabria,171.9,,
29.01,95,,Stage 2 - Soverato › Vibo Valentia,192.1,,
28.01,36,,Stage 1 - Melito di Porto Salvo › Catanzaro,164.1,,
06.08 » 15.08,,,Tour Cycliste International de la Guadeloupe (2.2),,,
,19,,General classification,,,
15.08,12,,Stage 11 - Le Gosier › Pointe-à-Pitre,123,,
14.08,4,,Stage 10 (ITT) - Baillif › Saint-Claude,10.3,,
14.08,14,,Stage 9 - Capesterre-Belle-Eau › Trois-Rivières,97.5,,
13.08,1,,Stage 8 - Bouillante › Capesterre,157.6,5,
11.08,9,,Stage 6 - Vieux-Habitants › Les Abymes,152.2,,
10.08,73,,Stage 5 - Le Moule › Vieux-Habitants,134.3,,
09.08,85,,Stage 4 - Baie-Mahault › Le Moule,166.7,,
08.08,16,,Stage 3 - Deshaies › Baie-Mahault,99,,
07.08,14,,Stage 2 - Pointe-à-Pitre › Deshaies,162.6,,
06.08,7,,Prologue - Pointe-à-Pitre › Pointe-à-Pitre,4,,
06.06 » 21.06,,,Vuelta Pilsen a Colombia (2.2),,,
,27,,General classification,,,
21.06,5,,Stage 15 (ITT) - La Calera › Bogotá,23.1,,
20.06,67,,Stage 14 - Tunja › Bogotá,142.5,,
19.06,3,,Stage 13 - Ubaté › Tunja,158.7,1,
18.06,54,,Stage 12 - Guaduas › Zipaquirá,141.8,,
17.06,26,,Stage 11 - Manizales › Guaduas,167.3,,
15.06,62,,Stage 9 - Ríonegro › Alto del Escobero,119.5,,
14.06,31,,Stage 8 (ITT) - Medellín › Medellín,35,,
12.06,42,,Stage 7 - Santa Rosa de Cabal › Sabaneta,177.8,,
11.06,27,,Stage 6 - Guacarí › Cartago,146.8,,
10.06,85,,Stage 5 - Circasia › Cali,195,,
09.06,50,,Stage 4 - Ibagué › La Linea,128.2,,
08.06,18,,Stage 3 - Mosquera › Ibagué,184.4,,
07.06,9,,Stage 2 - Bogotá › Bogotá,85.9,,
06.06,7,58,Prologue - Bogotá › Bogotá,7.6,,
02.05,2,,National Championships Colombia - Road Race (NC),176,10,
10.05 » 25.05,,,Vuelta a Colombia (2.2),,,
,2,,Mountains classification,,,
,36,,Points classification,,,
,29,,General classification,,,
25.05,54,,Stage 14 - Cali › Cali,96,,
23.05,7,,Stage 12 - Quimbaya › Pereira,158.2,,
22.05,13,,Stage 11 - Mariquita › La Linea,176.8,,
21.05,2,,Stage 10 - Manizales › Mariquita,125.1,2,
20.05,59,,Stage 9 - Caldas › Manizales,173,,
18.05,33,,Stage 8 (ITT) - Medellin › Santa Elena,31,,
17.05,43,,Stage 7 - Rio Negro › La Unión,163.6,,
16.05,29,,Stage 6 - Doradal › Santuario,115.3,,
15.05,49,,Stage 5 - San Francisco › La Dorada,135,,
14.05,69,,Stage 4 - Tunja › La Vega,192,,
13.05,2,,Stage 3 - El Socorro › Tunja,169.5,2,
12.05,65,,Stage 2 - Piedecuesta › El Socorro,136.4,,
11.05,118,,Stage 1 - Barrancabermeja › Bucaramanga,146.9,,
10.05,103,,Prologue - Barrancabermeja › Barrancabermeja,8.4,,
02.02 » 07.02,,,Super Challenge Series (1.1),,,
,27,,,108,,
,44,,,108,,
,14,,,112,,
05.08,DNF,,Sparkassen Giro Bochum (1.1),175.2,,
14.07 » 22.07,,,Tour of Qinghai Lake (2.HC),,,
,18,,General classification,,12,
22.07,89,,Stage 9 - Circuit Xining › ,110,,
21.07,27,,Stage 8 - Menyuan Menyuan › Huzhu,168,,
20.07,19,,Stage 7 - Xining Xining › Menyuan,151,,
19.07,26,,Stage 6 - Xining Xining › Xining,208,,
18.07,24,,Stage 5 - Guide Guide › Xining,115,,
