date,result ranking,general classification,race name,distance,PCS point,UCI point,year
01.04,73,,National Championships Argentina - Road Race (NC) ,188,,,2018
23.01 » 29.01,,,Vuelta Ciclista a la Provincia de San Juan (2.1) ,,,,2017
,118,,General classification ,,,,2017
29.01,107,,Stage 7 - San Juan › San Juan ,111.3,,,2017
28.01,20,125,Stage 6 - Pocito › Pocito ,168.1,,,2017
27.01,140,131,Stage 5 - Chimbas › Alto Colorado ,162.4,,,2017
26.01,11,136,Stage 4 - San Martín › San Martín ,160.5,,,2017
25.01,150,144,Stage 3 (ITT) - San Juan › San Juan ,11.9,,,2017
24.01,116,139,Stage 2 - San Juan › San Juan ,128.8,,,2017
23.01,111,111,Stage 1 - San Juan › San Juan ,142.5,,,2017
17.04,3,,National Championships Argentina - Road Race (NC) ,170,7,,2016
18.01 » 24.01,,,Tour de San Luis (2.1) ,,,,2016
,134,,General classification ,,,,2016
24.01,10,,Stage 7 - San Luis › San Luis ,119.6,,,2016
23.01,133,138,Stage 6 - La Toma › Merlo ,159.5,,,2016
22.01,11,133,Stage 5 - Renca › Juana Koslay ,168.7,,,2016
21.01,157,145,Stage 4 - Terrazas del Portezuelo › Cerro El Amago ,140,,,2016
20.01,134,137,Stage 3 - Potrero de Los Funes › La Punta (Cabildo)  ,131,,,2016
19.01,121,126,Stage 2 - San Luis › Villa Mercedes ,181.9,,,2016
18.01,27,136,Stage 1 (TTT) - El Durazno › El Durazno ,21,,,2016
27.03 » 05.04,,,Vuelta Ciclista del Uruguay (2.2) ,,,,2015
,8,,Points classification ,,,,2015
,44,,General classification ,,,,2015
05.04,8,,Stage 10 - Cardona › Montevideo ,191.2,,,2015
04.04,99,52,Stage 9 (ITT) - Fray Bentos › Fray Bentos ,22.3,,,2015
03.04,5,49,Stage 8 - San José › Mercedes ,195.3,,,2015
02.04,20,49,Stage 7 - Colonia › Santa Lucía ,149.3,,,2015
01.04,3,51,Stage 6 - Durazno › Colonia ,167.8,1,2,2015
31.03,83,61,Stage 5 - Tacuarembó › Durazno ,180.8,,,2015
30.03,89,60,Stage 4 - Tacuarembó › Tacuarembó ,106.3,,,2015
29.03,10,54,Stage 3 - Aiguá › Treinta y Tres ,127.4,,,2015
28.03,9,56,Stage 2 - Minas › Rocha ,171.1,,,2015
27.03,58,58,Stage 1 - Maldonado › Minas ,120.9,,,2015
19.01 » 25.01,,,Tour de San Luis (2.1) ,,,,2015
,133,,General classification ,,,,2015
25.01,9,,Stage 7 - San Luis › San Luis ,122.4,,,2015
24.01,133,139,Stage 6 - Achiras › Filo Sierras Comechingones ,117.5,,,2015
23.01,115,145,Stage 5 (ITT) - San Luis › San Luis ,17.4,,,2015
22.01,148,143,Stage 4 - Villa Dolores › Alto El Amago ,142.5,,,2015
21.01,8,143,Stage 3 - Concarán › Juana Koslay ,176.3,1,,2015
20.01,141,153,Stage 2 - La Punta › Mirador de Potrero ,185.3,,,2015
19.01,153,154,Stage 1 - San Luis › Villa Mercedes ,186.8,,,2015
14.12 » 25.12,,,Vuelta Kolbi a Costa Rica (2.2) ,,,,2014
21.12,73,,Stage 8 - Puntarenas › Santa Ana ,134.2,,,2014
20.12,21,70,Stage 7 - Liberia › Puntarenas ,135.9,,,2014
19.12,17,72,Stage 6 - La Fortuna › Liberia ,188.2,,,2014
18.12,58,73,Stage 5 - Alajuela › Ciudad Quesada ,167.3,,,2014
17.12,79,77,Stage 4 (ITT) - San Joaquín › Carrizal ,18.24,,,2014
16.12,83,77,Stage 3 - Guápiles › Paraíso ,118.7,,,2014
15.12,5,7,Stage 2 - Limón › Guápiles ,135,,,2014
14.12,7,7,Stage 1 - San José › Limón ,155,,,2014
20.01 » 26.01,,,Tour de San Luis (2.1) ,,,,2014
,135,,General classification ,,,,2014
26.01,134,,Stage 7 - San Luis › Hito del Bicentenario en Terrazas del Portezuelo ,148.1,,,2014
25.01,132,140,Stage 6 - Las Chacras › Mirador del Sol en Merlo ,166,,,2014
24.01,147,146,Stage 5 (ITT) - San Luis › San Luis ,19.2,,,2014
23.01,147,145,Stage 4 - Municipalidad de Potrero › Cerro El Amago ,166.3,,,2014
