date,result ranking,general classification,race name,distance,PCS point,UCI point
08.04 » 11.04,,,Circuit des Ardennes International (2.2),,,
,17,,Points classification,,,
,44,,General classification,,,
11.04,70,,Stage 4 - Charleville › Charleville,96,,
10.04,48,44,Stage 3 (ITT) - Aiglemont › Aiglemont,9.5,,
09.04,82,53,Stage 2 - Mouzon › Pavillon du Sanglier,167,,
08.04,37,37,Stage 1 - Montherme › Bogny-sur-Meuse,168,,
21.03 » 28.03,,,Tour de Normandie (2.2),,,
,33,,General classification,,,
28.03,15,,Stage 7 - Bagnoles de L'orne › Caen,142,,
27.03,8,,Stage 6 - Ducey › Bagnoles de L'orne,173,,
26.03,32,,Stage 5 - Domfront › Avranches,80,,
25.03,58,,Stage 4 - Flers › Domfront,74,,
24.03,46,,Stage 3 - Elbeuf › Flers,201,,
23.03,61,,Stage 2 - Forges-Les-eaux › Elbeuf,147,,
22.03,33,,Stage 1 - Mondeville › Forges-Les-eaux,208,,
21.03,79,,Prologue - Mondeville › Mondeville,5.6,,
19.02 » 20.02,,,Criterium des Espoirs (2.2),,,
20.02,DNF,,Stage 2 - Saint Jean De Luz › Col d'Ibardin,73,,
19.02,79,,Stage 1 - Urrugne › Urrugne,167,,
10.10,27,,Paris-Tours Espoirs (1.7.1),186.5,,
31.08 » 05.09,,,Giro della Valle d'Aosta (2.6),,,
,9,,Youth classification,,,
,18,,General classification,,,
05.09,26,,Stage 6 - Saint Jean d'Aulps › Salins,100,,
04.09,21,20,Stage 5 - Landry › Praz de Lys,150,,
03.08 » 07.08,,,Vuelta Ciclista a León (2.6),,,
,38,,General classification,,,
07.08,58,,Stage 5 - La Bañeza › Trobajo del Camino,130,,
06.08,27,42,Stage 4 - Pobla de Gordon › ,158.5,,
05.08,80,73,Stage 3 - Villablino › Ponferrada,140,,
04.08,51,53,Stage 2 - San Andrés del Rabanedo › Villablino,138.5,,
03.08,45,75,Stage 1b - Mansilla de las Mulas › Villaquilambre,105,,
03.08,10,78,Stage 1a (TTT) - Valencia de Don Juan › Valencia de Don Juan,20.8,,
11.07,39,,GP de Dourges (1.6),,,
03.07,22,,Tour du Jura (1.5),185.6,,
26.06,31,,Omloop Het Volk (1.5),160,,
30.05,19,,Paris - Roubaix Espoirs (1.7.1),,,
20.05 » 23.05,,,Ronde de l'Isard (2.7.1),,,
,7,,General classification,,4,
16.05,13,,Circuit de Wallonie (1.7.1),170,,
09.05,104,,Omloop der Kempen (1.5),200,,
26.04 » 01.05,,,Giro delle Regioni (2.7.1),,,
,12,,General classification,,,
27.04,9,,Stage 2 - Cassino › Pietrelcina,149,,
08.04 » 11.04,,,Circuit des Ardennes International (2.6),,,
,3,,Mountains classification,,,
,32,,Points classification,,,
,15,,General classification,,,
11.04,15,,Stage 5 - La Francheville › La Francheville,83,,
11.04,38,,Stage 4 (ITT) - Charleville-Mézières › Charleville-Mézières,8.5,,
10.04,18,10,Stage 3 - Vireux-Wallerand › Vireux-Wallerand,167,,
09.04,10,12,Stage 2 - Revin › Revin,149,,
08.04,34,34,Stage 1 - Renwez › Renwez,167,,
04.04,23,,Prix des Flandres Françaises (1.6),,,
27.03,3,,Grand Prix Saint-Etienne Loire (1.6),,7,
14.03,25,,Paris-Troyes (1.6),,,
06.03,59,,Vlaamse Pijl-Harelbeke (1.6),147,,
21.02 » 22.02,,,Criterium des Espoirs (2.5),,,
,15,,General classification,,,
22.02,18,,Stage 2 - Saint-Jean-de-Luz › Col d'Ibardin,73,,
17.08,56,,European Championships U23 - Road Race (CC),156.8,,
22.05 » 26.05,,,Ronde de l'Isard (2.7.1),,,
,12,,Youth classification,,,
,27,,Points classification,,,
,18,,General classification,,,
26.05,27,,Stage 5 - La Bastide de Sérou › Saint-Girons,143.3,,
25.05,23,10,Stage 4 - Le Mas d'Azil › Seix,88.1,,
24.05,27,11,Stage 3 - Vicdesso › Le Mas d'Azil,83,,
23.05,13,11,Stage 2 - Lézat sur Lèze › Goulier Neige,138,,
24.03 » 30.03,,,Tour de Normandie (2.5),,,
,11,,Youth classification,,,
,21,,General classification,,,
30.03,28,,Stage 6 - Bagnoles-de-l'Orne  › Caen,146,,
29.03,29,23,Stage 5 -  Valognes  › Bagnoles-de-l'Orne ,194,,
28.03,29,23,Stage 4 - Flers  ›  Valognes ,178,,
27.03,27,23,Stage 3 - Elbeuf  › Flers ,208,,
26.03,25,,Stage 2 - Forges-les-Eaux  › Elbeuf ,151,,
25.03,41,,Stage 1 - Lisieux  › Forges-les-Eaux ,181,,
24.03,96,96,Prologue - Mondeville  › Mondeville ,5.6,,
