date,result ranking,general classification,race name,distance,PCS point,UCI point
03.10,DNF,,Luk-Cup Bühl (1.3),192,,
25.09 » 28.09,,,Circuit Franco-Belge (2.3),,,
,38,,General classification,,,
14.09,24,,T-Mobile International (1.3),173,,
03.09 » 07.09,,,International Hessen Rundfahrt (2.1),,,
05.09,1,,Stage 3 - Gelnhausen › Allendorf,208,20,
22.08,84,,Groningen - Münster (1.3),205.9,,
12.08 » 16.08,,,Post Danmark Rundt (2.2),,,
,67,,General classification,,,
16.08,68,,Stage 6 - Korsør › Frederiksberg,180,,
15.08,44,,Stage 5 (ITT) - Svendborg  › Svendborg,15.7,,
15.08,95,,Stage 4 - Middelfart › Faaborg,100,,
14.08,85,,Stage 3 - Hammel › Kolding,185,,
13.08,47,,Stage 2 - Hobro › Århus,220,,
12.08,54,,Stage 1 - Skagen › Aalborg,155,,
23.07 » 27.07,,,Sachsen-Tour International (2.1),,,
,26,,General classification,,,
27.07,45,,Stage 5 - Dresden › Dresden,160,,
26.07,64,,Stage 4 - Leipzig › Meissen,187,,
25.07,4,,Stage 3 - Chemnitz › Leipzig,185,5,
24.07,57,,Stage 2 - Werdau › Chemnitz,202,,
23.07,47,,Stage 1b - Dresden › Crimmitschau,123,,
23.07,59,,Prologue - Dresden › Dresden,2.8,,
21.06 » 24.06,,,La Route du Sud Cycliste - La Dépêche du Midi (2.3),,,
24.06,DNF,,Stage 4 - Montrejeau › Mauléon-Barousse,158.5,,
23.06,68,,Stage 3 (ITT) - Saint-Gaudens › Montréjeau,33.3,,
22.06,42,,Stage 2 - Castres › Saint-Gaudens,182.8,,
21.06,21,,Stage 1 - Blaye-les-Mines › Cap Découverte,156.5,,
04.06 » 08.06,,,Euskal Bizikleta (2.1),,,
05.06,DNF,,Stage 2 - Ispaster › Aizarnazabal,167.2,,
04.06,121,121,Stage 1 - Eibar › Ispaster,146.5,,
29.05 » 01.06,,,Tour de Luxembourg (2.2),,,
,44,,General classification,,,
01.06,51,,Stage 5 - Wiltz › Diekirch,169,,
31.05,65,44,Stage 4 (ITT) - Bettembourg › Bettembourg,9.8,,
31.05,41,41,Stage 3 - Mersch › Echternach,98,,
30.05,80,55,Stage 2 - Wasserbillig › Leudelange,204,,
29.05,57,57,Stage 1 - Luxembourg › Luxembourg,163,,
21.05 » 25.05,,,Tour of Belgium (2.3),,,
22.05,103,105,Stage 2 - Oostende › Knokke-Heist,172.5,,
21.05,99,99,Stage 1 - Oostende › Oostende,176.5,,
09.05 » 17.05,,,Course de la Paix (2.2),,,
,53,,General classification,,,
17.05,76,,Stage 9 - Bad Elster › Erfurt,160.5,,
16.05,38,53,Stage 8 - Freyburg › Klingentahl,187,,
15.05,26,56,Stage 7 - Lübben › Naumburg,213.6,,
14.05,67,59,Stage 6 - Krosno › Frankfurt,146.6,,
13.05,63,61,Stage 5 - Jawor › Zielona Gora,212.8,,
12.05,60,61,Stage 4 - Kłodzko › Wałbrzych,179.4,,
11.05,24,56,Stage 3 - Krnov › Polanica-Zdroj,191.3,,
10.05,92,88,Stage 2 - Unicov › Opava,155.4,,
09.05,81,82,Stage 1 - Olomouc › Olomouc,111.3,,
01.05,55,,Rund um den Henninger Turm (1.1),208.3,,
21.04,20,,Rund um Köln (1.2),202,1,
16.04,82,,Scheldeprijs (1.1),206,,
13.04,40,,Paris - Roubaix (CDM),261,5,
06.04,DNF,,Ronde van Vlaanderen / Tour des Flandres (CDM),254,,
01.04 » 03.04,,,KBC Driedaagse van De Panne-Koksijde (2.2),,,
,69,,General classification,,,
03.04,71,68,Stage 3a - De Panne › De Panne,110,,
03.04,77,,Stage 3b (ITT) - De Panne › De Panne,13.7,,
02.04,94,85,Stage 2 - Zottegem › Koksijde,228,,
01.04,89,89,Stage 1 - Middelkerke › Zottegem,196,,
29.03,41,,E3 Prijs Vlaanderen (1.1),209,,
13.03 » 19.03,,,Tirreno-Adriatico (2.HC),,,
,61,,General classification,,5,
19.03,123,,Stage 7 - San Benedetto Del Tronto › San Benedetto Del Tronto,162,,
18.03,47,62,Stage 6 - Teramo › Torricella,179,,
17.03,72,80,Stage 5 - Monte San Giusto › Rapagnano,181,,
15.03,94,114,Stage 3 - Tarquinia › Foligno,175,,
14.03,112,114,Stage 2 - Sabaudia › Tarquinia,213,,
