date,result ranking,general classification,race name,distance,PCS point,UCI point,year
03.06 » 05.06,,,Tour of Malopolska (2.2) ,,,,2022
,25,,Youth classification ,,,,2022
,90,,General classification ,,,,2022
05.06,79,,Stage 3 - Jabłonka › Przehyba ,125,,,2022
04.06,117,97,Stage 2 - Niepolomice › Nowy Targ ,141,,,2022
03.06,91,91,Stage 1 - Wieliczka › Góra Chelm ,131,,,2022
26.05 » 28.05,,,Tour of Estonia (2.1) ,,,,2022
27.05,DNF,,Stage 1 - Tallinn › Tartu ,192.6,,,2022
26.05,137,137,Prologue - Tallinn › Tallinn ,3.7,,,2022
22.05,DNF,,GP Gorenjska (1.2) ,171.8,,,2022
20.03,78,,Grand Prix Gündoğmuş (1.2) ,100.5,,,2022
06.03,OTL,,Grand Prix Mediterrennean (1.2) ,98,,,2022
19.02,59,,Grand Prix Velo Alanya (1.2) ,129.8,,,2022
30.01,82,,Grand Prix Megasaray (1.2) ,126.6,,,2022
20.03,78,,Grand Prix Gündoğmuş (1.2),100.5,,,2022
06.03,OTL,,Grand Prix Mediterrennean (1.2),98.0,,,2022
19.02,59,,Grand Prix Velo Alanya (1.2),129.8,,,2022
30.01,82,,Grand Prix Megasaray (1.2),126.6,,,2022
02.09,5,,National Championships Uzbekistan - ITT (NC),,,3,2021
18.07,DNF,,Grand Prix Develi ME (1.2),130.8,,,2021
17.07,28,,Grand Prix Velo Erciyes ME (1.2),139.9,,,2021
11.07,50,,Grand Prix Kayseri ME (1.2),136.7,,,2021
10.07,DNF,,Grand Prix Erciyes - Mimar Sinan ME (1.2),149.3,,,2021
04.07,89,,Kahramanmaraş Grand Prix Road Race ME (1.2),124.5,,,2021
03.07,63,,Germenica Grand Prix Road Race ME (1.2),153.8,,,2021
09.06 » 13.06,,,Five Rings of Moscow (2.2),,,,2021
11.06,DNF,,Stage 2 - Moscow › Moscow,122.4,,,2021
10.06,63,76,Stage 1 - Moscow › Moscow,149.6,,,2021
09.06,132,132,Prologue - Moscow › Moscow,3.8,,,2021
24.10,6,,National Championships Uzbekistan - Road Race (NC),,1,5,2020
14.02,DNF,,Grand Prix Gazipasa (1.2),160.2,,,2020
13.02,DNF,,Grand Prix Alanya (1.2),147.8,,,2020
28.07,6,,National Championships Uzbekistan - ITT (NC),,,,2019
27.07,7,,National Championships Uzbekistan - Road Race (NC),,,3,2019
29.05,28,,National Championships Uzbekistan U23 - ITT (NC),,,,2017
