date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.04 » 01.05,,,Tour de Romandie (2.UWT),,,,2022
28.04,37,97,Stage 2 - Échallens › Échallens,168.2,,,2022
27.04,106,121,Stage 1 - La Grande Beroche › Romont,178,,,2022
26.04,118,118,Prologue - Lausanne › Lausanne,5.12,,,2022
13.04,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),205.1,,,2022
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1),,,,2022
08.04,DNS,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin,136.4,,,2022
07.04,78,54,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe,176.5,,,2022
06.04,46,36,Stage 2 - Le Lude › Le Lude,174.7,,,2022
05.04,32,32,Stage 1 - Mamers › Mamers,192.3,,,2022
01.04,67,,La Route Adélie de Vitré (1.1),176.7,,,2022
30.03,DNF,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7,,,2022
27.03,22,,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire (1.1),202,,3,2022
26.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT),204.2,,,2022
16.02 » 20.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,,2022
,107,,General classification,,,,2022
20.02,105,,Stage 5 - Huesa › Chiclana de Segura,146.4,,,2022
19.02,51,110,Stage 4 - Cúllar Vega › Baza,167.4,,,2022
18.02,83,116,Stage 3 - Lucena › Otura,153.2,,,2022
17.02,124,129,Stage 2 - Archidona › Alcalá la Real,150.6,,,2022
16.02,131,131,Stage 1 - Ubrique › Iznájar,200.7,,,2022
30.01,DNF,,Trofeo Playa de Palma - Palma (1.1),169.1,,,2022
28.01,109,,Trofeo Serra de Tramuntana (1.1),158.9,,,2022
27.01,10,,Trofeo Alcúdia - Port d'Alcúdia (1.1),173.2,14,20,2022
26.01,58,,Trofeo Calvia (1.1),154.7,,,2022
