date,result ranking,general classification,race name,distance,PCS point,UCI point
13.04 » 17.04,,,Belgrade Banjaluka (2.1),,,
,115,,General classification,,,
17.04,110,,Stage 5 - Derventa › Banja Luka,154.5,,
16.04,54,118,Stage 4 - Doboj › Prijedor,165.5,,
15.04,125,126,Stage 3 - Bijeljina › Vlasenica,123,,
14.04,102,108,Stage 2 - Obrenovac › Bijeljina,122,,
13.04,15,127,Stage 1 (TTT) - Belgrade › Belgrade,4,,
27.03,DNF,,GP Adria Mobil (1.2),182.8,,
24.03,DNF,,GP Vipava Valley & Crossborder Goriška (1.2),154.4,,
20.03,DNF,,GP Slovenian Istria (1.2),156.5,,
06.03,103,,Trofej Poreč - Poreč Trophy (1.2),155.5,,
02.03,44,,Trofej Umag - Umag Trophy (1.2),154,,
28.09 » 03.10,,,Cro Race (2.1),,,
02.10,DNF,,Stage 5 - Rabac/Labin › Opatija,137.5,,
01.10,89,119,Stage 4 - Zadar › Crikvenica,197,,
30.09,124,125,Stage 3 - Primošten › Makarska,167,,
29.09,122,125,Stage 2 - Slunj › Otočac,187,,
28.09,97,98,Stage 1 - Osijek › Varaždin,237,,
28.08,DNF,,Adriatic Race (1.2),,,
25.07,DNF,,GP Kranj (1.2),157.3,,
20.06,8,,National Championships Croatia - Road Race (NC),122.8,,3
18.06,2,,National Championships Croatia - ITT (NC),25.2,7,15
22.04 » 25.04,,,Belgrade Banjaluka (2.1),,,
,118,,General classification,,,
25.04,51,,Stage 4 - Prijedor › Banjaluka,163.5,,
24.04,134,129,Stage 3 - Bijeljina › Vlasenica,124.1,,
23.04,118,114,Stage 2 - Obrenovac › Bijeljina,122,,
22.04,125,125,Stage 1 - Belgrade › Šabac,89.7,,
28.03,DNF,,GP Adria Mobil (1.2),181.5,,
11.03 » 14.03,,,Istarsko Proljeće - Istrian Spring Trophy (2.2),,,
,103,,General classification,,,
14.03,85,,Stage 3 - Marčana › Umag,143,,
13.03,121,132,Stage 2 - Vižinada › Motovun,165,,
12.03,82,136,Stage 1 - Funtana › Poreč,168,,
11.03,112,112,Prologue - Umag › Umag,1,,
07.03,97,,Trofej Poreč - Poreč Trophy (1.2),156,,
03.03,94,,Trofej Umag - Umag Trophy (1.2),154,,
23.07 » 26.07,,,Sibiu Cycling Tour (2.1),,,
26.07,OTL,,Stage 3a (ITT) - Curmătura Ștezii › Arena Platos,12.5,,
25.07,118,123,Stage 2 - Sibiu › Sibiu,181.2,,
24.07,126,126,Stage 1 - Sibiu › Bâlea Lac ,183,,
23.07,93,93,Prologue - Sibiu › Sibiu,2.5,,
19.07,13,,National Championships Croatia - Road Race (NC),127.6,,1
08.03,DNF,,Trofej Poreč - Poreč Trophy (1.2),156,,
04.03,DNF,,Trofej Umag - Umag Trophy (1.2),154,,
22.09,DNF,,Trofeo Matteotti (1.1),195,,
15.09,DNF,,Coppa Bernocchi - GP BPM (1.1),198.2,,
14.09,DNF,,Coppa Agostoni - Giro delle Brianze (1.1),195.5,,
01.09,DNF,,Croatia- Slovenia (1.2),179.6,,
04.08,DNF,,GP Kranj (1.2),157.3,,
29.06,4,,National Championships Croatia U23 - ITT (NC),28.2,,5
19.06 » 23.06,,,Tour of Slovenia (2.HC),,,
19.06,DNF,,Stage 1 - Ljubljana › Rogaška Slatina,171,,
20.05 » 24.05,,,Tour of Albania (2.2),,,
23.05,OTL,,Stage 4 - Vlore › Sarande,122.7,,
22.05,31,39,Stage 3 - Elbasan › Vlore,177.2,,
21.05,42,40,Stage 2 - Shkoder › Elbasan,182.9,,
20.05,30,33,Stage 1 - Lezhë › Shkoder,150,,
07.04,DNF,,GP Adria Mobil (1.2),184.2,,
14.03 » 17.03,,,Istarsko Proljeće - Istrian Spring Trophy (2.2),,,
16.03,DNF,,Stage 2 - Vrsar › Oprtalj,161,,
15.03,127,134,Stage 1 - Poreč › Labin,161,,
14.03,149,149,Prologue - Umag › Umag,2,,
09.03,DNF,,Trofej Poreč - Poreč Trophy (1.2),147,,
06.03,76,,Trofej Umag - Umag Trophy (1.2),161,,
24.02,DNF,,GP Slovenian Istria (1.2),156.5,,
26.08,DNF,,Croatia-Slovenia (1.2),181.6,,
09.08 » 12.08,,,Czech Cycling Tour (2.1),,,
10.08,DNF,,Stage 2 - Olomouc › Frýdek-Místek,197.7,,
09.08,19,128,Stage 1 (TTT) - Uničov › Uničov,18.2,,
29.07,DNF,,GP Kranj (1.2),157.3,,
24.06,3,,National Championships Croatia - Road Race (NC),134.4,7,20
23.06,6,,National Championships Croatia U23 - ITT (NC),27.6,,
27.08,DNF,,Croatia-Slovenia (1.2),177.8,,
30.07,DNF,,GP Kranj (1.2),157.3,,
25.06,9,,National Championships Croatia - Road Race (NC),128,,3
24.06,4,,National Championships Croatia U23 - ITT (NC),27,,
06.08 » 07.08,,,Olympic Hopes - Belgrade Trophy Milan Panić (2.1),,,
07.08,DNF,,Stage 2 - Belgrade › Belgrade,87.5,,
06.08,39,39,Stage 1 - Belgrade › Rajac,104,,
15.07 » 17.07,,,Oberösterreich Juniorenrundfahrt (2.1),,,
17.07,DNF,,Stage 3 - Bad Wimsbach/Neydharting › Gmundnerberg,95.2,,
16.07,128,133,Stage 2 - Perg › Perg,110.9,,
15.07,146,146,Stage 1 - Haid/Ansfelden › Marchtrenk,96.5,,
17.07 » 19.07,,,Oberösterreich Juniorenrundfahrt (2.1),,,
,84,,General classification,,,
19.07,85,,Stage 3 - Bad Wimsbach/Neydharting  › Schwanenstadt,89.5,,
18.07,82,84,Stage 2 - Bad Leonfelden › Perg,109.1,,
17.07,88,88,Stage 1 - Haid/Ansfelden › Marchtrenk,96.5,,
28.06,2,,National Championships Croatia MJ - Road Race (NC),89,12,
