date,result ranking,general classification,race name,distance,PCS point,UCI point,year
16.01 » 23.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2022
,14,,Mountains classification,,,,2022
,39,,Points classification,,,,2022
,27,,General classification,,,,2022
23.01,43,,Stage 8 - San Cristóbal › San Cristóbal,116.4,,,2022
22.01,47,29,Stage 7 - Ureña › Cerro Del Cristo Rey,117,,,2022
21.01,27,21,Stage 6 - Plata de Concafé › Casa del Padre,114.1,,,2022
20.01,13,13,Stage 5 - La Tendida › La Grita,101.4,,,2022
19.01,13,16,Stage 4 - Lagunillas › Mérida,104.6,,,2022
18.01,47,45,Stage 3 - Socopó › Barinitas,131.8,,,2022
17.01,71,58,Stage 2 - Hacienda Los Almendros › Ciudad Bolivia,149.9,,,2022
16.01,55,55,Stage 1 - Tariba › San Cristóbal,123.9,,,2022
31.10 » 07.11,,,Vuelta Ciclista a Venezuela (2.2),,,,2021
,4,,Mountains classification,,,,2021
,47,,General classification,,,,2021
07.11,70,,Stage 8 - La Guaira › La Guaira,105,,,2021
06.11,18,47,Stage 7 - Valencia › Valencia,144.4,,,2021
05.11,71,70,Stage 6 - San Felipe › Cagua,146.8,,,2021
04.11,72,70,Stage 5 - Araure › Araure,115.2,,,2021
02.11,69,72,Stage 3 - San Francisco de Yare › Valencia,156.5,,,2021
01.11,57,77,Stage 2 - Charallave › Charallave,98.5,,,2021
31.10,88,89,Stage 1 - La Guaira › La Guaira,93.7,,,2021
20.06,21,,National Championships Venezuela - Road Race (NC),,,,2021
17.01 » 24.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2021
23.01,DNF,,Stage 7 - Bramón › Cerro El Cristo,123.8,,,2021
22.01,57,67,Stage 6 - Santo Domingo › Casa del Padre,148,,,2021
21.01,52,67,Stage 5 - La Pedrera › Pregonero,147.5,,,2021
20.01,74,80,Stage 4 (ITT) - Táriba  › San Cristóbal,18.8,,,2021
19.01,75,81,Stage 3 - Zea › La Grita,126.8,,,2021
18.01,108,99,Stage 2 - Mérida › Mérida,101.8,,,2021
17.01,46,47,Stage 1 - Lobatera › El Vigia,131.2,,,2021
12.01 » 19.01,,,Vuelta al Tachira (2.2),,,,2020
,33,,Points classification,,,,2020
,20,,General classification,,,,2020
19.01,11,,Stage 8 - San Cristobal  › San Cristobal ,115.2,,,2020
18.01,18,20,Stage 7 - Ureña › Alto Serro - El Cristo Rey,117,,,2020
17.01,26,20,Stage 6 (ITT) - San Cristobal  › Palmira,16.1,,,2020
16.01,21,20,Stage 5 - San Juan de Colón › Borota,107.9,,,2020
15.01,18,21,Stage 4 - Coloncito › La Grita,145.1,,,2020
14.01,31,38,Stage 3 - Rubio › Rubio,135.2,,,2020
13.01,44,41,Stage 2 - El Piñal  › Abejalis,154.8,,,2020
12.01,38,39,Stage 1 - San Cristobal  › San Cristobal ,117.6,,,2020
17.07 » 24.07,,,Vuelta Ciclista a Venezuela (2.2),,,,2019
,38,,General classification,,,,2019
24.07,62,,Stage 8 - La Guaira › La Guaira,97,,,2019
23.07,54,32,Stage 7 - San Felipe › Cagua,187.6,,,2019
22.07,28,32,Stage 6 - Quíbor › San Felipe,135.2,,,2019
21.07,32,35,Stage 5 (ITT) - Pavia › Pavia,28.4,,,2019
20.07,47,45,Stage 4 - Guanare › Barquisimeto,166,,,2019
19.07,48,46,Stage 3 - Valencia › Acarigua,177.5,,,2019
18.07,30,44,Stage 2 - San Francisco de Yare › Valencia,165,,,2019
17.07,46,46,Stage 1 - Caracas › Caracas,85,,,2019
09.07 » 14.07,,,Vuelta Ciclista a Miranda (2.2),,,,2019
,17,,Points classification,,,,2019
,3,,General classification,,14,25,2019
14.07,9,,Stage 6 - Ocumare del Tuy › Ocumare del Tuy,109.5,,,2019
13.07,19,3,Stage 5 - Cota Mil › Cota Mil,126.7,,,2019
12.07,37,2,Stage 4 - Caucagua › Rio Chico,111,,,2019
11.07,9,2,Stage 3 - Carrizal › Los Teques,71.8,,,2019
10.07,12,4,Stage 2 - Charallave › Charallave,99.1,,,2019
09.07,10,8,Stage 1 - Guatire › Guaneras,90,,,2019
30.06,17,,National Championships Venezuela - Road Race (NC),183.6,,,2019
11.01 » 18.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2019
,31,,Points classification,,,,2019
,36,,General classification,,,,2019
18.01,46,,Stage 8 - San Cristobal › San Cristobal,115.2,,,2019
17.01,50,41,Stage 7 - Ureña › Cerró del Cristo,112.3,,,2019
16.01,39,31,Stage 6 - La Fria › Cordero ,165.9,,,2019
15.01,31,30,Stage 5 - Santa Cruz de Mora › La Grita,169.5,,,2019
14.01,11,39,Stage 4 - San Felix › Santa Cruz de Mora,146.9,,,2019
13.01,72,43,Stage 3 - San Cristoba › San Cristoba,115.2,,,2019
12.01,45,43,Stage 2 - Peribeca › Borotá,144.1,,,2019
11.01,59,59,Stage 1 - Bramon › Rubio,124.8,,,2019
05.07 » 14.07,,,Vuelta Ciclista a Venezuela (2.2),,,,2018
,8,,Mountains classification,,,,2018
,30,,Points classification,,,,2018
,20,,General classification,,,,2018
14.07,32,,Stage 10 - Valencia › Valencia,96,,,2018
13.07,52,24,Stage 9 - Ocumare del Tuy › Valencia,180.6,,,2018
12.07,19,24,Stage 8 - Morón › Charallave,190.1,,,2018
11.07,31,26,Stage 7 - Nirgua › Morón,145.4,,,2018
10.07,4,26,Stage 6 - Ospino › Nirgua,215.7,,,2018
09.07,38,43,Stage 5 (ITT) - Santuario de la Virgen del Coromoto › Guanare,34.5,,,2018
08.07,53,46,Stage 4 - Quíbor › Guanare,221.8,,,2018
07.07,43,41,Stage 3 - Monay › Barquisimeto,184,,,2018
06.07,31,39,Stage 2 - Cabimas › Sabana de Mendoza,175,,,2018
05.07,39,43,Stage 1 - Maracaibo › Maracaibo,96.2,,,2018
24.06,13,,National Championships Venezuela - Road Race (NC),169.4,,1,2018
12.01 » 21.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2018
21.01,DNF,,Stage 10 - San Cristóbal › San Cristóbal,115.2,,,2018
20.01,62,66,Stage 9 - Ureña-San Antonio del Táchira › Cerro Cristo Rey,123.2,,,2018
19.01,69,65,Stage 8 - Rubio › Rubio,124.8,,,2018
18.01,53,68,Stage 7 - Umuquena › Michelena,104.8,,,2018
17.01,64,68,Stage 6 - Santa Cruz de Mora › La Grita,167.8,,,2018
16.01,71,71,Stage 5 - La Fría › Tovar,147,,,2018
15.01,78,72,Stage 4 - San Juan de Colón › San Simón,147.9,,,2018
14.01,63,59,Stage 3 - San Cristóbal › Táriba,117.6,,,2018
13.01,57,57,Stage 2 - Suripá › Suripá,173,,,2018
12.01,76,76,Stage 1 - Bramón › Santa Bárbara de Barinas,182.6,,,2018
27.10 » 05.11,,,Vuelta Ciclista a Venezuela (2.2),,,,2017
,2,,Youth classification,,,,2017
,22,,Points classification,,,,2017
,8,,General classification,,3,3,2017
05.11,27,,Stage 10 - Maturin › Maturin,54,,,2017
04.11,7,8,Stage 9 - Cumana › Maturin,215.3,,,2017
03.11,14,9,Stage 8 - Anaco › Cumana,171.7,,,2017
02.11,13,6,Stage 7 - Guanape › Cantaura,210.8,,,2017
01.11,19,6,Stage 6 - Cagua › Altagracia de Orituco,191.7,,,2017
31.10,20,6,Stage 5 - San Felipe › Guacara,151.6,,,2017
30.10,14,6,Stage 4 - Ospino › San Felipe,185.8,,,2017
29.10,33,7,Stage 3 - Barquisimeto › Guanare,157.6,,,2017
28.10,51,7,Stage 2 - Trujillo › Barquisimeto,208.7,,,2017
27.10,7,7,Stage 1 - Valera › Timotes,111.3,,,2017
25.06,DNF,,National Championships Venezuela - Road Race (NC),179,,,2017
13.01 » 22.01,,,Vuelta al Táchira en Bicicleta (2.2),,,,2017
,12,,Youth classification,,,,2017
,62,,General classification,,,,2017
22.01,57,,Stage 10 - San Cristobal › San Cristobal,94.2,,,2017
21.01,68,67,Stage 9 - Urena › Cerro el Cristo Rey,103.5,,,2017
20.01,57,65,Stage 8 - La Fria › Casa del Padre,129.7,,,2017
19.01,59,71,Stage 7 - Santa Cruz de Mora › La Grita,171.6,,,2017
18.01,101,76,Stage 6 - Merida › Tovar,134,,,2017
17.01,88,72,Stage 5 - Socopó › Santo Domingo de Mérida,141.7,,,2017
16.01,101,53,Stage 4 - Santa Ana › Santa Barbara de Barinas,165.2,,,2017
15.01,78,53,Stage 3 - San Cristobal › San Cristobal,115.2,,,2017
14.01,49,49,Stage 2 - San Rafael de el Pinal › Borota,134.1,,,2017
13.01,33,37,Stage 1 - San Cristobal Tabira › San Cristobal Tabira,102.9,,,2017
26.06,25,,National Championships Venezuela - Road Race (NC),201,,,2016
08.01 » 17.01,,,Vuelta al Táchira en Bicicleta (2.2),,,,2016
17.01,DNF,,Stage 10 - Urena › San Cristobal,152.1,,,2016
16.01,93,69,Stage 9 - El Piñal › Casa el Padre,138.4,,,2016
15.01,101,63,Stage 8 - San Juan de Colón › La Fria,130.3,,,2016
14.01,61,58,Stage 7 - Santa Cruz de Mora › La Grita,168.6,,,2016
13.01,89,55,Stage 6 - Lobatera › Tovar,197.5,,,2016
12.01,50,43,Stage 5 - Abejales › Cerro el Cristo,126.7,,,2016
11.01,102,44,Stage 4 - Peribeca › Santa Barbara de Barinas,174.6,,,2016
10.01,41,44,Stage 3 - San Cristóbal › San Cristóbal,115.2,,,2016
09.01,51,50,Stage 2 - Rubio › Bramón,134.9,,,2016
08.01,104,105,Stage 1 - San Cristobal › Táriba,102.9,,,2016
12.06 » 21.06,,,Vuelta Ciclista a Venezuela (2.2),,,,2015
,57,,General classification,,,,2015
21.06,22,,Stage 10 - Taguay › Caracas,160,,,2015
20.06,62,64,Stage 9 - Cagua › Altagracia de Orituco,191.7,,,2015
19.06,45,72,Stage 8 - Guama › Guacara,165.4,,,2015
18.06,60,78,Stage 7 - Acarigua › San Filipe,154,,,2015
17.06,93,77,Stage 6 - Santa Domingo › Guanare,108,,,2015
16.06,60,78,Stage 5 - Ospina › Santa Domingo,215.9,,,2015
15.06,60,109,"Stage 4 - Valencia, Ciudad Chávez › Barquisimeto",192.7,,,2015
14.06,84,117,Stage 3 - La Guaira › Colonia Tovar,104.7,,,2015
13.06,99,124,Stage 2 - La Ascinción › La Ascinción,68,,,2015
12.06,126,127,Stage 1 - El Valle del Espíritu Santo › El Valle del Espíritu Santo,144.8,,,2015
17.05,58,,Clasico FVCiclismo Corre Por la VIDA (1.2),104,,,2015
16.05,44,,Copa Federacion Venezolana de Ciclismo (1.2),100.8,,,2015
09.01 » 18.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2015
,6,,Youth classification,,,,2015
,37,,General classification,,,,2015
18.01,60,,Stage 10 - San Cristóbal › San Cristóbal,96,,,2015
17.01,20,36,Stage 9 - San rafael delñal › Casa del Padre,138.4,,,2015
16.01,42,43,Stage 8 - San Antonio del Tachira › Cerro de Cristo Rey,117.1,,,2015
15.01,63,43,Stage 7 - Lobatera › Bramon,99,,,2015
14.01,32,32,Stage 6 - La Fría › La Grita,113.5,,,2015
13.01,42,42,Stage 5 - Santa Cruz de Mora › San Juan de Colón,158.1,,,2015
12.01,94,78,Stage 4 - Guanare › Barinas,119.4,,,2015
11.01,94,81,Stage 3 - Socopó › Guanare,178.1,,,2015
10.01,101,84,Stage 2 - Peribeca › Santa Bárbara de Barinas,176.3,,,2015
09.01,22,25,Stage 1 - San Cristóbal › San Cristóbal,102.9,,,2015
04.07 » 13.07,,,Vuelta Ciclista a Venezuela (2.2),,,,2014
,6,,Youth classification,,,,2014
,24,,General classification,,,,2014
13.07,69,,Stage 10 - Caracas › Caracas,70,,,2014
12.07,62,24,Stage 9 - Guacara › Cagua,106.9,,,2014
11.07,41,26,Stage 8 - San Pablo › Valencia,152.7,,,2014
10.07,47,26,Stage 7 - Cocorote › San Filipe,80,,,2014
09.07,27,26,"Stage 6 - Campo de Carabobo › Nirgua, San Vicente",102.6,,,2014
08.07,45,34,Stage 5 - Sabaneta › San Carlos,224.5,,,2014
07.07,56,34,Stage 4 - Ospina › Barinitas,167.1,,,2014
06.07,36,37,Stage 3 - Trujillo › Barquisimeto,216.7,,,2014
05.07,44,42,Stage 2 - San Francisco › Valera,225.4,,,2014
04.07,103,113,Stage 1 - Maracaibo › Maracaibo,80,,,2014
22.06,DNF,,National Championships Venezuela - Road Race (NC),160,,,2014
