date,result ranking,general classification,race name,distance,PCS point,UCI point,year
09.02 » 15.02,,,GP Costa Azul () ,,,,1993
,1,,General classification ,,100,,1993
09.02,1,,Stage 1 ,,20,,1993
04.08 » 18.08,,,Volta a Portugal () ,,,,1991
,42,,General classification ,,,,1991
08.08,3,,Stage 5 - Oliveira do Hospital › Tondela ,228,7,,1991
15.04 » 19.04,,,Volta ao Algarve () ,,,,1991
16.04,4,,Stage 2 - Loulé  › Albufeira ,175,5,,1991
15.04 » 23.04,,,Volta ao Algarve () ,,,,1990
,6,,General classification ,,24,,1990
23.07 » 11.08,,,Volta a Portugal () ,,,,1989
,11,,General classification ,,12,,1989
02.08,5,,Stage 12 (ITT) - Loulé › Pista de Loulé  ,32.5,4,,1989
18.04 » 22.04,,,GP Costa Azul () ,,,,1989
,8,,General classification ,,18,,1989
28.07 » 14.08,,,Volta a Portugal () ,,,,1988
,10,,General classification ,,14,,1988
01.08,3,,Stage 4 - Marinha Grande › Sintra ,178,7,,1988
28.07 » 12.08,,,Volta a Portugal () ,,,,1987
,39,,General classification ,2745,,,1987
