date,result ranking,general classification,race name,distance,PCS point,UCI point
16.10 » 26.10,,,Vic Roads Herald Sun Tour (2.3),,,
,61,,General classification,,,
26.10,35,,Stage 13 - Ballarat › Ballarat,81.6,,
25.10,71,69,Stage 12 (ITT) - Echuca › Echuca,34,,
24.10,53,67,Stage 11 - St. Arnaud › Castlemaine,146.4,,
23.10,52,68,Stage 10 - Hall’s Gap › Ararat,52.5,,
23.10,58,68,Stage 9 - Horsham › Mt. William,99.4,,
22.10,6,68,Stage 8 - Dunkeld › Horsham,162.7,3,2
21.10,76,72,Stage 7 - Port Fairy › Hamilton,98.7,,
21.10,80,61,Stage 6 (ITT) - Port Fairy › Port Fairy,30,,
20.10,50,61,Stage 5 - Camperdown › Warrnambool,152.3,,
19.10,56,64,Stage 4 - Lorne › Torquay,110.4,,
18.10,82,76,Stage 3 - Geelong › Geelong,77,,
17.10,54,50,Stage 2 - Portarlington › Portarlington,117,,
16.10,69,39,Stage 1 (ITT) - Melbourne › Melbourne,33,,
11.10,DNF,,Melbourne to Warrnambool Classic (1.5),267,,
