date,result ranking,general classification,race name,distance,PCS point,UCI point
14.02,9,,Grand Prix Gazipasa (1.2),160.2,,3
13.02,OTL,,Grand Prix Alanya (1.2),147.8,,
10.08,DNF,,European Continental Championships U23 - Road Race (CC),138,,
30.06,14,,National Championships Ireland - Road Race (NC),163.3,,1
09.06,55,,Memorial Philippe Van Coningsloo (1.2),180.1,,
13.04,DNF,,Ronde van Vlaanderen Beloften (1.Ncup),167.5,,
31.03,DNF,,Gent-Wevelgem/Kattekoers-Ieper (1.Ncup),173.8,,
05.08,27,,Antwerpse Havenpijl (1.2),179.8,,
01.07,DNF,,National Championships Ireland - Road Race (NC),180,,
09.06,DNF,,Dwars door de Vlaamse Ardennen (1.2),200,,
03.06,DNF,,Memorial Philippe Van Coningsloo (1.2),179.9,,
19.05 » 23.05,,,Tour of Albania (2.2),,,
,11,,Youth classification,,,
,7,,Mountains classification,,,
,14,,Points classification,,,
,41,,General classification,,,
23.05,1,,Stage 5 - Sarandë › Fier,159.9,5,7
22.05,52,51,Stage 4 - Vlorë › Sarandë,122.8,,
21.05,21,46,Stage 3 - Elbasan › Vlorë,171.9,,
20.05,39,50,Stage 2 - Korçë › Elbasan,189.9,,
19.05,42,52,Stage 1 - Tirana › Korçë,165.3,,
14.04,41,,ZLM tour (1.Ncup),178,,
07.07,56,,Grote Prijs Stad Sint-Niklaas (1.2),180,,
25.06,DNF,,National Championships Ireland - Road Race (NC),179,,
10.06,DNF,,Dwars door de Vlaamse Ardennen (1.2),200,,
04.06,57,,Memorial Philippe Van Coningsloo (1.2),180,,
20.05 » 24.05,,,Tour of Albania (2.2),,,
,5,,Youth classification,,,
,42,,General classification,,,
24.05,39,,Stage 5 - Sarandë › Fier,164,,
23.05,41,48,Stage 4 - Vlorë › Sarandë,160,,
22.05,17,49,Stage 3 - Elbasan › Vlorë,170,,
21.05,38,55,Stage 2 - Korce  › Elbasan,199,,
20.05,52,53,Stage 1 - Tirana › Korce ,166.6,,
14.05,DNF,,Grand Prix Criquielion (1.2),173.2,,
07.05,DNF,,Flèche Ardennaise (1.2),179.7,,
15.04,DNF,,ZLM Tour (1.Ncup),181.3,,
26.03,DNF,,Gent-Wevelgem/Kattekoers-Ieper (1.Ncup),185,,
17.06 » 19.06,,,Trofeo Karlsberg (2.Ncup),,,
,56,,General classification,,5,
19.06,30,,Stage 3 - Reinheim › Reinheim,97.2,,
18.06,30,85,Stage 2a - Homburg  › Homburg ,79.1,,
18.06,80,85,Stage 2b (ITT) - Rimling › Rubenheim,16.9,,
17.06,88,88,Stage 1 - Völklingen › Herbitzheim,97.3,,
30.04 » 01.05,,,Tour des Portes du Pays d'Othe (2.1),,,
,86,,General classification,,,
01.05,56,,Stage 3 - Estissac › Estissac,113,,
30.04,104,104,Stage 1 - Prugny › Bercenay-en-Othe,118.3,,
