date,result ranking,general classification,race name,distance,PCS point,UCI point,year
22.10,7,,GP d'Europe () ,69.7,20,,2000
21.10,DNF,,Giro di Lombardia (CDM) ,258,,,2000
08.10,40,,Paris - Tours (CDM) ,254.4,5,,2000
10.09,67,,GP de Fourmies / La Voix du Nord (1.HC) ,210,,,2000
13.06 » 22.06,,,Tour de Suisse () ,,,,2000
,89,,General classification ,,5,,2000
22.06,48,,"Stage 10 - 
 Herisau › Baden ",175,,,2000
21.06,74,92,"Stage 9 - 
 St.Moritz › Arosa ",150,,,2000
20.06,73,97,"Stage 8 - 
 Locarno › La Punt ",170,,,2000
19.06,103,109,"Stage 7 - 
 Locarno › Lugano ",171,,,2000
18.06,80,113,Stage 6 - Ulrichen › Ulrichen ,103,,,2000
17.06,110,126,"Stage 5 (ITT) - 
 Sierre › Sierre ",30,,,2000
16.06,112,127,"Stage 4 - 
 Fribourg › Verbier ",156,,,2000
15.06,129,132,"Stage 3 - 
 Rheinfelden › Fribourg ",182,,,2000
14.06,132,132,"Stage 2 - 
 Uster › Rheinfelden ",197,,,2000
13.06,15,115,Stage 1 (TTT) - Uster › Uster ,24,,,2000
24.05 » 28.05,,,Euskal Bizikleta (2.1) ,,,,2000
28.05,DNF,,Stage 5 - Iurreta › Arrate ,148,,,2000
27.05,15,,Stage 4a - Bilbao › Mendaro ,105,,,2000
27.05,49,,Stage 4b (ITT) - Mendaro › Mendaro ,21,,,2000
26.05,102,,Stage 3 - Laguardia › Bilbao ,175,,,2000
25.05,115,,Stage 2 - Zizur Menor › Laguardia ,147,,,2000
24.05,95,,Stage 1 - Eibar › Zizur Mayor ,180,,,2000
30.04,61,,GP du canton d'Argovie / GP Gippingen (1.1) ,196,,,2000
22.04,DNF,,Amstel Gold Race (CDM) ,257,,,2000
19.04,45,,Scheldeprijs () ,200.4,,,2000
03.04,DNF,,Ronde van Vlaanderen / Tour des Flandres (CDM) ,269,,,2000
08.03 » 15.03,,,Tirreno-Adriatico () ,,,,2000
,123,,General classification ,,5,,2000
20.02,91,,Trofeo Luis Puig (1.2) ,182,,,2000
13.02 » 17.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.3) ,,,,2000
,108,,General classification ,,,,2000
17.02,114,,Stage 5 - Luque › Granada ,134.7,,,2000
15.02,129,127,Stage 3 - Malaga › Santuario Nuestra Sra Sierra Cabarga ,164.9,,,2000
14.02,62,96,Stage 2 - Castell de Ferro › Costa Benalmadena ,149.3,,,2000
13.02,95,95,Stage 1 - Almeria › Almeria ,160.5,,,2000
06.02,59,,G.P. Costa degli Etruschi (NE) ,171,,,2000
22.10,7,,GP d'Europe () ,69.7,20,,2000
21.10,DNF,,Giro di Lombardia (CDM) ,258.0,,,2000
08.10,40,,Paris - Tours (CDM) ,254.4,5,,2000
10.09,67,,GP de Fourmies / La Voix du Nord (1.HC) ,210.0,,,2000
13.06 » 22.06,,,Tour de Suisse () ,,,,2000
,89,,General classification ,,5,,2000
22.06,48,,"Stage 10 - 
 Herisau › Baden ",175.0,,,2000
21.06,74,92,"Stage 9 - 
 St.Moritz › Arosa ",150.0,,,2000
20.06,73,97,"Stage 8 - 
 Locarno › La Punt ",170.0,,,2000
19.06,103,109,"Stage 7 - 
 Locarno › Lugano ",171.0,,,2000
18.06,80,113,Stage 6 - Ulrichen › Ulrichen ,103.0,,,2000
17.06,110,126,"Stage 5 (ITT) - 
 Sierre › Sierre ",30.0,,,2000
16.06,112,127,"Stage 4 - 
 Fribourg › Verbier ",156.0,,,2000
15.06,129,132,"Stage 3 - 
 Rheinfelden › Fribourg ",182.0,,,2000
14.06,132,132,"Stage 2 - 
 Uster › Rheinfelden ",197.0,,,2000
13.06,15,115,Stage 1 (TTT) - Uster › Uster ,24.0,,,2000
24.05 » 28.05,,,Euskal Bizikleta (2.1) ,,,,2000
28.05,DNF,,Stage 5 - Iurreta › Arrate ,148.0,,,2000
27.05,15,,Stage 4a - Bilbao › Mendaro ,105.0,,,2000
27.05,49,,Stage 4b (ITT) - Mendaro › Mendaro ,21.0,,,2000
26.05,102,,Stage 3 - Laguardia › Bilbao ,175.0,,,2000
25.05,115,,Stage 2 - Zizur Menor › Laguardia ,147.0,,,2000
24.05,95,,Stage 1 - Eibar › Zizur Mayor ,180.0,,,2000
30.04,61,,GP du canton d'Argovie / GP Gippingen (1.1) ,196.0,,,2000
22.04,DNF,,Amstel Gold Race (CDM) ,257.0,,,2000
19.04,45,,Scheldeprijs () ,200.4,,,2000
03.04,DNF,,Ronde van Vlaanderen / Tour des Flandres (CDM) ,269.0,,,2000
08.03 » 15.03,,,Tirreno-Adriatico () ,,,,2000
,123,,General classification ,,5,,2000
20.02,91,,Trofeo Luis Puig (1.2) ,182.0,,,2000
13.02 » 17.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.3) ,,,,2000
,108,,General classification ,,,,2000
17.02,114,,Stage 5 - Luque › Granada ,134.7,,,2000
15.02,129,127,Stage 3 - Malaga › Santuario Nuestra Sra Sierra Cabarga ,164.9,,,2000
14.02,62,96,Stage 2 - Castell de Ferro › Costa Benalmadena ,149.3,,,2000
13.02,95,95,Stage 1 - Almeria › Almeria ,160.5,,,2000
06.02,59,,G.P. Costa degli Etruschi (NE) ,171.0,,,2000
13.10,110,,Milano-Torino (1.1) ,202.0,,,1999
03.10,73,,Paris - Tours (CDM) ,254.5,5,,1999
03.07 » 25.07,,,Tour de France () ,,,,1999
18.07,DNF,,Stage 14 - Castres › Saint-Gaudens ,189.0,,,1999
17.07,105,151,Stage 13 - Saint-Flour › Albi ,237.0,,,1999
16.07,146,152,Stage 12 - Saint-Galmier › Saint-Flour ,197.0,,,1999
15.07,104,155,Stage 11 - Le Bourg d'Oisans › Saint-Etienne ,199.0,,,1999
14.07,128,154,Stage 10 - Sestriere › L'Alpe d'Huez ,218.0,,,1999
13.07,154,160,Stage 9 - Le Grand Bornand › Sestriere ,215.0,,,1999
11.07,164,165,Stage 8 (ITT) - Metz › Metz ,56.5,,,1999
10.07,31,160,Stage 7 - Avesnes-sur-Helpe › Thionville ,227.0,,,1999
09.07,117,160,Stage 6 - Amiens › Maubeuge ,171.5,,,1999
08.07,34,162,Stage 5 - Bonneval › Amiens ,233.5,,,1999
07.07,81,163,Stage 4 - Laval › Blois ,191.0,,,1999
06.07,139,163,Stage 3 - Nantes › Laval ,194.5,,,1999
05.07,172,169,Stage 2 - Challans › Saint-Nazaire ,176.0,,,1999
04.07,33,155,Stage 1 - Montaigu › Challans ,208.0,,,1999
03.07,156,156,Prologue - Puy-du-Fou › Puy-du-Fou ,6.8,,,1999
04.05 » 09.05,,,Tour de Romandie () ,,,,1999
,100,,General classification ,,5,,1999
09.05,106,,Stage 5 - Sion › Genève ,180.2,,,1999
08.05,107,,Stage 4 - Moudon › Veysonnaz ,156.8,,,1999
07.05,41,,Stage 3A - Moudon › Moudon ,66.6,,,1999
07.05,110,,Stage 3B (ITT) - Moudon › Moudon ,18.5,,,1999
06.05,120,,Stage 2 - Fleurier › Moléson sur Gruyères ,171.3,,,1999
05.05,112,,Stage 1 - Geneva › Val de Travers/Fleurier ,165.4,,,1999
04.05,109,,Prologue - Bernex › Bernex (Genève) ,4.9,,,1999
26.04 » 29.04,,,Giro del Trentino () ,,,,1999
,108,,General classification ,,,,1999
29.04,99,,Stage 4 - Riva del Garda › Arco ,155.0,,,1999
28.04,112,,Stage 3 - Fondo › Melcesine ,161.0,,,1999
27.04,120,,Stage 2 - Lienz › Passo Mendola ,176.0,,,1999
26.04,121,,Stage 1 - Lienz › Lienz ,205.0,,,1999
24.04,DNF,,Amstel Gold Race (CDM) ,253.0,,,1999
21.04,63,,Scheldeprijs () ,201.0,,,1999
04.10,100,,Paris - Tours (CDM) ,254.5,5,,1998
13.09,78,,GP de Fourmies / La Voix du Nord () ,208.0,,,1998
25.04,DNF,,Amstel Gold Race (CDM) ,257.3,,,1998
23.04,48,,GP de Denain Porte du Hainaut (1.3) ,189.0,,,1998
12.04,DNF,,Paris - Roubaix (CDM) ,266.0,,,1998
21.03,38,,Milano-Sanremo (CDM) ,294.0,5,,1998
07.09 » 14.09,,,Tour de Pologne (2.5) ,,,,1997
,27,,General classification ,,,,1997
31.08,11,,GP Ouest France - Plouay (1.1) ,209.0,20,,1997
24.08,13,,Gran Premio Llodio (1.4) ,197.0,8,,1997
03.08,10,,Trofeo Matteotti (1.3) ,203.0,14,,1997
05.07 » 27.07,,,Tour de France () ,,,,1997
,42,,Points classification ,,,,1997
,91,,General classification ,,25,,1997
27.07,24,,Stage 21 - Disneyland-Paris › Paris ,149.5,,,1997
26.07,64,91,Stage 20 (ITT) - Disneyland-Paris › Disneyland-Paris ,63.0,,,1997
25.07,19,90,Stage 19 - Montbeliard › Dijon ,172.0,,,1997
24.07,16,89,Stage 18 - Colmar › Montbeliard ,175.5,,,1997
23.07,38,100,Stage 17 - Fribourg › Colmar ,218.5,,,1997
22.07,100,100,Stage 16 - Morzine-Avoriaz › Fribourg ,181.0,,,1997
21.07,96,104,Stage 15 - Courchevel › Morzine-Avoriaz ,208.5,,,1997
20.07,97,113,Stage 14 - Bourg d'Oisans › Courchevel ,148.0,,,1997
19.07,137,114,Stage 13 - Saint-Etienne › l'alpe d'huez ,203.5,,,1997
18.07,73,104,Stage 12 (ITT) - Saint-Etienne › Saint-Etienne ,55.0,,,1997
16.07,43,109,Stage 11 - Andorra › Perpignan ,192.0,,,1997
15.07,103,113,Stage 10 - Luchon › Andorra Arcalis ,252.5,,,1997
14.07,83,97,Stage 9 - Pau › Loudenvielles ,182.0,,,1997
13.07,130,90,Stage 8 - Sauternes › Pau ,161.5,,,1997
12.07,58,101,Stage 7 - Marennes › Bordeaux ,194.0,,,1997
11.07,83,127,Stage 6 - Le Blanc › Marennes ,217.5,,,1997
10.07,4,133,Stage 5 - Chantonney › La Châtre ,261.3,40,,1997
09.07,162,137,Stage 4 - Plumelec › Puy-du-Fou ,223.0,,,1997
08.07,149,141,Stage 3 - Vire › Plumelec ,224.0,,,1997
07.07,89,156,Stage 2 - St Valery-en-Caux › Vire ,262.0,,,1997
06.07,139,160,Stage 1 - Rouen › Forges-les-Eaux ,192.0,,,1997
05.07,171,171,Prologue - Rouen › Rouen ,7.3,,,1997
17.06 » 26.06,,,Tour de Suisse () ,,,,1997
26.06,DNF,,Stage 9 - Davos › Zürich ,191.3,,,1997
25.06,73,,Stage 8 - Wetzikon › Davos ,195.9,,,1997
24.06,52,,Stage 7 - Zug › Wetzikon ,174.3,,,1997
23.06,112,,Stage 6 - Locarno › Zug ,193.9,,,1997
22.06,114,,Stage 5 - Biasca › Bosco Gurin ,147.5,,,1997
