date,result ranking,general classification,race name,distance,PCS point,UCI point,year
25.04 » 01.05,,,Le Tour de Bretagne Cycliste (2.2),,,,2022
28.04,66,19,Stage 4 - Saint-Jacut-de-la-Mer › Guillac,164.7,,,2022
27.04,5,21,Stage 3 - Lohéac › Le Hinglé,171.7,,,2022
26.04,82,94,Stage 2 - Missillac › La Chapelle-Bouëxic,152,,,2022
25.04,104,104,Stage 1 - Guenrouët › Sainte-Reine-de-Bretagne,162.3,,,2022
16.04,25,,Liège - Bastogne - Liège U23 (1.2U),174.8,,,2022
06.04 » 09.04,,,Circuit des Ardennes (2.2),,,,2022
,16,,Youth classification,,,,2022
,9,,Mountains classification,,,,2022
,5,,Points classification,,,,2022
,27,,General classification,,,,2022
09.04,1,,Stage 4 - Charleville-Mézières › Charleville-Mézières,172.7,5,7,2022
07.04,30,33,Stage 2 - Bazeilles › Sedan,92.5,,,2022
06.04,80,80,Stage 1 - Signy-le-Petit › Signy-le-Petit,165.2,,,2022
03.04,2,,Trofeo Piva (1.2U),179.2,10,25,2022
21.03 » 27.03,,,Tour de Normandie (2.2),,,,2022
,34,,Youth classification,,,,2022
,19,,Mountains classification,,,,2022
,26,,Points classification,,,,2022
,42,,General classification,,,,2022
27.03,85,,Stage 7 - Ducey-les-Chéris › Caen,142.5,,,2022
26.03,92,41,Stage 6 - Carentan-les-Marais › Carentan-les-Marais,175.9,,,2022
25.03,48,41,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne,156.7,,,2022
24.03,68,51,Stage 4 - Gacé › Argentan,160.6,,,2022
23.03,4,6,Stage 3 - Nonancourt › Elbeuf-sur-Seine,181.4,,,2022
22.03,79,65,Stage 2 - Le Neubourg › Forges-les-Eaux,187.5,,,2022
21.03,58,59,Stage 1 - Ouistreham › Vimoutiers,148.2,,,2022
18.03,63,,Bredene Koksijde Classic (1.Pro),200.9,,,2022
16.03,56,,Danilith Nokere Koerse (1.Pro),189.8,,,2022
01.03,64,,Le Samyn (1.1),209,,,2022
24.02 » 27.02,,,Gran Camiño (2.1),,,,2022
,13,,Youth classification,,,,2022
,82,,General classification,,,,2022
27.02,49,,Stage 4 (ITT) - Sarria  › Sarria ,15.8,,,2022
26.02,65,82,Stage 3 - Maceda  › Luintra,148.4,,,2022
25.02,92,92,Stage 2 - Bertamiráns  › Mirador do Ézaro,177.6,,,2022
24.02,98,98,Stage 1 - O Porriño › Vigo,165,,,2022
07.10 » 10.10,,,Circuit des Ardennes International (2.2),,,,2021
,23,,Youth classification,,,,2021
,26,,Mountains classification,,,,2021
,42,,General classification,,,,2021
10.10,62,,Stage 4 - Tournes › Charleville-Mézières,169,,,2021
09.10,49,43,Stage 3 - Chooz › Hargnies,172.4,,,2021
08.10,70,51,Stage 2 - Vouziers › Vouziers,186.9,,,2021
07.10,53,53,Stage 1 - Sedan › Sedan,115.3,,,2021
29.09 » 03.10,,,Ronde de l'Isard (2.2U),,,,2021
,19,,Mountains classification,,,,2021
,6,,Points classification,,,,2021
,25,,General classification,,,,2021
03.10,35,,Stage 5 - Auterive › Saint-Girons,157.5,,,2021
02.10,8,31,Stage 4 - Fonsorbes › Plateau de Beille,149,,,2021
01.10,55,46,Stage 3 - Pierrefitte-Nestalas › Bagnères-de-Bigorre,134,,,2021
30.09,22,1,Stage 2 - Faudoas › Lannemezan,167.65,,,2021
29.09,1,1,Stage 1 - Toulouse › Montauban,166.5,5,5,2021
24.09,77,,World Championships U23 - Road Race (WC),161.1,,,2021
20.09,33,,World Championships U23 - ITT (WC),30.3,,,2021
16.09,42,,Coppa Sabatini - Gran Premio città di Peccioli (1.Pro),210.8,,,2021
15.09,47,,Giro della Toscana - Memorial Alfredo Martini (1.1),191.6,,,2021
02.09 » 04.09,,,Flanders Tomorrow Tour (2.2U),,,,2021
,17,,Points classification,,,,2021
,6,,General classification,,6,5,2021
04.09,60,,Stage 3b - Handzame › Handzame,124.9,,,2021
04.09,13,6,Stage 3a (ITT) - Koksijde › Koksijde,12.7,,,2021
03.09,74,6,Stage 2 - Staden › Staden,153.6,,,2021
02.09,6,6,Stage 1 - Poperinge › Poperinge,155.6,,,2021
13.08 » 22.08,,,Tour de l'Avenir (2.Ncup),,,,2021
,20,,Mountains classification,,,,2021
,43,,Points classification,,,,2021
,11,,General classification,,,3,2021
22.08,7,,Stage 9 - La Toussuire › Col du Petit Saint-Bernard,151.6,,,2021
21.08,23,16,Stage 8 - La Tour-en-Maurienne › Saint Jean d’Arves,71.3,,,2021
20.08,26,17,Stage 7 - Saint-Vulbas › Grand Colombier,97.9,,,2021
19.08,47,21,Stage 6 - Champagnole › Septmoncel,111,,,2021
18.08,99,19,Stage 5 - Tomblaine › Bar-sur-Aube,150.7,,,2021
17.08,68,19,Stage 4 - Provins › Bar-le-Duc,183.9,,,2021
16.08,31,16,Stage 3 - Château-Thierry › Donnemarie-Dontilly,153.4,,,2021
15.08,4,13,Stage 2 (TTT) - Laon › Laon,26.8,,,2021
14.08,50,24,Stage 1 - Charleville-Mézières › Soissons,161.2,,,2021
13.08,32,32,Prologue - Charleville-Mézières › Charleville-Mézières,5,,,2021
21.07 » 25.07,,,Tour Alsace (2.2),,,,2021
,6,,Youth classification,,,,2021
,14,,General classification,,,,2021
25.07,61,,Stage 5 - Mulhouse › Berrwiller,153.6,,,2021
24.07,13,14,Stage 4 - Ribeauvillé  › Lac Blanc,161.3,,,2021
