date,result ranking,general classification,race name,distance,PCS point,UCI point,year
23.02,3,,Coppa San Geo (1.6) ,,7,,2002
23.02,3.0,,Coppa San Geo (1.6) ,,7,,2002
11.06 » 23.06,,,Giro Ciclistico d'Italia (2.2) ,,,,2001
23.06,3.0,,Stage 12 ,,1,,2001
19.06,10.0,,Stage 8 - Marsico Nuovo › Cetraro ,147.0,,,2001
15.06,19.0,,Stage 4 - Calvisano › Crema ,148.0,,,2001
20.09 » 24.09,,,GP Tell (2.Ncup) ,,,,2000
22.09,93.0,,Stage 3a - Zofingen › Engelberg ,84.5,,,2000
22.09,92.0,,Stage 3b (ITT) - Wolfenschiessen › Engelberg ,12.8,,,2000
21.09,93.0,,Stage 2 - Luzern › Zofingen ,139.2,,,2000
20.09,55.0,,Stage 1 - Luzern › Luzern ,20.7,,,2000
