date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.04 » 01.05,,,International Tour of Hellas (2.1),,,,2022
28.04,12,4,Stage 2 - Marousi › Itea,165,,,2022
27.04,7,7,Stage 1 - Heraklion › Chania,190.1,2,,2022
13.04 » 17.04,,,Tour du Loir et Cher (2.2),,,,2022
,3,,Mountains classification,,,,2022
,41,,General classification,,,,2022
17.04,89,,Stage 5 - Blois › Blois,97.5,,,2022
16.04,77,33,Stage 4 - La Motte-Beuvron › La Motte-Beuvron,205,,,2022
15.04,13,13,Stage 3 - Cloyes-Les-Trois-Rivières › Vendôme,213,,,2022
14.04,14,25,Stage 2 - Le Controis-en-Sologne › Vallières-les-Grandes,197.5,,,2022
13.04,28,32,Stage 1 - Blois › Fontaines-en-Sologne,147,,,2022
05.01 » 09.01,,,New Zealand Cycle Classic (2.2),,,,2022
,1,,Mountains classification,,,,2022
,6,,Points classification,,,,2022
,1,,General classification,,25,40,2022
09.01,6,,Stage 5 - Wellington › Wellington,,,,2022
08.01,1,1,Stage 4 - Masterton › Te Wharau Hill,137.2,5,7,2022
07.01,21,1,Stage 3 - Masterton › Martinborough,127.3,,,2022
06.01,2,1,Stage 2 - Masterton › Masterton,158.1,2,3,2022
05.01,1,3,Stage 1 (TTT) - Masterton › Masterton,10,5,1.167,2022
13.01 » 17.01,,,New Zealand Cycle Classic (2.2),,,,2021
,32,,General classification,,,,2021
17.01,23,,Stage 5 - Wellington › Wellington,42,,,2021
16.01,45,45,Stage 4 - Masterton  › Admiral Hill,125.6,,,2021
15.01,75,59,Stage 3 - Masterton › Martinborough,127,,,2021
14.01,57,50,Stage 2 - Masterton › Masterton,158.1,,,2021
13.01,7,29,Stage 1 (TTT) - Masterton › Masterton,10,,,2021
28.04,44,,Rutland - Melton Cicle Classic (1.2),198.5,,,2019
14.04,17,,Commonwealth Games - Road Race (JR),169.8,,,2018
10.04,16,,Commonwealth Games - ITT (JR),38.5,,,2018
22.09,40,,World Championships U23 - Road Race (WC),191,,3,2017
03.09 » 10.09,,,OVO Energy Tour of Britain (2.HC),,,,2017
,21,,Mountains classification,,,,2017
,33,,General classification,,,3,2017
