date,result ranking,general classification,race name,distance,PCS point,UCI point
01.09 » 05.09,,,Tour of Bulgaria (2.2),,,
,91,,General classification,,,
05.09,92,,Stage 5 - Tryavna › Trojan,170,,
04.09,106,93,Stage 4 - Burgas › Tryavna,205,,
03.09,74,89,Stage 3 - Elena › Burgas,195,,
02.09,112,101,Stage 2 - Kazanlak › Elena,140,,
01.09,97,97,Stage 1a - Sofia › Zlatitza,70,,
01.09,113,102,Stage 1b - Zlatitza › Kazanlak,100,,
23.09,DNF,,World Championships - Road Race (WC),267.4,,
09.09 » 15.09,,,Tour of Bulgaria (2.2),,,
,16,,Mountains classification,,,
,5,,General classification,,8,10
15.09,4,,Stage 7 - Shumen › Dobrich,176,,
14.09,12,7,Stage 6 - Burgas › Shumen,217,,
13.09,18,7,Stage 5 - Stara Zagora › Burgas,170,,
12.09,10,11,Stage 4 - Tryavna › Stara Zagora,97,,
11.09,27,10,Stage 3 - Gabrovo › Tryavna,113,,
10.09,36,10,Stage 2 - Troyan › Gabrovo,100,,
09.09,13,13,Stage 1b - Sofia › Zlatitsa,68,,
09.09,14,9,Stage 1a - Zlatitsa › Troyan,93,,
18.08,32,,Grand Prix Kralovehradeckeho kraje (1.2),178,,
09.08 » 12.08,,,Tour of Szeklerland (2.2),,,
,47,,General classification,,,
12.08,42,,Stage 4b - Miercurea Ciuc › Miercurea Ciuc,130,,
12.08,12,56,Stage 4a (ITT) - Harmaskereszt › Harghita-Bai,5,,
11.08,98,62,Stage 3 - Miercurea Ciuc › Harghita-Bai,180,,
10.08,10,24,Stage 2 - Miercurea Ciuc › Miercurea Ciuc,168,,
09.08,9,44,Stage 1 (TTT) - Miercurea Ciuc  › Manastirea Fagatel,22,,
04.07 » 08.07,,,Cycling Tour of Sibiu (2.2),,,
,21,,General classification,,,
08.07,64,,Stage 4 - Sibiu › Sibiu,146.2,,
07.07,31,20,Stage 3 - Sibiu › Balea Lac,90.2,,
06.07,6,23,Stage 2 (TTT) - Cisnadie › Sibiu,10.2,,
05.07,23,25,Stage 1 - Sibiu › Paltinis,184,,
04.07,64,64,Prologue - Sibiu › Sibiu,2.4,,
15.06 » 17.06,,,Oberösterreichrundfahrt (2.2),,,
,44,,General classification,,,
17.06,22,,Stage 3 - Altmünster  › Sankt Georgen im Attergau,140.8,,
16.06,69,75,Stage 2 - Wels › Altheim,191.5,,
15.06,72,72,Stage 1 - Linz › Aigen im Mühlkreis,144.6,,
02.06 » 09.06,,,Romanian Cycling Tour (2.2),,,
,10,,General classification,,1,
,10,,General classification,,,
09.06,26,,Stage 9 - Salonta › Marghita,109,,
09.06,4,,Stage 8 - Ramnicu Valcea › Pasul Urdele,126,,
08.06,52,18,Stage 7 - Agnita › Ramnicu Valcea,156,,
07.06,25,18,Stage 6 - Poiana Largului › Targu Mures,167,,
06.06,24,17,Stage 5 - Siret › Suceava,159,,
05.06,22,9,Stage 4 - Iasi › Botosani,117,,
04.06,24,9,Stage 3 - Galati › Vaslui,178,,
03.06,41,8,Stage 2 - Hârsova › Galati,143,,
02.06,9,9,Stage 1 (ITT) - Constanta › Constanta,8,,
06.05,6,,Grand Prix Dobrich II (1.2),170,,6
04.05,1,,Grand Prix Dobrich I (1.2),195,15,40
15.04,82,,Zellik - Galmaarden (1.2),173.9,,
11.09 » 18.09,,,Tour of Bulgaria (2.2),,,
,2,,General classification,,18,
18.09,14,,Stage 9 - Pirdop › Teteven,145,,
17.09,33,,Stage 8 - Tryavna › Pirdop,170,,
16.09,39,,Stage 7 - Kzanlak › Tryavna,95,,
15.09,70,,Stage 6 - Karnobat › Kazanlak,146,,
14.09,50,,Stage 5 - Dobrich › Nesebar,152,,
13.09,36,,Stage 4 - Shumen › Dobrich,135,,
12.09,1,,Stage 3 - Veliko Tarnovo › Shumen,142,5,
12.09,46,,Stage 2 - Troyan › Veliko Tarnovo,101,,
11.09,4,,Stage 1 - Sofia › Troyan,180,,
11.08 » 13.08,,,Tour of Szeklerland (2.2),,,
,3,,General classification,,14,
13.08,26,,Stage 4 - Miercurea Ciuc › Miercurea Ciuc,123,,
13.08,1,,Stage 3 (ITT) - Harghita-Bai › Harghita-Bai,8,5,
12.08,5,,Stage 2 - Miercurea Ciuc › Harghita-Bai,182,,
11.08,7,,Stage 1 - Tusnad › Miercurea Ciuc,183,,
24.07,47,,Central European Tour Budapest GP (1.2),121,,
23.07,57,,Central European Tour Miskolc GP (1.2),155,,
07.07 » 10.07,,,Czech Cycling Tour (2.2),,,
,96,,General classification,,,
10.07,105,,Stage 4 - Olomouc › Olomouc,176,,
09.07,83,,Stage 3 - Šternberk › Šumperk,198.8,,
08.07,105,,Stage 2 - Olomouc  › Prostejov,148.6,,
07.07,20,,Stage 1 (TTT) - Olomouc › Olomouc,24,,
13.06 » 19.06,,,Tour de Serbie (2.2),,,
,29,,General classification,,,
19.06,57,,Stage 7 - Lepenski Vir › Belgrade,168,,
18.06,42,,Stage 6 - Sokobanja › Kladovo,189.5,,
17.06,52,,Stage 5 - Nis › Sokobanja,84.5,,
16.06,65,,Stage 4 - Uzice › Nis,233,,
15.06,25,,Stage 3 - Pale (BIH) › Bajina Basta Tara,172,,
14.06,47,,Stage 2 - Ruma Vrdnik › Pale (BIH),166.5,,
13.06,59,,Stage 1 - Ruma › Ruma,110,,
11.09 » 19.09,,,Tour of Bulgaria (2.2),,,
,47,,General classification,,,
19.09,53,,Stage 9 - Troyan › Teteven,148,,
18.09,43,,Stage 5 - Gabrovo › Troyan,158,,
17.09,60,,Stage 7b - Veliko Tarnovo › Gabrovo,70,,
17.09,4,,Stage 7a - Razgrad › Veliko Tarnovo,113,,
16.09,43,,Stage 6 - Dobrich › Razgrad,177,,
15.09,77,,Stage 5 - Burgas › Dobrich,182,,
14.09,60,,Stage 4 - Kazanlak › Burgas,196,,
13.09,46,,Stage 3 - Plovdiv › Kazanlak,104,,
12.09,74,,Stage 2 - Gotse Delchev › Plovdiv,202,,
11.09,57,,Stage 1 - Sofia › Gotse Delchev,217,,
26.08 » 30.08,,,Tour of Victory (2.2),,,
,7,,General classification,,3,
30.08,13,,Stage 5 - Eskisehir › Dumlupinar,,,
29.08,2,,Stage 4 - Eskisehir › Eskisehir,,2,
28.08,8,,Stage 3 - Cankiri › Akyurt,,,
27.08,14,,Stage 2 - Kastamonu › Cankiri,113,,
26.08,16,,Stage 1 - Inebolu › Kastamonu,87,,
18.04,46,,Zellik - Galmaarden (1.2),173.9,,
02.04 » 04.04,,,Le Triptyque des Monts et Châteaux (2.2),,,
03.04,DNF,,Stage 3 - Frasnes-lez-Buissenal › Soignies,134.2,,
03.04,103,,Stage 2 (ITT) - Lessines › Lessines,8.4,,
02.04,96,,Stage 1 - Vieux-Condé(France) › Quevaucamps,170.2,,
14.03,52,,Omloop van het Waasland (1.2),191,,
18.09,6,,Tour of Vojvodina II (1.2),160,1,
17.09,3,,Tour of Vojvodina I (1.2),165,7,
