date,result ranking,general classification,race name,distance,PCS point,UCI point,year
03.10,60,,Sparkassen Münsterland Giro (1.Pro),188.5,,,2021
23.09,DNF,,Omloop van het Houtland Middelkerke-Lichtervelde (1.1),190,,,2021
19.09,113,,Grand Prix d'Isbergues - Pas de Calais (1.1),199.3,,,2021
18.09,DNF,,Primus Classic (1.Pro),197.7,,,2021
12.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1),183.4,,,2021
26.08 » 29.08,,,Deutschland Tour (2.Pro),,,,2021
29.08,DNF,,Stage 4 - Erlangen › Nürnberg,156.3,,,2021
28.08,117,117,Stage 3 - Ilmenau  › Erlangen,193.9,,,2021
27.08,118,116,Stage 2 - Sangerhausen › Ilmenau,180.6,,,2021
26.08,102,102,Stage 1 - Stralsund › Schwerin,191.4,,,2021
20.08,142,,Grote Prijs Marcel Kint (1.1),196.3,,,2021
10.08 » 14.08,,,PostNord Danmark Rundt - Tour of Denmark (2.Pro),,,,2021
,13,,Mountains classification,,,,2021
,18,,Points classification,,,,2021
,84,,General classification,,,,2021
14.08,69,,Stage 5 (ITT) - Frederiksberg › Frederiksberg,10.8,,,2021
13.08,3,85,Stage 4 - Holbæk › Kalundborg,188.4,12,5,2021
12.08,108,109,Stage 3 - Tønder › Vejle,219.2,,,2021
11.08,104,114,Stage 2 - Ribe › Sønderborg,189.6,,,2021
10.08,117,118,Stage 1 - Struer › Esbjerg,175.3,,,2021
23.06 » 26.06,,,Course Cycliste de Solidarnosc et des Champions Olympiques (2.2),,,,2021
,28,,Points classification,,,,2021
,68,,General classification,,,,2021
26.06,123,,Stage 5 - Ostrowiec Świętokrzyski › Stalowa Wola,165.3,,,2021
25.06,70,65,Stage 4 - Tomaszów Mazowiecki › Kielce,212.7,,,2021
24.06,62,51,Stage 3 - Koluszki › Sieradz,191.6,,,2021
23.06,32,36,Stage 2 - Kutno › Płock,96.9,,,2021
23.06,39,41,Stage 1 - Pabianice › Łódź,75.1,,,2021
20.06,21,,National Championships Germany - Road Race (NC),177.5,,,2021
30.05 » 06.06,,,Critérium du Dauphiné (2.UWT),,,,2021
,34,,Youth classification,,,,2021
,38,,Points classification,,,,2021
,116,,General classification,,5,,2021
06.06,115,,Stage 8 - La Léchère-Les-Bains  › Les Gets,147,,,2021
05.06,124,121,Stage 7 - Saint-Martin-le-Vinoux › La Plagne,171.1,,,2021
04.06,117,125,Stage 6 - Loriol-sur-Drome › Le Sappey-en-Chartreuse,167.2,,,2021
03.06,137,130,Stage 5 - Saint-Chamond › Saint-Vallier,175.4,,,2021
02.06,117,119,Stage 4 (ITT) - Firminy › Roche-La-Molière,16.4,,,2021
01.06,114,115,Stage 3 - Langeac › Saint-Haon-Le-Vieux ,172.2,,,2021
31.05,108,114,Stage 2 - Brioude  › Saugues,172.8,,,2021
30.05,125,125,Stage 1 - Issoire › Issoire,181.8,,,2021
14.04,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),201.7,,,2021
07.04,DNF,,Scheldeprijs ME (1.Pro),193.8,,,2021
26.03,DNF,,E3 Saxo Bank Classic (1.UWT),203.9,,,2021
24.03,157,,Oxyclean Classic Brugge-De Panne ME (1.UWT),203.9,5,,2021
19.03,DNF,,Bredene Koksijde Classic (1.Pro),199.9,,,2021
19.02 » 21.02,,,Tour des Alpes Maritimes et du Var (2.1),,,,2021
,37,,Youth classification,,,,2021
,115,,General classification,,,,2021
21.02,115,,Stage 3 - Blausasc › Blausasc,136,,,2021
20.02,130,131,Stage 2 - Fayence › Fayence,168.9,,,2021
19.02,113,113,Stage 1 - Biot › Gourdon,186.8,,,2021
20.10 » 08.11,,,La Vuelta ciclista a España (2.UWT),,,,2020
04.11,DNF,,Stage 14 - Lugo › Ourense,204.7,,,2020
03.11,91,139,Stage 13 (ITT) - Muros › Mirador de Ézaro,33.7,,,2020
01.11,103,139,Stage 12 - Pola de Laviana › Alto de l'Angliru,109.4,,,2020
31.10,88,144,Stage 11 - Villaviciosa › Alto de la Farrapona,170,,,2020
30.10,73,150,Stage 10 - Castro Urdiales › Suances,185,,,2020
29.10,24,151,Stage 9 - Castrillo del Val › Aguilar de Campoo,157.7,,,2020
28.10,134,152,Stage 8 - Logroño › Alto de Moncalvillo,164,,,2020
27.10,151,155,Stage 7 - Vitoria-Gasteiz › Villanueva de Valdegovia,159.7,,,2020
25.10,162,157,Stage 6 - Biescas › Aramón Formigal,146.4,,,2020
24.10,143,152,Stage 5 - Huesca › Sabiñanigo,184.4,,,2020
23.10,164,152,Stage 4 - Garray › Ejea de los Caballeros,191.7,,,2020
22.10,138,151,Stage 3 - Lodosa › La Laguna Negra de Vinuesa,166.1,,,2020
21.10,163,157,Stage 2 - Pamplona › Lekunberri,151.6,,,2020
20.10,143,143,Stage 1 - Irún › Arrate,173,,,2020
11.10,DNF,,Paris - Tours Elite (1.Pro),213,,,2020
07.10,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),197.2,,,2020
29.09 » 03.10,,,BinckBank Tour (2.UWT),,,,2020
03.10,DNF,,Stage 5 - Ottignies-Louvain-la-Neuve › Geraardsbergen,183.6,,,2020
02.10,61,92,Stage 4 (ITT) - Riemst › Riemst,8.14,,,2020
01.10,114,94,Stage 3 - Aalter › Aalter,157,,,2020
29.09,100,100,Stage 1 - Blankenberge › Ardooie,132.1,,,2020
30.08,DNF,,Brussels Cycling Classic (1.Pro),204,,,2020
23.08,DNF,,National Championships Germany - Road Race (NC),168,,,2020
