date,result ranking,general classification,race name,distance,PCS point,UCI point
29.09,DNF,,Il Lombardia (WT),251,,
27.09,DNF,,Gran Piemonte (1.HC),188,,
15.09,9,,Memorial Marco Pantani - Trofeo Sidermac (1.1),183.7,16,7
18.08,28,,Tre Valli Varesine (1.HC),195,,
17.08,33,,Coppa Agostoni - Giro della Brianza (1.1),196.5,,
16.08,70,,GP Banca di Legnano - Coppa Bernocchi (1.1),200,,
07.08 » 11.08,,,Tour de l'Ain - La Route du Progrès (2.1),,,
,71,,General classification,,,
11.08,54,71,Stage 5 - Saint-Claude › Lélex,134.7,,
10.08,85,87,Stage 4 - Nantua › Septmoncel,166.2,,
09.08,45,40,Stage 3 - Belley › Montréal-la-Cluse ,148.5,,
08.08,51,52,Stage 2a - Lagnieu › Ambérieu-en-Bugey,83.5,,
08.08,7,26,Stage 2b (TTT) - Saint Vulbas › Saint Vulbas,10.7,,
07.08,54,54,Stage 1 - Montmerle  › Trévoux ,146.2,,
01.08 » 05.08,,,Vuelta a Burgos (2.HC),,,
,98,,General classification,,,
05.08,100,98,Stage 5 - Revenga › Lagunas de Neila,170,,
04.08,81,102,Stage 4 - Doña Santos › Clunia,170,,
03.08,100,115,Stage 3 - Santo Domingo de Silos › Lerma,159,,
02.08,140,119,Stage 2 - Burgos › Burgos,141,,
01.08,113,113,Stage 1 - Miranda de Ebro › Ojo Guareña,135,,
09.06 » 17.06,,,Tour de Suisse (WT),,,
,60,,General classification,,5,
17.06,54,60,Stage 8 - Näfels-Lintharena › Sörenberg,215.8,,
16.06,38,69,Stage 7 - Bischofszell › Arosa,148.2,,
15.06,74,96,Stage 6 (ITT) - Gossau › Gossau,34.3,,
14.06,112,97,Stage 5 - Wittnau › Bischofszell,198.5,,
13.06,132,91,Stage 4 - Olten › Gansingen,192.7,,
12.06,130,89,Stage 3 - Aarberg › Trimbach,188.8,,
11.06,84,35,Stage 2 - Martigny › Aarberg,194.7,,
