date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.06,19,,National Championships Switzerland - Road Race (NC) ,158.6,,,2021
06.06 » 13.06,,,Tour de Suisse (2.UWT) ,,,,2021
,29,,Points classification ,,,,2021
,94,,General classification ,,5,,2021
13.06,63,,Stage 8 - Andermatt › Andermatt ,159.5,,,2021
12.06,58,111,Stage 7 (ITT) - Disentis Sedrun › Andermatt ,23.2,,,2021
11.06,101,116,Stage 6 - Fiesch › Disentis Sedrun ,130.1,,,2021
10.06,85,117,Stage 5 - Gstaad › Leukerbad ,175.2,,,2021
09.06,125,119,Stage 4 - Sankt Urban › Gstaad ,171,,,2021
08.06,126,122,Stage 3 - Lachen › Pfaffnau  151k,182.1,,,2021
07.06,143,144,Stage 2 - Neuhausen am Rheinfall › Lachen ,178,,,2021
06.06,158,158,Stage 1 (ITT) - Frauenfeld › Frauenfeld ,10.9,,,2021
04.06,DNF,,Grosser Preis des Kantons Aargau (1.1) ,172,,,2021
24.05,5,,Mercan'Tour Classic Alpes-Maritimes (1.1) ,149.9,28,50,2021
27.04 » 02.05,,,Tour de Romandie (2.UWT) ,,,,2021
,31,,Mountains classification ,,,,2021
,68,,General classification ,,5,,2021
02.05,74,,Stage 5 (ITT) - Fribourg › Fribourg ,16.19,,,2021
01.05,81,68,Stage 4 - Sion › Thyon 2000 ,161.3,,,2021
30.04,87,59,Stage 3 - Estavayer › Estavayer ,168.7,,,2021
29.04,64,56,Stage 2 - La Neuveville › Saint-Imier ,165.7,,,2021
28.04,68,59,Stage 1 - Aigle › Martigny ,168.1,,,2021
27.04,83,83,Prologue - Oron › Oron ,4.05,,,2021
05.04 » 10.04,,,Itzulia Basque Country (2.UWT) ,,,,2021
10.04,DNF,,Stage 6 - Ondarroa › Arrate (Eibar) ,111.9,,,2021
09.04,89,59,Stage 5 - Hondarribia › Ondarroa ,160.2,,,2021
08.04,56,63,Stage 4 - Vitoria-Gasteiz › Hondarribia ,189.2,,,2021
07.04,75,70,Stage 3 - Amurrio › Ermualde (Laudio) ,167.7,,,2021
06.04,88,86,Stage 2 - Zalla › Sestao ,154.8,,,2021
05.04,84,84,Stage 1 (ITT) - Bilbao › Bilbao ,13.89,,,2021
03.03,59,,Trofeo Laigueglia (1.Pro) ,202,,,2021
21.02 » 27.02,,,UAE Tour (2.UWT) ,,,,2021
,27,,Points classification ,,,,2021
,54,,General classification ,,5,2,2021
27.02,78,,Stage 7 - Yas Mall  › Abu Dhabi Breakwater ,147,,,2021
26.02,81,55,Stage 6 - Deira Island › Palm Jumeirah ,165,,,2021
25.02,81,59,Stage 5 - Fujairah Marine Club › Jebel Jais  138k,170,,,2021
24.02,66,32,Stage 4 - Al Marjan Island › Al Marjan Island ,204,,,2021
23.02,29,32,Stage 3 - Strata Manufactoring › Jebel Hafeet ,166,,,2021
22.02,79,84,Stage 2 (ITT) - Al Hudayriat Island › Al Hudayriat Island ,13,,,2021
21.02,54,55,Stage 1 - Al Dhafra Castle  › Al Mirfa ,176,,,2021
20.06,19,,National Championships Switzerland - Road Race (NC),158.6,,,2021
06.06 » 13.06,,,Tour de Suisse (2.UWT),,,,2021
,29,,Points classification,,,,2021
,94,,General classification,,5,,2021
13.06,63,,Stage 8 - Andermatt › Andermatt,159.5,,,2021
12.06,58,111,Stage 7 (ITT) - Disentis Sedrun › Andermatt,23.2,,,2021
11.06,101,116,Stage 6 - Fiesch › Disentis Sedrun,130.1,,,2021
10.06,85,117,Stage 5 - Gstaad › Leukerbad,175.2,,,2021
09.06,125,119,Stage 4 - Sankt Urban › Gstaad,171.0,,,2021
08.06,126,122,Stage 3 - Lachen › Pfaffnau,182.1,,,2021
07.06,143,144,Stage 2 - Neuhausen am Rheinfall › Lachen,178.0,,,2021
06.06,158,158,Stage 1 (ITT) - Frauenfeld › Frauenfeld,10.9,,,2021
04.06,DNF,,Grosser Preis des Kantons Aargau (1.1),172.0,,,2021
24.05,5,,Mercan'Tour Classic Alpes-Maritimes (1.1),149.9,28,50,2021
27.04 » 02.05,,,Tour de Romandie (2.UWT),,,,2021
,31,,Mountains classification,,,,2021
,68,,General classification,,5,,2021
02.05,74,,Stage 5 (ITT) - Fribourg › Fribourg,16.19,,,2021
01.05,81,68,Stage 4 - Sion › Thyon 2000,161.3,,,2021
30.04,87,59,Stage 3 - Estavayer › Estavayer,168.7,,,2021
29.04,64,56,Stage 2 - La Neuveville › Saint-Imier,165.7,,,2021
28.04,68,59,Stage 1 - Aigle › Martigny,168.1,,,2021
27.04,83,83,Prologue - Oron › Oron,4.05,,,2021
05.04 » 10.04,,,Itzulia Basque Country (2.UWT),,,,2021
10.04,DNF,,Stage 6 - Ondarroa › Arrate (Eibar),111.9,,,2021
09.04,89,59,Stage 5 - Hondarribia › Ondarroa,160.2,,,2021
08.04,56,63,Stage 4 - Vitoria-Gasteiz › Hondarribia,189.2,,,2021
07.04,75,70,Stage 3 - Amurrio › Ermualde (Laudio),167.7,,,2021
06.04,88,86,Stage 2 - Zalla › Sestao,154.8,,,2021
05.04,84,84,Stage 1 (ITT) - Bilbao › Bilbao,13.89,,,2021
03.03,59,,Trofeo Laigueglia (1.Pro),202.0,,,2021
21.02 » 27.02,,,UAE Tour (2.UWT),,,,2021
,27,,Points classification,,,,2021
,54,,General classification,,5,2,2021
27.02,78,,Stage 7 - Yas Mall  › Abu Dhabi Breakwater,147.0,,,2021
26.02,81,55,Stage 6 - Deira Island › Palm Jumeirah,165.0,,,2021
25.02,81,59,Stage 5 - Fujairah Marine Club › Jebel Jais,170.0,,,2021
24.02,66,32,Stage 4 - Al Marjan Island › Al Marjan Island,204.0,,,2021
23.02,29,32,Stage 3 - Strata Manufactoring › Jebel Hafeet,166.0,,,2021
22.02,79,84,Stage 2 (ITT) - Al Hudayriat Island › Al Hudayriat Island,13.0,,,2021
21.02,54,55,Stage 1 - Al Dhafra Castle  › Al Mirfa,176.0,,,2021
20.10 » 08.11,,,La Vuelta ciclista a España (2.UWT),,,,2020
20.10,DNF,,Stage 1 - Irún › Arrate,173.0,,,2020
07.10,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),197.2,,,2020
04.10,DNF,,Liège-Bastogne-Liège (1.UWT),257.0,,,2020
30.09,91,,La Flèche Wallonne (1.UWT),202.0,5,,2020
07.09 » 14.09,,,Tirreno-Adriatico (2.UWT),,,,2020
,6,,Mountains classification,,,,2020
,50,,Points classification,,,,2020
,52,,General classification,,5,5,2020
14.09,73,,Stage 8 (ITT) - San Benedetto del Tronto › San Benedetto del Tronto,10.1,,,2020
13.09,61,53,Stage 7 - Pieve Torina › Loreto,181.0,,,2020
12.09,99,53,Stage 6 - Castelfidardo › Senigallia,171.0,,,2020
11.09,79,56,Stage 5 - Norcia › Sassotetto,202.0,,,2020
10.09,54,48,Stage 4 - Terni › Cascia,194.0,,,2020
09.09,46,45,Stage 3 - Follonica › Saturnia,217.0,,,2020
08.09,26,30,Stage 2 - Camaiore › Follonica,201.0,,,2020
07.09,58,60,Stage 1 - Lido di Camaiore › Lido di Camaiore,133.0,,,2020
15.08,45,,Il Lombardia (1.UWT),231.0,5,10,2020
07.08 » 09.08,,,Tour de l'Ain (2.1),,,,2020
,46,,General classification,,,,2020
09.08,59,,Stage 3 - Saint-Vulbas › Grand Colombier,144.5,,,2020
08.08,27,28,Stage 2 - Lagnieu › Lélex Monts-Jura ,140.5,,,2020
07.08,37,37,Stage 1 - Montréal-la-Cluse  › Ceyzeriat ,139.5,,,2020
01.03,65,,Royal Bernard Drome Classic (1.Pro),203.0,,,2020
29.02,DNF,,Faun-Ardèche Classic (1.Pro),184.4,,,2020
05.02 » 09.02,,,Volta a la Comunitat Valenciana (2.Pro),,,,2020
,27,,General classification,,,5,2020
09.02,94,,Stage 5 - Paterna › Valencia,97.7,,,2020
08.02,27,27,Stage 4 - Calp › Altea (Sierra de Bernia),167.0,,,2020
07.02,69,29,Stage 3 - Orihuela › Torrevieja,174.5,,,2020
06.02,31,30,Stage 2 - Torrent › Cullera (Montaña),181.0,,,2020
05.02,70,70,Stage 1 - Castelló › Vila-Real ,180.0,,,2020
12.10,21,,Il Lombardia (1.UWT),243.0,19,20,2019
10.10,6,,Gran Piemonte (1.HC),183.0,40,70,2019
08.10,DNF,,Tre Valli Varesine (1.HC),197.8,,,2019
06.10,DNF,,Gran Premio Bruno Beghelli (1.HC),199.3,,,2019
05.10,62,,Giro dell'Emilia (1.HC),207.4,,,2019
15.09,12,,Grand Prix Cycliste de Montréal (1.UWT),219.6,34,60,2019
13.09,23,,Grand Prix Cycliste de Québec (1.UWT),201.6,12,20,2019
29.08 » 01.09,,,Deutschland Tour (2.HC),,,,2019
,21,,General classification,,6,5,2019
01.09,21,,Stage 4 - Eisenach › Erfurt,159.5,,,2019
31.08,41,24,Stage 3 - Göttingen › Eisenach,189.0,,,2019
30.08,16,26,Stage 2 - Marburg › Göttingen,202.0,,,2019
29.08,60,60,Stage 1 - Hannover › Halberstadt,167.0,,,2019
25.08,54,,EuroEyes Cyclassics Hamburg (1.UWT),216.7,5,4,2019
06.07 » 28.07,,,Tour de France (2.UWT),,,,2019
,58,,Mountains classification,,,,2019
,104,,Points classification,,,,2019
,48,,General classification,,25,20,2019
28.07,132,,Stage 21 - Rambouillet › Paris,128.0,,,2019
27.07,72,48,Stage 20 - Albertville › Val Thorens,59.5,,,2019
26.07,DF,49,Stage 19 - Saint-Jean-de-Maurienne › Tignes,127.0,,,2019
25.07,46,50,Stage 18 - Embrun › Valloire,208.0,,,2019
24.07,89,51,Stage 17 - Pont du Gard › Gap,200.0,,,2019
23.07,73,49,Stage 16 - Nîmes › Nîmes,177.0,,,2019
21.07,87,49,Stage 15 - Limoux › Foix,185.0,,,2019
20.07,57,43,Stage 14 - Tarbes › Col du Tourmalet,111.0,,,2019
19.07,158,39,Stage 13 (ITT) - Pau › Pau,27.2,,,2019
18.07,14,36,Stage 12 - Toulouse › Bagnères-de-Bigorre,209.5,2,,2019
17.07,117,47,Stage 11 - Albi › Toulouse,167.0,,,2019
15.07,68,48,Stage 10 - Saint-Flour › Albi,217.5,,,2019
14.07,17,50,Stage 9 - Saint-Étienne › Brioude,170.5,,,2019
13.07,48,49,Stage 8 - Mâcon › Saint-Étienne,200.0,,,2019
12.07,131,57,Stage 7 - Belfort › Chalon-sur-Saône,230.0,,,2019
11.07,65,48,Stage 6 - Mulhouse › La Planche des Belles Filles,160.5,,,2019
10.07,55,61,Stage 5 - Saint-Dié-des-Vosges › Colmar,175.5,,,2019
09.07,127,61,Stage 4 - Reims › Nancy,213.5,,,2019
08.07,59,60,Stage 3 - Binche › Épernay,215.0,,,2019
07.07,19,109,Stage 2 (TTT) - Brussels › Brussels,27.6,,,2019
06.07,135,135,Stage 1 - Brussels › Brussels,194.5,,,2019
30.06,3,,National Championships Switzerland - Road Race (NC),162.8,7,60,2019
