date,result ranking,general classification,race name,distance,PCS point,UCI point
18.08 » 24.08,,,USA Pro Challenge (2.HC),,,
,11,,Mountains classification,,,
,62,,General classification,,,
24.08,43,,Stage 7 - Boulder › Denver,126,,
23.08,68,76,Stage 6 (ITT) - Vail › Vail,16.1,,
22.08,71,77,Stage 5 - Woodland Park › Breckenridge,168,,
21.08,120,79,Stage 4 - Colorado Springs › Colorado Springs,113,,
20.08,89,68,Stage 3 - Gunnison › Monarch Mountain,155,,
19.08,51,64,Stage 2 - Aspen › Crested Butte,169,,
18.08,114,114,Stage 1 - Aspen › Aspen,98,,
04.08 » 10.08,,,The Larry H.Miller Tour of Utah (2.1),,,
,21,,Mountains classification,,,
,53,,General classification,,,
10.08,43,,Stage 7 - Park City › Park City,125.5,,
09.08,68,56,Stage 6 - Salt Lake City › Snowbird Ski and Summer Resort,172.6,,
08.08,105,53,"Stage 5 - Evanston, WY › Kamas",163.1,,
07.08,50,36,Stage 4 - Ogden › Powder Mountain,168.5,,
06.08,84,45,Stage 3 - Lehi › Miller Motorsports Park,190.2,,
05.08,39,41,Stage 2 - Panguitch › Torrey,210.3,,
04.08,86,86,Stage 1 - Cedar City › Cedar City,182.7,,
01.06,81,,The Philadelphia Cycling Classic (1.1),193,,
26.05,DNF,,National Championships United States - Road Race (NC),165,,
11.05 » 18.05,,,Amgen Tour of California (2.HC),,,
,14,,Mountains classification,,,
,20,,Points classification,,,
18.05,DNF,,Stage 8 - Thousand Oaks › Thousand Oaks,122.4,,
17.05,114,101,Stage 7 - Santa Clarita › Pasadena,142.8,,
16.05,39,89,Stage 6 - Santa Clarita › Mountain High,151.8,,
15.05,93,117,Stage 5 - Pismo Beach › Santa Barbara,172.9,,
14.05,5,114,Stage 4 - Monterey › Cambria,165.1,4,6
13.05,110,119,Stage 3 - San Jose › Mount Diablo,174.6,,
12.05,119,117,Stage 2 (ITT) - Folsom › Folsom,20.1,,
11.05,118,118,Stage 1 - Sacramento › Sacramento,193.1,,
30.04 » 04.05,,,Tour of the Gila (2.2),,,
,6,,Mountains classification,,,
,6,,General classification,,6,8
04.05,9,,Stage 5 - Silver City › Pinos Altos,161.9,,
03.05,24,,Stage 4 - Silver City › Silver City,69.1,,
02.05,11,5,Stage 3 (ITT) - Tyrone › Tyrone,26,,
01.05,28,2,Stage 2 - Fort Bayard › Fort Bayard,122.6,,
30.04,2,2,Stage 1 - Silvercity › Mongollon,148,2,5
04.03 » 09.03,,,Vuelta Mexico (2.2),,,
09.03,DNF,,Stage 6 - Mexico City › Mexico City,101.2,,
08.03,63,98,Stage 5 (ITT) - Chapultepec › Chapultepec,2.5,,
07.03,87,98,Stage 4 - Huamantla › Huamantla,110.4,,
06.03,78,104,Stage 3 - Cuautla › La Malincha,201.2,,
05.03,127,117,Stage 2 - Cuernavaca › Cuernavaca,144.8,,
04.03,22,24,Stage 1 - Mexico City › Cuernavaca,81.6,,
07.09,3,,Bucks County Classic (1.2),165.9,7,16
19.08 » 25.08,,,USA Pro Challenge (2.HC),,,
,1,,Mountains classification,,,
,42,,Points classification,,,
,79,,General classification,,,
25.08,74,,Stage 7 - Denver › Denver,117.4,,
24.08,76,84,Stage 6 - Loveland › Fort Collins,185.4,,
23.08,108,85,Stage 5 (ITT) - Vail › Vail,16.1,,
22.08,102,79,Stage 4 - Steamboat Springs › Beaver Creek,165.6,,
21.08,78,66,Stage 3 - Breckenridge › Steamboat Springs,170.8,,
20.08,91,69,Stage 2 - Aspen › Breckenridge,202.9,,
