date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.06,39,,National Championships Netherlands - Road Race (NC) ,182.5,,,2021
15.06,34,,Paris-Camembert (1.1) ,210,,,2021
06.06 » 13.06,,,Tour de Suisse (2.UWT) ,,,,2021
09.06,DNS,,Stage 4 - Sankt Urban › Gstaad ,171,,,2021
08.06,85,89,Stage 3 - Lachen › Pfaffnau ,182.1,,,2021
07.06,105,97,Stage 2 - Neuhausen am Rheinfall › Lachen ,178,,,2021
06.06,84,84,Stage 1 (ITT) - Frauenfeld › Frauenfeld ,10.9,,,2021
04.06,19,,Grosser Preis des Kantons Aargau (1.1) ,172,2,3,2021
16.05,117,,Trofeo Alcudia-Port d'Alcudia (1.1) ,169.8,,,2021
15.05,53,,Trofeo Andratx - Mirador des Colomer (Puerto Pollença) (1.1) ,161.3,,,2021
14.05,50,,Trofeo Serra de Tramuntana (Lloseta - Deia) (1.1) ,158.6,,,2021
13.05,9,,Trofeo Calvia (1.1) ,168.7,16,25,2021
05.05 » 09.05,,,Volta ao Algarve em Bicicleta (2.Pro) ,,,,2021
,27,,General classification ,,,5,2021
09.05,14,,Stage 5 - Albufeira › Malhão ,170.1,,,2021
08.05,26,40,Stage 4 (ITT) - Lagoa › Lagoa ,20.3,,,2021
07.05,81,43,Stage 3 - Faro › Tavira ,203.1,,,2021
06.05,44,43,Stage 2 - Sagres › Fóia ,182.8,,,2021
05.05,100,100,Stage 1 - Lagos › Portimão ,189.5,,,2021
25.04,106,,Liège-Bastogne-Liège (1.UWT) ,259.1,5,,2021
21.04,79,,La Flèche Wallonne (1.UWT)  168k,193.6,5,,2021
18.04,114,,Amstel Gold Race (1.UWT)  181k,218.6,5,,2021
14.04,29,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro) ,201.7,,5,2021
05.04 » 10.04,,,Itzulia Basque Country (2.UWT) ,,,,2021
,45,,General classification ,,5,8,2021
10.04,42,,Stage 6 - Ondarroa › Arrate (Eibar) ,111.9,,,2021
09.04,31,49,Stage 5 - Hondarribia › Ondarroa ,160.2,,,2021
08.04,59,52,Stage 4 - Vitoria-Gasteiz › Hondarribia ,189.2,,,2021
07.04,60,60,Stage 3 - Amurrio › Ermualde (Laudio) ,167.7,,,2021
06.04,74,72,Stage 2 - Zalla › Sestao ,154.8,,,2021
05.04,77,77,Stage 1 (ITT) - Bilbao › Bilbao ,13.89,,,2021
28.03,11,,Cholet - Pays de la Loire (1.1) ,201.8,12,15,2021
07.03,103,,GP Industria & Artigianato (1.Pro) ,193.4,,,2021
03.03,DNF,,Trofeo Laigueglia (1.Pro) ,202,,,2021
28.02,57,,Royal Bernard Drome Classic (1.Pro) ,179.2,,,2021
27.02,36,,Faun-Ardèche Classic (1.Pro) ,171.3,,3,2021
31.01,56,,Grand Prix Cycliste la Marseillaise (1.1) ,171.6,,,2021
20.06,39,,National Championships Netherlands - Road Race (NC),182.5,,,2021
15.06,34,,Paris-Camembert (1.1),210.0,,,2021
06.06 » 13.06,,,Tour de Suisse (2.UWT),,,,2021
09.06,DNS,,Stage 4 - Sankt Urban › Gstaad,171.0,,,2021
08.06,85,89,Stage 3 - Lachen › Pfaffnau,182.1,,,2021
07.06,105,97,Stage 2 - Neuhausen am Rheinfall › Lachen,178.0,,,2021
06.06,84,84,Stage 1 (ITT) - Frauenfeld › Frauenfeld,10.9,,,2021
04.06,19,,Grosser Preis des Kantons Aargau (1.1),172.0,2,3,2021
16.05,117,,Trofeo Alcudia-Port d'Alcudia (1.1),169.8,,,2021
15.05,53,,Trofeo Andratx - Mirador des Colomer (Puerto Pollença) (1.1),161.3,,,2021
14.05,50,,Trofeo Serra de Tramuntana (Lloseta - Deia) (1.1),158.6,,,2021
13.05,9,,Trofeo Calvia (1.1),168.7,16,25,2021
05.05 » 09.05,,,Volta ao Algarve em Bicicleta (2.Pro),,,,2021
,27,,General classification,,,5,2021
09.05,14,,Stage 5 - Albufeira › Malhão,170.1,,,2021
08.05,26,40,Stage 4 (ITT) - Lagoa › Lagoa,20.3,,,2021
07.05,81,43,Stage 3 - Faro › Tavira,203.1,,,2021
06.05,44,43,Stage 2 - Sagres › Fóia,182.8,,,2021
05.05,100,100,Stage 1 - Lagos › Portimão,189.5,,,2021
25.04,106,,Liège-Bastogne-Liège (1.UWT),259.1,5,,2021
21.04,79,,La Flèche Wallonne (1.UWT),193.6,5,,2021
18.04,114,,Amstel Gold Race (1.UWT),218.6,5,,2021
14.04,29,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),201.7,,5,2021
05.04 » 10.04,,,Itzulia Basque Country (2.UWT),,,,2021
,45,,General classification,,5,8,2021
