date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.06,40,,National Championships Italy - Road Race (NC) ,254.5,,,1993
23.05 » 13.06,,,Giro d'Italia () ,,,,1993
,74,,General classification ,,20,,1993
17.05,20,,Giro di Toscana () ,205.8,1,,1993
20.03,147,,Milano-Sanremo (CDM) ,297,5,,1993
08.03,13,,Giro di Campania () ,208,8,,1993
27.06,40.0,,National Championships Italy - Road Race (NC) ,254.5,,,1993
23.05 » 13.06,,,Giro d'Italia () ,,,,1993
,74.0,,General classification ,,20,,1993
17.05,20.0,,Giro di Toscana () ,205.8,1,,1993
20.03,147.0,,Milano-Sanremo (CDM) ,297.0,5,,1993
08.03,13.0,,Giro di Campania () ,208.0,8,,1993
