date,result ranking,general classification,race name,distance,PCS point,UCI point
09.05 » 13.05,,,Giro del Friuli Venezia Giulia (2.2),,,
13.05,DNF,,Stage 5 - San Martino al Tagliamento › Sacile,121.9,,
12.05,99,83,Stage 4 - Coseano › Ravascletto,146.6,,
11.05,122,73,Stage 3 - Clauiano di Trivigiano Udinese › Osoppo,149.1,,
10.05,3,25,Stage 2a - Trieste › Monfalcone,76.5,1,
09.05,39,39,Stage 1 - Cassacco › Gorizia,156.5,,
12.03,9,,Trofeo Franco Balestra - Memorial Sabbadini (1.2),171,,
05.03,12,,Trofeo ZSSDI (1.2),158,,
02.06 » 06.06,,,Giro del Friuli Venezia Giulia (2.6),,,
06.06,5,,Stage 5 - Gorizia › Gorizia,157,,
03.06,8,,Stage 2 - Corav › Corav,185,,
15.04 » 18.04,,,Giro d'Abruzzo (2.5),,,
,60,,General classification,,,
18.04,35,,Stage 4 - Montesilvano › Tollo,127,,
16.04,69,85,Stage 2 - Chieti Scalo › Cepagatti,177,,
15.02,51,,GP Istria 4 - Buje (1.5),139,,
14.02,61,,GP Istria 3 - Buje (1.5),168,,
