date,result ranking,general classification,race name,distance,PCS point,UCI point
25.06,10,,National Championships Eritrea - ITT (NC),36,,1
08.11 » 10.11,,,Tour of Quanzhou Bay (2.2),,,
08.11,DNF,,Stage 1 - Jinjiang › Quanzhou,101.4,,
30.06,DNF,,National Championships Eritrea - Road Race (NC),,,
28.06,14,,National Championships Eritrea - ITT (NC),,,
26.05 » 31.05,,,Tour of Taiyuan (2.2),,,
26.05,DNF,,Stage 1 - Taiyuan › Taiyuan,199,,
19.03,28,,African Continental Championships - Road Race (CC),166.4,,5
15.03,1,,African Continental Championships - TTT (CC),50,15,17.5
10.06,49,,Rund um Köln (1.1),207.7,,
30.05 » 03.06,,,Skoda-Tour de Luxembourg (2.HC),,,
02.06,DNF,,Stage 3 - Eschweiler › Differdange,163.8,,
01.06,69,68,Stage 2 - Junglinster › Schifflange,89.2,,
31.05,83,84,Stage 1 - Luxembourg › Hesperange,186.7,,
30.05,90,90,Prologue - Luxembourg › Luxembourg,2.3,,
06.04 » 15.04,,,Tour du Maroc (2.2),,,
,13,,Points classification,,,
,20,,General classification,,,
15.04,27,,Stage 10 - El Jadida › Casablanca,127.5,,
14.04,12,21,Stage 9 - Safi › El Jadida,151.5,,
13.04,37,21,Stage 8 - Agadir › Essaouira,170,,
12.04,66,24,Stage 7 - Taroudant › Agadir,110.3,,
11.04,59,24,Stage 6 - Tezenakht › Taroudant,187.7,,
10.04,55,24,Stage 5 - Ouarzazate › Zagora,142.8,,
09.04,25,26,Stage 4 - Marrakech › Ouarzazate,193,,
08.04,18,22,Stage 3 - Beni Mellal › Marrakech,193.5,,
07.04,87,20,Stage 2 - Fès › Khénifra,158.1,,
06.04,2,2,Stage 1 - Rabat › Meknès,135.2,2,3
18.02,DNF,,African Continental Championships - Road Race (CC),156,,
10.10 » 17.10,,,Tour of Taihu Lake (2.1),,,
15.10,DNS,,Stage 5 - Nantong › Haimen,148,,
14.10,130,124,Stage 4 - Wujiang › Wujiang,117.4,,
13.10,127,127,Stage 3 - Huzhou › Changxing,134.3,,
12.10,50,101,Stage 2 - Wujin › Wujin,117.1,,
11.10,7,103,Stage 1 - Wuxi › Wuxi,111.3,2,
10.10,106,106,Prologue - Wuxi › Wuxi,5.3,,
20.09,59,,World Championships - ITT (WC),31,10,
04.08 » 15.08,,,Volta a Portugal em Bicicleta Santander Totta (2.1),,,
,89,,General classification,,,
15.08,109,,Stage 10 (ITT) - Viseu › Viseu,20.1,,
14.08,87,89,Stage 9 - Lousã › Guarda,184.1,,
13.08,71,89,Stage 8 - Gondomar › Oliveira de Azeméis ,159.8,,
12.08,69,91,Stage 7 - Lousada › St. Tirso (Monte N. Sr.ª da Assunção)  ,161.9,,
10.08,110,91,Stage 6 - Braga › Fafe,182.7,,
09.08,49,91,Stage 5 - Boticas › Viana do Castelo ,179.6,,
08.08,85,96,Stage 4 - Macedo de Cavaleiros  › Mondim de Basto (Sr.ª da Graça) ,152.7,,
07.08,126,101,Stage 3 - F. C. Rodrigo  › Bragança,162.1,,
06.08,24,70,Stage 2 - Reguengos de Monsaraz  › Castelo Branco ,214.7,,
05.08,77,80,Stage 1 - Vila Franca de Xira  › Setúbal,203,,
04.08,135,135,Prologue - Lisboa › Lisboa,5.4,,
16.07 » 29.07,,,Tour of Qinghai Lake (2.HC),,,
,6,,Points classification,,,
,39,,General classification,,,3
29.07,3,,Stage 13 - Zhongwei › Zhongwei,111,12,5
28.07,22,40,Stage 12 - Yinchuan › Yinchuan,105,,
26.07,4,43,Stage 10 - Sonmingyan › Dingxi,148,7,
24.07,21,43,Stage 9 - Ping'an › Linxia,235,,
23.07,63,44,Stage 8 - Menyuan › Ping'an,224,,
22.07,8,43,Stage 7 - Qilian › Menyuan,169,1,
21.07,55,42,Stage 6 - Qilian › Dadongshu Hill Puerto,65,,
20.07,5,40,Stage 5 - Qinghai Lake › Gangcha,185,4,
19.07,41,41,Stage 4 - Guide › Qinghai Lake,159,,
18.07,49,49,Stage 3 - Duoba › Guide,133,,
17.07,7,20,Stage 2 - Xining › Xining,115,2,
16.07,27,32,Stage 1 - Ledu › Xining,153,,
05.07 » 09.07,,,Sibiu Cycling Tour (2.1),,,
,20,,Points classification,,,
,51,,General classification,,,
09.07,12,,Stage 4 - Sibiu › Sibiu,148.4,,
08.07,44,52,Stage 3 - Sibiu › Paltinis,211.5,,
07.07,72,71,Stage 2 - Sibiu › Bâlea Lac,160,,
06.07,8,48,Stage 1 - Sibiu › Sibiu,211.8,1,
05.07,65,65,Prologue - Sibiu › Sibiu,2.3,,
27.06 » 02.07,,,Tour de Hongrie (2.2),,,
,9,,Points classification,,,
,21,,General classification,,,
02.07,2,,Stage 5 - Jaszbereny › Budapest,112,2,3
01.07,6,22,Stage 4 - Karcag › Miskolc,177,,
30.06,5,53,Stage 3 - Paks › Cegled,178,,
29.06,71,58,Stage 2 - Velence › Siofok,138,,
27.06,43,43,Prologue - Szombathely › Szombathely,1,,
25.06,7,,National Championships Eritrea - Road Race (NC),152,,15
23.06,5,,National Championships Eritrea - ITT (NC),,,10
23.04,4,,Asmara Circuit (1.2),125.4,4,20
18.04 » 22.04,,,Tour Eritrea (2.2),,,
,11,,Mountains classification,,,
,1,,Points classification,,,
,9,,General classification,,2,3
22.04,12,,Stage 5 - Massawa › Asmara,107.79,,
21.04,2,2,Stage 4 - Mendefera › Massawa,169.94,2,3
20.04,1,2,Stage 3 - Dekemhare › Mendefera,85.06,5,7
19.04,6,2,Stage 2 - Hagaz › Asmara,117.16,,
18.04,1,1,Stage 1 - Dbarwa › Keren,124.75,5,7
16.04,2,,Massawa Circuit (1.2),121.2,10,30
15.04,DNF,,Fenkil Northern Red Sea Challenge (1.2),110.84,,
11.03 » 19.03,,,Tour du Cameroun (2.2),,,
,7,,Mountains classification,,,
,3,,Points classification,,,
,6,,General classification,,6,10
19.03,16,,Stage 8 - Ebolowa › Yaoundé,151.7,,
18.03,27,5,Stage 7 - Boumnyebel › Mbalmayo,119,,
16.03,7,4,Stage 6 - Douala › Kribi,157,,
15.03,1,4,Stage 5 - Douala › Douala,108,5,7
14.03,8,4,Stage 4 - Limbé › Kumba,98,,
13.03,1,3,Stage 3 - Mbanga › Limbé,101,5,7
12.03,3,4,Stage 2 - Bafoussam › Bafoussam,101,1,1
11.03,19,20,Stage 1 - Yaoundé › Bafia,121,,
27.02 » 05.03,,,La Tropicale Amissa Bongo (2.1),,,
,6,,Points classification,,,
,7,,General classification,,20,35
05.03,32,,Stage 7 - Owendo › Libreville,137.5,,
04.03,8,7,Stage 6 - Akanda (Cap Estérias) › Libreville,132.6,1,
03.03,3,7,Stage 5 - Lambaréné › Kango,140,7,3
01.03,10,25,Stage 3 - Mounana › Koulamoutou,157,,
28.02,32,25,Stage 2 - Leconi › Franceville,98,,
27.02,5,7,Stage 1 - Moanda › Akiéni,147,4,
19.02,62,,African Continental Championships - Road Race (CC),163.6,,
16.02,1,,African Continental Championships - ITT (CC),43,20,70
14.02,1,,African Continental Championships - TTT (CC),56,15,18
16.10,DNF,,World Championships - Road Race (WC),257.3,,
12.10,57,,World Championships - ITT (WC),40,10,
09.10,17,,World Championships - TTT (WC),40,,
03.10,DNF,,Sparkassen Münsterland Giro (1.HC),208,,
18.09 » 25.09,,,Tour of China II (2.1),,,
,12,,Points classification,,,
,28,,General classification,,,
25.09,9,,Stage 5 - Zhuhai › Zhuhai,82.9,,
24.09,6,27,Stage 4 - Qingyuan › Qingyuan,131.2,3,
22.09,74,28,Stage 3 - Liling › Liling,116,,
21.09,31,11,Stage 2 - Shaoshan › Shaoshan,127.8,,
19.09,8,16,Stage 1 - Yangxin › Yangxin,121.6,1,
18.09,31,31,Prologue - Hubei Olympic Center › Hubei Olympic Center,3.3,,
09.09 » 16.09,,,Tour of China I (2.1),,,
,61,,General classification,,,
16.09,46,,Stage 6 - Xinzhou › Xinzhou,99.6,,
14.09,9,61,Stage 5 - Leshan › Leshan,138.6,,
13.09,56,62,Stage 4 - Bazhong › Pingchang,157.5,,
12.09,103,71,Stage 3 - Banan › Banan,114.7,,
10.09,26,23,Stage 2 - Weichang › Fengning,157.8,,
09.09,10,14,Stage 1 - Tianjin › Tianjin,109.2,,
17.07 » 30.07,,,Tour of Qinghai Lake (2.HC),,,
,15,,Points classification,,,
,40,,General classification,,,3
30.07,7,,Stage 13 - Baiyin › Baiyin,95,2,
29.07,33,40,Stage 12 (ITT) - Zhongwei › Zhongwei,22.6,,
28.07,2,41,Stage 11 - Yinchuan › Yinchuan,123,18,10
27.07,8,42,Stage 10 - Tianshui › Pingliang,240,1,
26.07,7,43,Stage 9 - Tianshui › Tianshui,100,2,
24.07,14,44,Stage 8 - Ledu › Linxia,235,,
23.07,30,44,Stage 7 - Qilian › Qingshizui,150,,
22.07,46,49,Stage 6 - Xihai Town › Qilan,207,,
21.07,21,53,Stage 5 - Qinghai Lake › Gangcha,185,,
20.07,87,63,Stage 4 - Guide › Qinghai Lake,147,,
19.07,60,57,Stage 3 - Duoba › Guide,133,,
18.07,13,60,Stage 2 - Xining › Datong,165,,
17.07,122,124,Stage 1 - Xining › Xining,113,,
26.06,22,,National Championships Eritrea - Road Race (NC),166,,
24.06,2,,National Championships Eritrea - ITT (NC),36,7,25
24.04,5,,Asmara Circuit (1.2),129.6,2,15
19.04 » 23.04,,,Tour Eritrea (2.2),,,
,4,,Points classification,,,
,12,,General classification,,,
23.04,18,,Stage 5 - Massawa › Asmara,113,,
22.04,4,11,Stage 4 - Mendefera › Massawa,172,,
21.04,22,18,Stage 3 - Keren › Asmara,93,,
20.04,1,12,Stage 2 - Tesseney › Agordat,112,5,7
19.04,13,15,Stage 1 - Barentu › Tesseney,117,,
17.04,3,,Massawa Circuit (1.2),117.7,7,25
16.04,11,,Fenkil Northen Red Sea Challenge (1.2),113,,
26.02,21,,African Continental Championships - Road Race (CC),180,,
17.02 » 21.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.1),,,
17.02,DNF,,Stage 1 - Almonaster la Real  › Sevilla,165.2,,
31.01,143,,Trofeo Playa de Palma - Palma (1.1),161.5,,
30.01,DNF,,Trofeo Serra de Tramuntana (1.1),149.9,,
28.01,156,,Trofeo Felanitx - Ses Salines - Campos - Porreres (1.1),174,,
18.01 » 24.01,,,La Tropicale Amissa Bongo (2.1),,,
,8,,Points classification,,,
,21,,General classification,,,3
24.01,6,,Stage 7 - Cap Esterias › Libreville,130,3,
23.01,14,20,Stage 6 (ITT) - Akanda › Stade de l'Amitie,4,,
