date,result ranking,general classification,race name,distance,PCS point,UCI point
20.09,56,,Kampioenschap van Vlaanderen (1.1),192,,
15.09,DNF,,Grote Prijs Jef Scherens - Rondom Leuven (1.1),197,,
23.08,32,,Dutch Food Valley Classic (1.1),195,,
20.08,14,,GP Stad Zottegem (1.1),181.7,7,
04.08,81,,Antwerpse Havenpijl (1.2),183.5,,
23.06,DNF,,National Championships Great Britain - Road Race (NC),184.6,,
19.06,DNF,,Halle-Ingooigem (1.1),198.4,,
16.06,85,,Flèche Ardennaise (1.2),180,,
09.06,42,,Jurmala Grand Prix (1.1),179,,
08.06,112,,Riga - Jurmala Grand Prix (1.1),168,,
02.06,77,,Ronde van Zeeland Seaports (1.1),197.2,,
19.05 » 26.05,,,An Post Ras (2.2),,,
,60,,General classification,,,
26.05,86,,Stage 8 - Naas › Skerries,144.6,,
25.05,75,62,Stage 7 - Carlow › Naas,141.2,,
24.05,74,55,Stage 6 - Mitchelstown › Carlow,154.6,,
23.05,55,54,Stage 5 - Glengarriff › Mitchelstown,150,,
22.05,63,56,Stage 4 - Listowel › Glengarriff,153,,
21.05,28,48,Stage 3 - Nenagh › Listowel,141.4,,
20.05,45,59,Stage 2 - Longford › Nenagh,160.4,,
19.05,129,125,Stage 1 - Dunboyne › Longford,135.4,,
05.05,DNF,,Ringerike GP (1.2),173.9,,
04.05,DNF,,Hadeland GP (1.2),175.3,,
13.04,DNF,,Tour du Finistère (1.1),185.4,,
04.04,79,,Grand Prix Pino Cerami (1.1),205.8,,
31.03,54,,Val d'Ille Classic - Souvenir Julien Ditlecadet (1.1),190.5,,
29.03,DNF,,Route Adélie de Vitré (1.1),197.8,,
17.03,DNF,,Grand Prix de la Ville de Nogent-sur-Oise (1.2),166,,
10.03,57,,Omloop van het Waasland (1.2),192,,
17.08,DNF,,Dutch Food Valley Classic (1.1),197.4,,
08.07,37,,GP de Pont a Marcq - La Ronde Pévèloise (1.2),189.5,,
29.04,13,,Rutland - Melton International CiCLE Classic (1.2),183,,
