date,result ranking,general classification,race name,distance,PCS point,UCI point
28.10 » 05.11,,,Tour of Hainan (2.HC),,,
,23,,Points classification,,,
,75,,General classification,,,
05.11,75,,Stage 9 - Lingshui › Wanning Xinglong,153.8,,
04.11,81,76,Stage 8 - Wuzhishan › Lingshui,197.4,,
03.11,74,75,Stage 7 - Sanya › Wuzhishan,166.5,,
02.11,19,101,Stage 6 - Changjiang › Sanya,219.6,,
01.11,6,101,Stage 5 - Danzhou › Changjiang,167.5,3,
31.10,11,106,Stage 4 - Chengmai › Danzhou,192.3,,
30.10,49,107,Stage 3 - Haikou › Chengmai,155.6,,
29.10,109,108,Stage 2 - Wanning Xinglong › Haikou,230.2,,
28.10,39,40,Stage 1 - Wanning Xinglong › Wanning Xinglong,88.3,,
10.10 » 17.10,,,Tour of Taihu Lake (2.1),,,
,55,,Youth classification,,,
,108,,General classification,,,
17.10,79,,Stage 7 - Jurong Chishanhu › Maoshan,130.6,,
16.10,54,121,Stage 6 - Jiangyan › Jiangyan,106.4,,
15.10,99,124,Stage 5 - Nantong › Haimen,148,,
14.10,129,129,Stage 4 - Wujiang › Wujiang,117.4,,
13.10,40,51,Stage 3 - Huzhou › Changxing,134.3,,
12.10,109,53,Stage 2 - Wujin › Wujin,117.1,,
11.10,111,53,Stage 1 - Wuxi › Wuxi,111.3,,
10.10,55,55,Prologue - Wuxi › Wuxi,5.3,,
01.09 » 04.09,,,Tour of Alberta (2.1),,,
,67,,General classification,,,
04.09,59,,Stage 4 - Edmonton › Edmonton,124.1,,
03.09,63,70,Stage 3 - Edmonton › Edmonton,116,,
02.09,49,70,Stage 2 - Spruce Grove › Spruce Grove,139,,
01.09,69,69,Stage 1 - Jasper › Marmot Basin Ski Area,162,,
25.08 » 27.08,,,Tour of Xingtai (2.2),,,
,18,,General classification,,,
27.08,44,,Stage 3 - Qili › Qili,138,,
26.08,42,18,Stage 2 - Qili › Qili,150,,
25.08,18,18,Stage 1 - Qili › Qili,135,,
19.07 » 23.07,,,Cascade Cycling Classic (2.2),,,
,87,,General classification,,,
23.07,53,,Stage 5 - Bend › Bend,130.6,,
22.07,41,104,Stage 4,48.6,,
21.07,89,106,Stage 3 - Bend › Kapka Butte Snow Park,172.7,,
20.07,132,148,Stage 2 (ITT) - Bend › Bend,22.9,,
19.07,147,147,Stage 1 - Princeville ›  Dee Wright Observatory,172.9,,
25.06,DNF,,National Championships United States - Road Race (NC),179,,
14.06 » 18.06,,,Tour de Beauce (2.2),,,
18.06,DNF,,Stage 5 - Saint-Georges › Saint-Georges,122.4,,
17.06,8,42,Stage 4 - Québec › Québec,70,,
16.06,11,49,Stage 3b - Saint-Georges › Beauce Art,77,,
16.06,36,52,Stage 3a (ITT) - Saint-Georges › Saint-Georges,19.7,,
15.06,56,59,Stage 2 - Lac-Méganti › Lac-Méganti,170,,
14.06,73,74,Stage 1 - Saint-Georges › Saint-Georges,185,,
08.06 » 11.06,,,Grand Prix Cycliste de Saguenay (2.2),,,
,39,,General classification,,,
11.06,40,,Stage 4 - Chicoutimi › Chicoutimi,149.8,,
10.06,83,63,Stage 3 - Jonquière › Jonquière,74.5,,
09.06,78,44,Stage 2 - La Baie › La Baie,171,,
08.06,22,22,Stage 1 - La Baie › La Baie,166.1,,
01.09 » 03.09,,,Tour de Hokkaido (2.2),,,
,31,,General classification,,,
03.09,44,,Stage 4 - Kutchan  › Sapporo,219,,
02.09,58,15,Stage 3 - Kutchan  › Kutchan ,180,,
01.09,12,9,Stage 2 - Sapporo › Kutchan ,111,,
01.09,26,26,Prologue - Sapporo › Sapporo,1,,
05.06,DNF,,Philadelphia International Cycling Classic (1.1),178,,
30.05,DNF,,Winston Salem Cycling Classic (1.1),177,,
28.05,DNF,,National Championships United States - Road Race (NC),187,,
15.05 » 22.05,,,Amgen Tour of California (2.HC),,,
,29,,Points classification,,,
,89,,General classification,,,
22.05,56,,Stage 8 - Sacramento › Sacramento,138,,
21.05,62,93,Stage 7 - Santa Rosa › Santa Rosa,175.5,,
20.05,95,94,Stage 6 (ITT) - Folsom › Folsom,20.3,,
19.05,119,94,Stage 5 - Lodi › South Lake Tahoe,212,,
18.05,94,89,Stage 4 - Morro Bay › Monterey County,217,,
17.05,51,82,Stage 3 - Thousand Oaks › Santa Barbara County,167.5,,
16.05,108,98,Stage 2 - South Pasadena › Santa Clarita,148.5,,
15.05,116,3,Stage 1 - San Diego › San Diego,175,,
04.05 » 08.05,,,Silver City's Tour of the Gila (2.2),,,
08.05,DNF,,Stage 5 - Silver City › Pinos Altos,161.9,,
07.05,140,125,Stage 4 - Silver City › Silver City,69.5,,
06.05,72,124,Stage 3 (ITT) - Tyrone › Tyrone,26,,
05.05,133,131,Stage 2 - Fort Bayard › Fort Bayard,122.6,,
04.05,135,135,Stage 1 - Silver City › Mogollon,148,,
12.09,DNF,,The Reading 120 (1.2),190.4,,
12.07,15,,White Spot / Delta Road Race (1.2),157.8,,
23.04 » 26.04,,,Joe Martin Stage Race p/b Nature Valley (2.2),,,
,37,,General classification,,,
26.04,36,,Stage 4 - Fayetteville › Fayetteville,40,,
25.04,17,44,Stage 3 - Prairie Grove › Prairie Grove,174.4,,
24.04,13,51,Stage 2 - Fayetteville › Fayetteville,173.9,,
23.04,85,,Prologue - Fayetteville › Fayetteville,4.35,,
30.04 » 04.05,,,Tour of the Gila (2.2),,,
