date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.08,20,,Dwars door Gendringen (1.4) ,197.4,1,,2000
17.05,16,,De Kustpijl (1.2) ,170,,,2000
13.04,21,,Veenendaal - Veenendaal (1.2) ,212,,,2000
09.04,8,,Ronde van Noord-Holland (1.4) ,202,18,,2000
13.09 » 19.09,,,International Rheinland-Pfalz Rundfahrt (2.1) ,,,,1999
19.09,9,,Stage 7 - Landau  › Ludwigshafen  ,136,,,1999
16.09,10,,Stage 4 - Bad Neuenahr-Ahrweiler  › Bitburg  ,193,,,1999
15.09,3,,Stage 3 - Bad Marienberg  › Bad Neuenahr-Ahrweiler  ,167,7,,1999
11.09,42,,Paris-Bruxelles (1.1) ,260.4,,,1999
05.09,19,,Grote Prijs Jef Scherens - Leuven (1.4) ,192,2,,1999
31.08,20,,Schaal Sels (1.1) ,195,1,,1999
24.08 » 28.08,,,Ronde van Nederland (2.1) ,,,,1999
,62,,General classification ,,,,1999
28.08,62,,Stage 5 - Blerick › Landgraaf ,225,,,1999
27.08,37,,Stage 4 - Nijverdal › Venlo ,187.6,,,1999
26.08,94,,Stage 3a - Coevorden › Denekamp ,85.5,,,1999
26.08,72,,Stage 3b (ITT) - Nordhorn › Denekamp ,26.1,,,1999
25.08,29,,Stage 2 - Utrecht › Coevorden ,186.1,,,1999
24.08,27,,Stage 1 - Gouda › Tilburg ,178.3,,,1999
15.08,73,,HEW Cyclassics (CDM) ,253,5,,1999
28.05 » 04.06,,,Deutschland Tour (2.4) ,,,,1999
02.06,47,,Stage 6 - Koblenz  › Bensheim ,153,,,1999
01.06,54,,Stage 5 - Dortmund  › Koblenz  ,198,,,1999
31.05,125,,Stage 4 - Bielefeld › Dortmund  ,176,,,1999
30.05,112,,Stage 3 - Goslar › Bielefeld ,199,,,1999
29.05,121,,Stage 2 - Eisleben › Goslar ,214,,,1999
28.05,103,,Stage 1 - Berlin › Leipzig ,171,,,1999
22.05,25,,Internationale Delta Profronde (1.2) ,194,,,1999
22.04 » 29.04,,,Niedersachsen-Rundfahrt (2.1) ,,,,1999
29.04,3,,Stage 7 - Osteroden › Wolfsburg ,165,7,,1999
26.04,1,,Stage 4a - Soltau › Königslutter ,,20,,1999
04.04,3,,Ronde van Noord-Holland (1.5) ,192,7,,1999
30.03 » 01.04,,,KBC Driedaagse van De Panne-Koksijde () ,,,,1999
,143,,General classification ,,,,1999
01.04,128,,Stage 3B (ITT) - De Panne › De Panne ,14,,,1999
31.03,115,,Stage 2 - Zottegem › Koksijde ,240,,,1999
30.03,145,,Stage 1 - Mouscron › Zottegem ,173,,,1999
28.03,62,,De Brabantse Pijl - La Flèche Brabançonne (1.3) ,193,,,1999
06.03 » 07.03,,,Guldensporentweedaagse (2.4) ,,,,1999
06.03,10,,Stage 1 - Bellegem › Bellegem ,173,,,1999
04.03,25,,Le Samyn () ,160,,,1999
15.05 » 26.05,,,Olympia's Tour () ,,,,1998
,31,,General classification ,,,,1998
26.05,2,,Stage 11 - Almere › Amsterdam ,200.4,2,,1998
25.05,11,,Stage 10 - Zaltbommel › Almere ,177.3,,,1998
24.05,62,,Stage 9 (ITT) - Zaltbommel › Zaltbommel ,23.6,,,1998
23.05,14,,Stage 8 - Maasbracht › Zaltbommel ,144,,,1998
22.05,7,,Stage 7 - Born › Linne ,156.9,,,1998
21.05,9,,Stage 6 - Cranendonck › Buchten ,195.9,,,1998
19.05,2,,Stage 4 - Tilburg › Cranendonck ,134.2,2,,1998
18.05,1,,Stage 3 - Noordwijkerhout › Tilburg ,185.5,5,,1998
17.05,2,,Stage 2 - Rotterdam › Noordwijkerhout ,160.8,2,,1998
16.05,6,,Stage 1 - Ridderkerk › Ridderkerk ,158.3,,,1998
15.05,38,,Prologue - Ridderkerk › Ridderkerk ,5,,,1998
02.05,6,,Ronde van Overijssel (1.5) ,202,1,,1998
11.04,13,,Grand Prix Pino Cerami (1.3) ,199.6,8,,1998
23.03,DNF,,Dwars door België / À travers la Belgique () ,203,,,1998
04.03 » 08.03,,,Vuelta a Murcia () ,,,,1998
,116,,General classification ,,,,1998
14.10,9,,Nationale Sluitingprijs Putte-Kapellen () ,170,16,,1997
22.09 » 28.09,,,International Hessen Rundfahrt (2.1) ,,,,1997
25.09,3,,Stage 3 - Korbach › Giesen ,158.5,7,,1997
19.09,3,,Kampioenschap van Vlaanderen () ,161,40,,1997
13.09,25,,Paris-Bruxelles () ,255.7,1,,1997
02.09,7,,Schaal Sels (1.1) ,194,20,,1997
25.08 » 29.08,,,Ronde van Nederland () ,,,,1997
,38,,General classification ,,,,1997
29.08,36,,Stage 5 - Venray › Landgraaf ,236,,,1997
28.08,14,,Stage 4 - Almelo › Venray ,178,,,1997
27.08,10,,Stage 3a - Hoogeveen › Denekamp ,91,,,1997
27.08,80,,Stage 3b (ITT) - Nordhorn › Denekamp ,23,,,1997
26.08,7,,Stage 2 - Alkmaar  › Haarlem ,168,2,,1997
25.08,7,,Stage 1 - Tilburg › Alkmaar  ,199,2,,1997
01.07,19,,GP Rik Van Steenbergen (1.3) ,205,2,,1997
29.06,15,,National Championships Netherlands - Road Race (NC) ,230.1,,,1997
12.06 » 21.06,,,Circuito Montañes () ,,,,1997
20.06,1,,Stage 9 - Palencia › Torrelavega ,175,5,,1997
19.06,1,,Stage 8 - Potes › Palencia ,173,5,,1997
12.06,5,,Stage 1 - Santander › Muriedas ,160,,,1997
29.05,2,,De Kustpijl (1.2) ,170,10,,1997
16.05 » 25.05,,,Olympia's Tour () ,,,,1997
23.05,DNF,,Stage 7 - Tilburg › Zaltbommel ,176,,,1997
22.05,81,,Stage 6 - Budel › Tilburg ,176,,,1997
21.05,7,,Stage 5 - Born › Budel ,165,,,1997
20.05,18,,Stage 4 - Maasbracht › Buchten ,212.6,,,1997
19.05,1,,Stage 3a - Schijndel › Maasbracht ,103,5,,1997
18.05,1,,Stage 2 - Hoogeveen › Schijndel ,157,5,,1997
17.05,34,,Stage 1 - Hoogeveen › Hoogeveen ,164,,,1997
16.05,9,,Prologue - Hoogeveen › Hoogeveen ,5,,,1997
06.05 » 11.05,,,4 Jours de Dunkerque / Tour du Nord-pas-de-Calais () ,,,,1997
,60,,General classification ,,,,1997
08.05,3,,Stage 3 - Roost-Warendin › Roost-Warendin ,93.2,12,,1997
03.05,2,,Ronde van Overijssel (1.5) ,,10,,1997
09.04,122,,Gent - Wevelgem () ,208,5,,1997
01.04 » 03.04,,,KBC Driedaagse van De Panne-Koksijde (2.2) ,,,,1997
,91,,General classification ,,,,1997
29.03,97,,E3-Prijs Harelbeke (1.1) ,206,,,1997
01.03,99,,Omloop Het Volk (1.1) ,200,,,1997
23.02,9,,Trofeo Luis Puig (1.2) ,185.8,16,,1997
11.02,5,,Trofeo Cala: Cala Millor - Son Servera (1.1) ,,28,,1997
15.10,2,,Nationale Sluitingprijs Putte-Kapellen () ,180,55,,1996
01.10,9,,Paris-Bourges (1.3) ,203.3,16,,1996
25.09 » 29.09,,,GP Tell () ,,,,1996
25.09,2,,Stage 1 - Lenzerheide › Lenzerheide ,61,2,,1996
22.09,29,,Grand Prix d'Isbergues - Pas de Calais () ,210,,,1996
14.09,23,,Paris-Bruxelles () ,251,3,,1996
26.08 » 31.08,,,Ronde van Nederland () ,,,,1996
,60,,General classification ,,,,1996
26.08,10,,Stage 1 - Gouda › Haarlem  ,167,,,1996
07.08,15,,GP Rik Van Steenbergen (1.3) ,205,6,,1996
16.05 » 27.05,,,Olympia's Tour () ,,,,1996
21.05,2,,Stage 5 - Ossendrecht › Tilburg ,164,2,,1996
19.05,3,,Stage 3 - Ridderkerk › Schijndel ,180.3,1,,1996
07.05 » 12.05,,,4 Jours de Dunkerque / Tour du Nord-pas-de-Calais () ,,,,1996
,63,,General classification ,,,,1996
10.05,6,,Stage 5 - Boulogne-sur-Mer › Grande-Synthe ,175,3,,1996
09.04,2,,Ronde van Noord-Holland () ,,10,,1996
19.05 » 29.05,,,Olympia's Tour () ,,,,1995
25.05,2,,Stage 6 - Meerssen › Tilburg ,162.4,2,,1995
23.04,2,,Ronde van Noord-Holland () ,,10,,1995
09.04,3,,Ronde van Noord-Holland () ,,7,,1993
