date,result ranking,general classification,race name,distance,PCS point,UCI point,year
08.05 » 11.05,,,Tour de la Manche (2.6) ,,,,2003
10.05,9,,Stage 3 (ITT) - Gavray › Hambye ,12.6,,,2003
09.05,5,,Stage 2 - Les Pieux › Gavray ,166,,,2003
04.07,1,,National Championships Finland - Road Race (NC) ,190,15,,1999
30.06,1,,National Championships Finland - ITT (NC) ,46,15,,1999
23.06,8,,Omloop van de Westhoek () ,178,18,,1999
16.06 » 20.06,,,Tour of Sweden () ,,,,1999
,32,,General classification ,,,,1999
20.06,77,,Stage 5 - Halmstad › Göteborg ,168,,,1999
19.06,63,,Stage 4 - Jönköping › Halmstad ,168.1,,,1999
18.06,26,,Stage 3 - Sködve › Huskvarna ,126.5,,,1999
17.06,38,,Stage 2 - Eskilstuna › Sködve  ,258.7,,,1999
16.06,81,,Stage 1b - Uppsala › Eskilstuna ,136.4,,,1999
16.06,71,,Stage 1a (ITT) - Uppsala › Uppsala ,2.8,,,1999
30.05,25,,Tro-Bro Léon (1.5) ,177.6,,,1999
15.05 » 16.05,,,Tour de l'Oise (2.2) ,,,,1999
,45,,General classification ,,,,1999
16.05,33,,Stage 2a -  La Croix-Saint-Ouen  › Senlis ,98.5,,,1999
16.05,64,,Stage 2b -  Senlis  › Creil ,103.5,,,1999
15.05,54,,Stage 1 - Creil › Noyon ,193.5,,,1999
09.05,5,,Lincoln Grand Prix (1.5) ,164,2,,1999
14.03,52,,Grand Prix De La Ville De Lillers Souvenir Bruno Comini () ,176,,,1999
21.02,50,,Classic Haribo (1.3) ,197.5,,,1999
03.02 » 07.02,,,Etoile de Bessèges (2.4) ,,,,1999
,66,,General classification ,,,,1999
07.02,62,,Stage 5 - Molières-sur-Cèze › Bessèges ,141,,,1999
06.02,76,,Stage 4 - Bagnols-sur-Cèze › Bagnols-sur-Cèze ,139,,,1999
05.02,81,,Stage 3 - Alés › Les Fumades ,139,,,1999
04.02,70,,Stage 2 - Nîmes › Sète ,136,,,1999
03.02,61,,Stage 1 - La Ciotat › d'Azur) Aubagne ,122,,,1999
02.02,65,,Grand Prix d'Ouverture La Marseillaise (1.4) ,139.3,,,1999
04.07,3,,National Championships Finland - Road Race (NC) ,,7,,1998
30.06,1,,National Championships Finland - ITT (NC) ,,15,,1998
01.06,16,,GP de la Ville de Villers-Cotterêts (1.5) ,193.2,,,1998
15.03,28,,Grand Prix De La Ville De Lillers Souvenir Bruno Comini (1.5) ,182,,,1998
01.08 » 06.08,,,Tour de la Region Wallonne () ,,,,1997
,35,,General classification ,,,,1997
04.07,1,,National Championships Finland - Road Race (NC) ,,15,,1997
30.06,1,,National Championships Finland - ITT (NC) ,,15,,1997
06.05 » 11.05,,,4 Jours de Dunkerque / Tour du Nord-pas-de-Calais () ,,,,1997
,94,,General classification ,,,,1997
04.04,18,,Route Adélie de Vitré (1.4) ,200,3,,1997
01.04,42,,Paris-Camembert (1.2) ,205,,,1997
23.03,81,,Cholet-Pays de Loire () ,202,,,1997
13.02 » 24.02,,,Le Tour de Langkawi () ,,,,1997
,45,,General classification ,,,,1997
00.09 » 00.09,,,Circuit Franco-Belge () ,,,,1997
,28,,General classification ,,,,1997
14.09,112,,Paris-Bruxelles () ,251,,,1996
22.05,30,,Binche-Tournai-Binche (1.1) ,213,,,1996
07.05 » 12.05,,,4 Jours de Dunkerque / Tour du Nord-pas-de-Calais () ,,,,1996
,33,,General classification ,,,,1996
28.04,10,,Tour de Vendée () ,203.3,14,,1996
24.03,20,,Cholet-Pays de Loire () ,207,1,,1996
07.02 » 11.02,,,Etoile de Bessèges () ,,,,1996
,94,,General classification ,,,,1996
17.09,16,,Grand Prix d'Isbergues - Pas de Calais () ,199,5,,1995
14.09,38,,Paris-Bruxelles () ,252,,,1995
10.09,47,,GP de Fourmies / La Voix du Nord () ,210,,,1995
02.08,23,,GP Rik Van Steenbergen () ,205,,,1995
25.05,15,,Grand Prix de Wallonie () ,201.6,6,,1995
20.05,5,,A Travers le Morbihan () ,205.5,28,,1995
02.05 » 07.05,,,4 Jours de Dunkerque / Tour du Nord-pas-de-Calais () ,,,,1995
,47,,General classification ,,,,1995
18.04,39,,Paris-Camembert () ,200,,,1995
19.03,19,,Cholet-Pays de Loire () ,207,2,,1995
01.03,30,,Memorial Samyn () ,169,,,1995
01.01,1,,Circuito de Getxo () ,,75,,1995
25.08,37,,World Championships - ITT (WC) ,42,10,,1994
30.06,1,,National Championships Finland - ITT (NC) ,,15,,1994
00.09 » 00.09,,,Circuit Franco-Belge () ,,,,1993
,3,,General classification ,,50,,1993
27.05,3,,Vlaamse Havenpijl (1.2) ,,7,,1991
