date,result ranking,general classification,race name,distance,PCS point,UCI point
17.04,20,,Paris-Roubaix (1.UWT),257.2,20,30
10.04,45,,Amstel Gold Race (1.UWT),254.1,5,10
03.04,19,,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5,22,30
30.03,28,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7,7,12
27.03,51,,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8,5,5
25.03,12,,E3 Saxo Bank Classic (1.UWT),203.9,34,48
06.03 » 13.03,,,Paris - Nice (2.UWT),,,
12.03,DNF,,Stage 7 - Nice › Col de Turini,155.2,,
11.03,107,84,Stage 6 - Courthézon › Aubagne,213.6,,
10.03,102,73,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut,188.8,,
09.03,80,52,Stage 4 (ITT) - Domérat › Montluçon,13.4,,
08.03,81,54,Stage 3 - Vierzon › Dun-le-Palestel,190.8,,
07.03,56,63,Stage 2 - Auffargis › Orléans,159.2,,
06.03,104,104,Stage 1 - Mantes-la-Ville › Mantes-la-Ville,159.8,,
27.02,14,,Kuurne - Bruxelles - Kuurne (1.Pro),195.1,14,15
26.02,24,,Omloop Het Nieuwsblad ME (1.UWT),204.2,11,12
05.10,26,,Binche -  Chimay - Binche / Mémorial Frank Vandenbroucke (1.1),198.6,,
03.10,85,,Paris-Roubaix (1.UWT),257.7,5,
26.09,22,,World Championships - Road Race (WC),268.3,26,20
19.09,8,,Eschborn-Frankfurt (1.UWT),187.4,50,75
30.08 » 05.09,,,Benelux Tour (2.UWT),,,
,15,,Points classification,,,
,10,,General classification,,70,68
05.09,16,,Stage 7 - Namur › Geraardsbergen,177.9,,
04.09,12,9,Stage 6 - Ottignies-Louvain-la-Neuve › Houffalize,207.6,,
03.09,7,12,Stage 5 - Riemst › Bilzen,192,4,
02.09,27,17,Stage 4 - Aalter › Ardooie,166.1,,
01.09,11,17,Stage 3 - Essen › Hoogerheide,168.3,,
31.08,44,18,Stage 2 (ITT) - Lelystad › Lelystad,11.1,,
30.08,9,4,Stage 1 - Surhuisterveen › Dokkum,169.6,2,
19.08 » 22.08,,,Tour of Norway (2.Pro),,,
,1,,Points classification,,,
,3,,General classification,,90,125
22.08,4,,Stage 4 - Hinna Park › Stavanger,156.5,7,
21.08,3,3,Stage 3 - Jørpeland › Jørpeland,159.9,12,5
20.08,3,3,Stage 2 - Sirdal (Tjørhomfjellet) › Sirdal (Fidjeland),185.3,12,5
19.08,7,7,Stage 1 - Egersund › Sokndal (Kroheia),150.8,2,
10.08 » 14.08,,,PostNord Danmark Rundt - Tour of Denmark (2.Pro),,,
,4,,Points classification,,,
,3,,General classification,,90,125
14.08,6,,Stage 5 (ITT) - Frederiksberg › Frederiksberg,10.8,3,
13.08,15,5,Stage 4 - Holbæk › Kalundborg,188.4,,
12.08,4,5,Stage 3 - Tønder › Vejle,219.2,7,
11.08,17,12,Stage 2 - Ribe › Sønderborg,189.6,,
10.08,6,6,Stage 1 - Struer › Esbjerg,175.3,3,
26.06 » 18.07,,,Tour de France (2.UWT),,,
,80,,Points classification,,,
,76,,General classification,,25,
18.07,22,,Stage 21 - Chatou › Paris Champs-Élysées,108.4,,
17.07,116,77,Stage 20 (ITT) - Libourne › Saint-Émilion,30.8,,
16.07,4,76,Stage 19 - Mourenx › Libourne,207,40,15
15.07,64,94,Stage 18 - Pau › Luz Ardiden,129.7,,
14.07,86,94,Stage 17 - Muret › Saint-Lary-Soulan (Col du Portet),178.4,,
13.07,40,95,Stage 16 - El Pas de la Casa  › Saint-Gaudens,169,,
11.07,64,99,Stage 15 - Céret › Andorra la Vella,191.3,,
10.07,89,105,Stage 14 - Carcassonne › Quillan,183.7,,
09.07,50,106,Stage 13 - Nîmes › Carcassonne,219.9,,
08.07,23,110,Stage 12 - Saint-Paul-Trois-Châteaux › Nîmes,159.4,,
07.07,58,108,Stage 11 - Sorgues › Malaucène,198.9,,
06.07,59,122,Stage 10 - Albertville › Valence,190.7,,
04.07,101,127,Stage 9 - Cluses › Tignes,144.9,,
03.07,117,132,Stage 8 - Oyonnax › Le Grand-Bornand,150.8,,
02.07,74,124,Stage 7 - Vierzon › Le Creusot,249.1,,
01.07,15,159,Stage 6 - Tours › Châteauroux,160.4,1,
30.06,75,160,Stage 5 (ITT) - Changé › Laval Espace Mayenne,27.2,,
29.06,62,161,Stage 4 - Redon › Fougères,150.4,,
28.06,91,164,Stage 3 - Lorient › Pontivy,182.9,,
27.06,129,171,Stage 2 - Perros-Guirec › Mûr-de-Bretagne Guerlédan,183.5,,
26.06,178,178,Stage 1 - Brest › Landerneau,197.8,,
20.06,4,,National Championships Netherlands - Road Race (NC),182.5,4,50
06.06 » 13.06,,,Tour de Suisse (2.UWT),,,
,35,,General classification,,5,10
