date,result ranking,general classification,race name,distance,PCS point,UCI point
28.09,DNS,,Ruota d'Oro - GP Festa del Perdono (1.2U),173,,
24.09,105,,World Championships U23 - Road Race (WC),161.1,,
11.09,DNF,,European Continental Championships U23 - Road Race (CC),133.6,,
16.08,DNF,,GP Capodarco Comunita Di Capodarco (1.2U),180,,
16.07 » 18.07,,,Tour of Kosovo (2.2),,,
,2,,Youth classification,,,
,7,,Points classification,,,
,7,,General classification,,4,5
18.07,4,,Stage 3 - Hani i Elezit › Morinë,155,,
17.07,17,13,Stage 2 - Morinë › Hani i Elezit,144,,
16.07,10,10,Stage 1 - Lebanë › Therande,141.5,,
20.06,1,,National Championships Albania U23 - Road Race (NC),,,50
19.06,1,,National Championships Albania U23 - ITT (NC),,,25
25.04,DNF,,Gran Premio della Liberazione (1.2U),138,,
24.09,DNF,,Ruota d'Oro - GP Festa del Perdono (1.2U),167.7,,
