date,result ranking,general classification,race name,distance,PCS point,UCI point,year
01.04,11,,La Route Adélie de Vitré (1.1),176.7,12,15,2022
27.03,71,,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire (1.1),202,,,2022
23.03,48,,Minerva Classic Brugge-De Panne (1.UWT),207.9,5,5,2022
19.03,149,,Milano-Sanremo (1.UWT),293,5,,2022
16.03,27,,Danilith Nokere Koerse (1.Pro),189.8,,5,2022
20.02 » 26.02,,,UAE Tour (2.UWT),,,,2022
,51,,General classification,,5,2,2022
26.02,57,,Stage 7 - Al Ain › Jebel Hafeet,148,,,2022
25.02,103,57,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai ,180,,,2022
24.02,87,57,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island ,182,,,2022
23.02,60,57,Stage 4 - Fujairah Fort › Jebel Jais,181,,,2022
22.02,23,20,Stage 3 (ITT) - Ajman › Ajman,9,,,2022
21.02,67,91,Stage 2 - Hudayriyat Island › Abu Dhabi Breakwater,176,,,2022
20.02,113,113,Stage 1 - Madinat Zayed › Madinat Zayed,184,,,2022
10.02 » 15.02,,,Tour of Oman (2.Pro),,,,2022
,35,,General classification,,,3,2022
15.02,46,,Stage 6 - Al Mouj Muscat › Matrah Corniche,132.5,,,2022
14.02,35,38,Stage 5 - Samail › Jabal Al Akhdhar,150.5,,,2022
13.02,52,46,Stage 4 - Al Sifah › Muscat,119.5,,,2022
12.02,28,30,Stage 3 - Sultan Qaboos University › Qurayyat ,180,,,2022
11.02,37,66,Stage 2 - Naseem Park › Suhar Corniche,167.5,,,2022
10.02,79,80,Stage 1 - Al Rustaq Fort › Muscat,138,,,2022
02.10,4,,Classic Loire Atlantique (1.1),182.8,32,60,2021
01.10,DNF,,La Route Adélie de Vitré (1.1),197.8,,,2021
29.09,50,,Eurométropole Tour (1.Pro),177.6,,,2021
26.09,DNF,,World Championships - Road Race (WC),268.3,,,2021
21.09,39,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,,3,2021
