date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.06 » 22.06,,,Giro Ciclistico d'Italia (2.2) ,,,,2002
18.06,9,,Stage 4 - Civitanova Marche › Civitanova Marche ,168,,,2002
05.06 » 12.06,,,Österreich-Rundfahrt () ,,,,2000
09.06,94,,Stage 4 - St. Johann im Pongau › Kitzbüheler Horn ,144,,,2000
08.06,77,,Stage 3 - Großraming › St. Johann/Alpendorf ,208,,,2000
20.05 » 28.05,,,Olympia's Tour () ,,,,2000
24.05,DNF,,Stage 4 - Buchten › Buchten ,185,,,2000
23.05,77,,Stage 3 - Rockanje › Ossendrecht ,163,,,2000
22.05,35,,Stage 2 - Tilburg › Rockanje ,189,,,2000
21.05,104,,Stage 1 - Tilburg › Tilburg ,150,,,2000
20.05,77,,Prologue - Tilburg › Tilburg ,6,,,2000
12.04 » 16.04,,,Vuelta a Aragon () ,,,,2000
14.04,81,,Stage 3 - Benasque › Sabiñánigo ,159,,,2000
13.04,139,,Stage 2 - Fraga › Cerler ,170,,,2000
12.04,139,,Stage 1 - Bronchales › Alcañiz ,174.5,,,2000
06.02,22,,G.P. Costa degli Etruschi (NE) ,171,,,2000
07.09,37,,GP Industria & Commercio di Prato (1.1) ,199,,,1999
10.06 » 14.06,,,Tour de Luxembourg (2.2) ,,,,1999
,70,,General classification ,,,,1999
14.06,37,,Stage 5 - Diekirch › Diekirch ,190,,,1999
13.06,58,,Stage 4 (ITT) - Leudelange › Bettembourg ,7.6,,,1999
12.06,83,,Stage 3 - Dudelange › Beckerich ,127,,,1999
11.06,101,,Stage 2 - Wormeldange › Bertrange ,195,,,1999
10.06,114,,Stage 1 - Luxembourg › Dippach ,178,,,1999
22.03 » 26.03,,,Setmana-Catalana (2.1) ,,,,1999
23.03,117,,Stage 2 - Lloret de Mar  › Empuriabrava ,169,,,1999
22.03,165,,Stage 1 - Lloret de Mar  › Lloret de Mar  ,172,,,1999
20.03,DNF,,Milano-Sanremo (CDM) ,294,,,1999
06.07,9,,National Championships Italy U23 - Road Race (NC) ,154,,,1998
17.06 » 27.06,,,Giro Ciclistico d'Italia (2.2) ,,,,1998
21.06,4,,Stage 5a - Arcevia › Porto San Giorgio ,123,,,1998
18.05 » 26.05,,,Tour of Japan (2.4) ,,,,1996
26.05,5,,Stage 7 - Tokyo › Tokyo ,154.22,4,,1996
30.07,8,,World Championships MJ - Road Race (WC) ,123,50,,1995
24.06,1,,National Championships Italy MJ - Road Race (NC) ,,50,,1994
22.06,1,,National Championships Italy MJ - ITT (NC) ,,20,,1994
