date,result ranking,general classification,race name,distance,PCS point,UCI point
09.11,13,,Tour de Okinawa (1.2),208.5,,
19.10,31,,Japan Cup Cycle Road Race (1.HC),151.3,,
28.09,94,,World Championships - Road Race (WC),254.8,15,
13.09 » 15.09,,,Tour de Hokkaido (2.2),,,
,4,,Mountains classification,,,
,23,,Points classification,,,
,26,,General classification,,,
15.09,10,,Stage 3 - Obihiro › Otofune,166,,
14.09,51,41,Stage 2 - Makubetsu › Makubetsu,178.9,,
13.09,35,35,Stage 1 - Chitose › Shintoku,194,,
02.08 » 10.08,,,Tour Cycliste International de la Guadeloupe (2.2),,,
,5,,Mountains classification,,,
,21,,General classification,,,
10.08,29,,Stage 9 - Lamentin › Basse Terre,121,,
09.08,67,21,Stage 8a - Bouillante › Lamentin,95,,
09.08,47,22,Stage 8b (ITT) - Lamentin › Lamentin,17,,
08.08,52,21,Stage 7 - Capesterre › Bouillante,145,,
07.08,31,21,Stage 6 - Abymes › Abymes,160,,
06.08,32,20,Stage 5 - Vieux Habitants › Capesterre,149,,
05.08,27,23,Stage 4 - Morne à l'Eau › Vieux Habitants,142.6,,
04.08,52,27,Stage 3 - Basse Terre › Morne à l'Eau,152,,
03.08,46,,Stage 2a - Deshaies › Baillif,105.5,,
03.08,17,25,Stage 2b (ITT) - Basse Terre › Saint Claude,6.3,,
02.08,33,34,Stage 1 - Pointe à Pitre › Deshaies,162.5,,
10.07 » 13.07,,,GP Internacional Torres Vedras - Trofeu Joaquim Agostinho (2.2),,,
,79,,General classification,,,
13.07,85,,Stage 3 - São Martinho do Porto › Carvoeira,164,,
12.07,81,80,Stage 2 - Atouguia de Beleia › Torres Vedras,147.5,,
11.07,81,89,Stage 1 - Manique do Intendente › Sobral de Monte Agraço,170.3,,
10.07,94,94,Prologue - Torres Vedras › Torres Vedras,7.5,,
29.06,4,,National Championships Japan - Road Race (NC),221.2,4,12
29.05 » 01.06,,,Tour de Kumano (2.2),,,
,26,,General classification,,,
01.06,26,,Stage 3 - Taiji Hanto › Taiji Hanto,100,,
31.05,32,28,Stage 2 - Kumano Sangaru › Kumano Sangaru,109.7,,
30.05,29,33,Stage 1 - Shingu › Shingu,111.3,,
29.05,71,71,Prologue - Shingu › Shingu,0.7,,
18.05 » 25.05,,,Tour of Japan (2.1),,,
24.05,DNF,,Stage 5 - Izu › Izu,146.4,,
23.05,15,9,Stage 4 - Fuji › Fuji,11.4,,
21.05,7,8,Stage 3 - Minamishinshu › Minamishinshu,148,2,
20.05,41,45,Stage 2 - Mino › Mino,160.7,,
18.05,55,55,Prologue - Sakai › Sakai,2.65,,
04.05,102,,Grand Prix de la Somme « Conseil Général 80» (1.1),192.1,,
27.04,DNF,,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux (1.1),200,,
01.04 » 06.04,,,The Maha Chackri Sirindhorn's Cup 'Tour of Thailand' (2.2),,,
,32,,Points classification,,,
,11,,General classification,,,
06.04,42,,Stage 6 - Phayao › Chiang Rai,140,,
05.04,65,11,Stage 5 - Phayao Lake › Phayao Lake,134,,
04.04,33,10,Stage 4 - Lampang › Phayao,162,,
03.04,18,8,Stage 3 - Sukhothai › Lampang,194,,
02.04,24,7,Stage 2 - Uthai Thani › Sukhothai,234,,
01.04,7,7,Stage 1 - Suphan Buri › Uthai Thani,192,,
28.03,3,,Circuit International d\'Alger (1.2),106.2,7,16
24.03 » 27.03,,,Tour International de Constantine (2.2),,,
,8,,Mountains classification,,,
,5,,Points classification,,,
,3,,General classification,,14,16
27.03,2,,Stage 4 - Constantine   › Oum El Bouaghi ,137.3,2,5
26.03,5,4,Stage 3 - Mila  › Constantine,101.5,,
25.03,7,9,Stage 2 - Constantine  › Constantine ,124.2,,
24.03,25,25,Stage 1 - Constantine  › Sétif,132,,
22.03,DNF,,Criterium International de Setif (1.2),96,,
19.03 » 21.03,,,Tour International de Setif (2.2),,,
,8,,Points classification,,,
,8,,General classification,,3,3
21.03,4,,Stage 3 - Sétif  › Sétif ,110.5,,
20.03,6,9,Stage 2 - Sétif  › Sétif ,117.6,,
19.03,15,15,Stage 1 - Sétif  › Bougaa,129,,
16.03,88,,Paris-Troyes (1.2),174.2,,
09.03,44,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2),169.2,,
10.11,DNF,,Tour de Okinawa (1.2),210,,
02.11 » 05.11,,,Banyuwangi Tour de Ijen (2.2),,,
,48,,General classification,,,
05.11,38,,Stage 4 - Kalibaru › Ijen Crater,166.3,,
04.11,42,57,Stage 3 - Jajag › Genteng,113.7,,
03.11,67,59,Stage 2 - Bajulmati › Pulau Merah,190,,
02.11,4,5,Stage 1 - Banyuwangi › Banyuwangi,128.7,,
20.10,DNF,,Japan Cup Cycle Road Race (1.HC),151.3,,
14.09 » 16.09,,,Tour de Hokkaido (2.2),,,
15.09,DNF,,Stage 2 - Kutchan › Kutchan,129.2,,
14.09,6,5,Stage 1 - Kutchan › Kutchan,176.8,,
20.08,DNF,,Grand Prix des Marbriers (1.2),160,,
03.08 » 11.08,,,Tour Cycliste International de la Guadeloupe (2.2),,,
,3,,General classification,,14,16
11.08,5,,Stage 9 - Abymes › Basse-Terre,126,,
10.08,31,2,Stage 8a - Capesterre › Les Abymes,100.6,,
10.08,12,3,Stage 8b (ITT) - Les Abymes › Les Abymes,20,,
09.08,38,1,Stage 7 - Vieux-Habitants  › Capesterre,149,,
08.08,4,1,Stage 6 - Petit-Bourg  › Vieux-Habitants,143,,
07.08,15,2,Stage 5 - Sainte-Rose › Petit-Bourg,145.4,,
06.08,4,2,Stage 4 - Gosier  › Sainte-Rose,139.1,,
05.08,23,2,Stage 3 - Gourbeyre  › Gosier,145.7,,
04.08,2,3,Stage 2a - Saint-François › Baillif,100,2,5
04.08,4,2,Stage 2b (ITT) - Trois-Rivières › Gourbeyre,7.5,,
03.08,28,22,Stage 1 - Pointe-à-Pitre › Saint-François,163,,
23.07 » 28.07,,,Tour Alsace (2.2),,,
,1,,Mountains classification,,,
,12,,Points classification,,,
,13,,General classification,,,
28.07,24,,Stage 6 - Ribeauvillé › Cernay,139.6,,
27.07,19,14,Stage 5 - Sélestat › Le Markstein,176.4,,
26.07,56,5,Stage 4 - Dannemarie › Colmar,164.6,,
25.07,2,5,Stage 3 - Strasbourg › Bischoffsheim,153.8,2,5
24.07,77,89,Stage 2 - Mulhouse › Huningue,157.6,,
23.07,86,86,Stage 1 - Ungersheim › Sausheim,118.8,,
23.06,2,,National Championships Japan - Road Race (NC),180,10,
19.05 » 26.05,,,Tour of Japan (2.1),,,
,12,,Mountains classification,,,
,10,,Points classification,,,
,39,,General classification,,,
26.05,7,,Stage 6 - Tokyo › Tokyo,112.7,2,
25.05,43,39,Stage 5 - Izu › Izu,146.4,,
24.05,69,32,Stage 4 - Mount Fuji › Mount Fuji,11.4,,
22.05,26,26,Stage 3 - Minami-Shinshu › Minami-Shinshu,148,,
21.05,28,38,Stage 2 - Mino › Mino,160.7,,
19.05,63,63,Prologue - Sakai › Sakai,2.65,,
09.05 » 12.05,,,Rhône-Alpes Isère Tour (2.2),,,
09.05,DNF,,Stage 1 - Les Eparres-Bourgoin › Jallieu,150.7,,
01.05 » 05.05,,,Tour de Azerbaijan (2.2),,,
,22,,Mountains classification,,,
,6,,Points classification,,,
,18,,General classification,,,
05.05,11,,Stage 5 - Baku › Baku,144,,
04.05,8,19,Stage 4 - Qubala › Pirqulu,116,,
03.05,6,23,Stage 3 - Qabala › Qubala,165,,
02.05,23,23,Stage 2 - Baku › Ismayilli,183,,
01.05,14,14,Stage 1 - Baku › Baku,157,,
21.04,31,,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux (1.1),195,,
10.04 » 14.04,,,Tour du Loir et Cher E Provost (2.2),,,
12.04,DNF,,Stage 3 - Vendôme › Billy,212,,
11.04,43,145,Stage 2 - Villebarou › Saint-Gervais-la-Forêt,189,,
10.04,153,153,Stage 1 - Blois › Nouan-le-Fuzelier,173,,
31.03,104,,Val d'Ille Classic - Souvenir Julien Ditlecadet (1.1),190.5,,
16.03,DNF,,Classic Loire Atlantique (1.1),184.8,,
10.03,91,,Paris-Troyes (1.2),174.2,,
03.03,DNF,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2),174.2,,
03.02 » 08.02,,,Tour of Qatar (2.HC),,,
07.02,DNS,,Stage 5 - Al Zubara Fort › Madinat Al Shamal,154,,
06.02,132,108,Stage 4 - Camel Race Track › Al Khor Corniche,160,,
05.02,18,110,Stage 3 - Al Wakra › Mesaieed,143,,
04.02,18,122,Stage 2 (TTT) - Al Rufaa Street › Al Rufaa Street,14,,
03.02,127,127,Stage 1 - Katara Cultural Village › Dukhan Beach,145,,
25.11,15,,Tour de Okinawa (1.2),210,,
