date,result ranking,general classification,race name,distance,PCS point,UCI point
24.04,39,,Banja Luka-Belgrade II (1.2),132,,
23.04,56,,Banja Luka - Belgrade I (1.2),194.1,,
23.04,22,,Banja Luka - Belgrade I (1.2),194,,
25.04,23,,Banja Luka - Belgrade (1.2),140,,
25.03 » 28.03,,,The Paths of King Nikola (2.2),,,
25.03,89,,Stage 1 - Cetinje › Herrceg Novi,177,,
20.09,11,,Tour of Vojvodina II (1.2),130,,
18.09,DNF,,Tour of Vojvodina I (1.2),165,,
02.08,DNF,,GP P-Nivo (1.2),176.1,,
01.08,DNF,,GP Betonexpressz 2000 - GP Békéscsaba (1.2),183,,
10.07 » 12.07,,,GP Cycliste de Gemenc (2.2),,,
11.07,DNF,,Stage 1 - Kaposvár › Szekszárd,171,,
10.07,128,,Prologue - Szekszárd › Szekszárd,2,,
29.06,DNF,,National Championships Serbia - Road Race (NC),150,,
16.06 » 22.06,,,Tour de Serbie (2.2),,,
19.06,DNF,,Stage 4 - Zlatibor › Kopaonik,183,,
18.06,117,,Stage 3 - Pale › Zlatibor,175,,
17.06,122,,Stage 2 - Banja Koviljaca › Pale,165,,
16.06,26,,Stage 1 - Beograd › Loznica,133.5,,
17.05,34,,Classic Beograd - Cacak (1.2),,,
20.04,28,,Beograd - Banja Luka I (1.2),131.5,,
03.08,3,,GP Betonexpressz 2000 - GP Békéscsaba (1.2),154,7,
07.07,6,,National Championships Serbia - Road Race (NC),141,1,
18.06 » 24.06,,,Tour de Serbie (2.2),,,
21.06,DNF,,Stage 4 - Zlatibor › Vrnjacka Banja,149,,
20.06,67,86,Stage 3 - Divcibare › Zlatibor,131.5,,
19.06,91,87,Stage 2 - Novi Sad › Divcibare,182,,
18.06,38,25,Stage 1b - Kikinda › Nova Sad,110.5,,
18.06,15,15,Stage 1a - Beograd › Kikinda,125,,
27.05,DNF,,GP Palma / Velka cena Palma (1.2),171,,
26.05,DNF,,GP Kooperativa (1.2),161.7,,
19.05,21,,Beograd - Cacak (1.2),144,,
21.03 » 24.03,,,Paths of King Nikola (2.2),,,
,39,,General classification,,,
24.03,38,,Stage 4 - Nikšić › Cetinje,181,,
23.03,43,,Stage 3 - Bar › Nikšić,139,,
22.03,87,,Stage 2 - Ulcinj › Bar,196,,
21.03,84,,Stage 1 - Herceg Novi › Ulcinj,152,,
29.06 » 01.07,,,GP Cycliste de Gemenc (2.2),,,
,39,,General classification,,,
01.07,28,,Stage 2 - Szekszárd › Szekszárd,95,,
30.06,51,51,Stage 1 - Szekszárd › Szekszárd,165,,
29.06,63,63,Prologue - Szekszárd › Szekszárd,2,,
13.06 » 18.06,,,Tour de Serbie (2.2),,,
,71,,General classification,,,
18.06,54,,Stage 6 - Nils › Topola,170.5,,
17.06,90,,Stage 5 - Vranje › Niska Banja,192.1,,
16.06,19,,Stage 4 - Kopaonik › Vranjska Banja,178.5,,
15.06,67,,Stage 3 - Gornji Milanovac › Kopaonik,144,,
14.06,72,,Stage 2 - Novi Sad › Gornji Milanovac,210,,
13.06,78,,Stage 1 - Beograd › Novi Sad,118,,
05.04 » 09.04,,,International Tour of Hellas (2.2),,,
,80,,General classification,,,
09.04,70,,Stage 5 - Olympia › Sparti,168,,
08.04,21,73,Stage 4 - Antirrion Patras › Olympia,129,,
07.04,15,75,Stage 3 - Arta › Messonlonghi,158,,
06.04,98,76,Stage 2 - Kalabaka › Ioannina,122,,
05.04,16,,Stage 1 - Volos › Kalabaka,149,,
14.06 » 19.06,,,Tour de Serbie (2.2),,,
,83,,General classification,,,
19.06,87,,Stage 6 - Cacak › Valijevo,172.4,,
18.06,10,,Stage 5 - Nis › Cacak,187,,
17.06,53,,Stage 4 - Vranje › Nis,119.1,,
16.06,44,,Stage 3 - Kopaonik › Vranja,176,,
15.06,85,,Stage 2 - Jagodina › Kopaonik,142.7,,
14.06,99,,Stage 1a - Beograd › Pozarevac,82.1,,
14.06,35,,Stage 1b - Pozarevac › Jagodina,91.8,,
15.06 » 20.06,,,Tour de Serbie (2.5),,,
,74,,General classification,,,
20.06,74,,Stage 6 - Kladovo › Pozarevac,177,,
19.06,54,79,Stage 5 - Paracin › Kladovo,198,,
18.06,79,86,Stage 4 - Nis › Paracin,140,,
17.06,89,92,Stage 3 - Cacak › Nis,194,,
16.06,67,87,Stage 2 - Banja Koviljaca › Cacak,185,,
15.06,91,91,Stage 1 - Beograd  › Banja Koviljaca,157,,
17.03 » 21.03,,,Paths of King Nikola (2.5),,,
18.03,OTL,,Stage 2 - Kotor › Tivat,169,,
17.03,98,98,Stage 1 - Tivat › Tivat,171,,
25.03,22,,Sacrifice Cup (1.5),118,,
22.04 » 28.04,,,International Tour of Hellas (2.6),,,
,30,,Youth classification,,,
,58,,General classification,,,
28.04,59,,Stage 6 - Nikaia  › Nikaia ,110,,
27.04,58,,Stage 5 - Itea › Nikaia ,170.4,,
26.04,48,,Stage 4 - Lamía › Itea,161.5,,
25.04,40,,Stage 3 - Volos › Lamia,136.3,,
24.04,15,,Stage 2 - Lárissa › Volos,162,,
23.04,57,,Stage 1 - Thessaloniki › Litóchoro,151,,
22.04,78,,Prologue - Thessaloniki › Thessaloniki,3.6,,
