date,result ranking,general classification,race name,distance,PCS point,UCI point
16.06,7,,National Championships Syria - ITT (NC),,,
15.06,6,,National Championships Syria - Road Race (NC),,1,8
30.09,19,,Golan II (1.2),150,,
28.09,21,,Golan I (1.2),120,,
08.09 » 11.09,,,Tour of Marmara (2.2),,,
,31,,General classification,,,
11.09,35,,Stage 4 - Adapazari › Kocaeli,110,,
10.09,31,,Stage 3 - Akçakoca  › Adapazari,120,,
09.09,36,,Stage 2 - Kefken › Akçakoca ,126,,
08.09,19,,Stage 1 - Sile › Kefken,102,,
26.08 » 29.08,,,Tour of Victory (2.2),,,
,27,,General classification,,,
29.08,38,,Stage 3 - Polatli › Eskisehir,166,,
28.08,32,,Stage 2 - Cankiri › Akyurt,96,,
27.08,32,,Stage 1 - Inebolu › Kastamonu,87,,
26.08,41,,Prologue - Inebolu › Inebolu,3,,
31.07 » 02.08,,,Trabzon Trophy (2.1),,,
,8,,General classification,,18,
02.08,9,,Stage 3 - Trabzon  › Trabzon ,,,
01.08,28,,Stage 2 - Trabzon  › Trabzon ,,,
31.07,7,,Stage 1 (ITT) - Trabzon  › Trabzon ,,2,
09.08,DNF,,World Championships MJ - Road Race (WC),135,,
08.08,63,,World Championships MJ - ITT (WC),25.8,,
