date,result ranking,general classification,race name,distance,PCS point,UCI point
03.09,DNF,,Kernen Omloop Echt-Susteren (1.2),191,,
06.05,DNF,,Ronde van Overijssel (1.2),202,,
29.04,DNF,,ZODC Zuidenveld Tour (1.2),200,,
14.08,DNF,,KOGA Slag om Norg (1.2),204,,
30.04,55,,ZODC Zuidenveld Tour (1.2),200,,
05.03,32,,Craft Ster van Zwolle (1.2),177,,
29.08 » 30.08,,,Ronde van Midden-Nederland (2.2),,,
,115,,General classification,,,
30.08,47,,Stage 2 - Utrecht › Utrecht,203.6,,
29.08,19,154,Stage 1 (TTT) - Leersum › Leersum,28.65,,
12.05 » 17.05,,,Olympia's 3M Tour (2.2),,,
17.05,DNF,,Stage 6 - Rijswijk › Rijswijk,163.8,,
16.05,95,84,Stage 5b - Delft › Delft,139.8,,
16.05,93,84,Stage 5a (ITT) - Delft › Delft,8.7,,
15.05,94,85,Stage 4 - Diegem › Diegem,150.1,,
14.05,88,82,Stage 3 - Reuver › Reuver,148.5,,
13.05,37,67,Stage 2 - Ulft › Gendringen,174.7,,
12.05,53,57,Stage 1b - Assen › Ureterp,146.7,,
12.05,11,62,Stage 1a (TTT) - Assen › Assen,21.8,,
02.05,DNF,,Ronde van Overijssel (1.2),200.7,,
25.04,63,,Zuid Oost Drenthe Classic I (1.2),196.5,,
03.05,121,,Ronde van Overijssel (1.2),202.5,,
26.04,64,,Zuid Oost Drenthe Classic I (1.2),180,,
01.09,35,,Rabo Ronde van Midden-Nederland (1.2),197.9,,
25.07 » 28.07,,,Dookoła Mazowsza (2.2),,,
,57,,General classification,,,
28.07,65,57,Stage 4 (ITT) - Szydlowiec › Szydlowiec,19.6,,
27.07,69,51,Stage 3 - Kozienice › Kozienice,177,,
26.07,13,29,Stage 2 - Nowy Dwór Mazowiecki  › Nowy Dwór Mazowiecki ,187,,
25.07,113,112,Stage 1 - Modlin › Modlin,180,,
26.07 » 30.07,,,Dookoła Mazowsza (2.2),,,
,8,,General classification,,3,
30.07,68,,Stage 5 - Szydlowiec › Szydlowiec,166,,
29.07,82,,Stage 4 - Zvolen › Szydlowiec,170,,
28.07,18,,Stage 3 - Kozienice › Kozienice,179,,
27.07,7,,Stage 2 - Nowy Dwor Mazowiecki › Nowy Dwor Mazowiecki,197,,
26.07,12,,Prologue - Warsaw › Sluzovice,2.5,,
26.06,DNF,,National Championships Netherlands U23 - Road Race (NC),161.7,,
01.05,60,,Ronde van Overijssel (1.2),201.7,,
