date,result ranking,general classification,race name,distance,PCS point,UCI point
11.09 » 15.09,,,Turul Romaniei (2.1),,,
,50,,General classification,,,
15.09,80,,Stage 5 - Bucharest › Bucharest,111.5,,
14.09,53,50,Stage 4 - Ploiești › Cabana Piatra Arsă (,119.2,,
13.09,44,28,Stage 3 - Buzău › Târgoviște,124.7,,
12.09,21,23,Stage 2 - Brașov › Focșani ,176.3,,
11.09,19,23,Stage 1 - Cluj-Napoca › Sighișoara,168,,
15.08 » 18.08,,,Czech Cycling Tour (2.1),,,
18.08,DNF,,Stage 4 - Mohelnice › Šternberk,178,,
17.08,38,79,Stage 3 - Olomouc › Uničov,175.3,,
16.08,83,91,Stage 2 - Olomouc › Frýdek-Místek,186.6,,
15.08,18,91,Stage 1 (TTT) - Ostrava › Ostrava,16,,
14.07 » 27.07,,,Tour of Qinghai Lake (2.HC),,,
,20,,Mountains classification,,,
,65,,General classification,,,
27.07,28,,Stage 13 - Yinchuan › Yinchuan,117,,
26.07,122,65,Stage 12 - Zhongwei › Zhongwei,111,,
25.07,119,65,Stage 11 - Minqin › Tengger Desert,153,,
24.07,66,66,Stage 10 - Jingchang › Wuwei,116,,
22.07,106,66,Stage 9 - Menyuan › Minie,160,,
21.07,104,67,Stage 8 - Xihaizhen › Qingshizui,224,,
20.07,111,65,Stage 7 (ITT) - Haiyan › Haiyan,42,,
19.07,106,64,Stage 6 - Chaka › Bird Island,136,,
18.07,140,59,Stage 5 - Gongha › Chaka,173,,
17.07,67,57,Stage 4 - Guide › Longyangxia,100,,
16.07,49,60,Stage 3 - Duoba › Guide,140,,
15.07,55,81,Stage 2 - Xining › Xining,119,,
14.07,15,81,Stage 1 (TTT) - Hehuang New District › Xining,40,,
13.06 » 16.06,,,Oberösterreichrundfahrt (2.2),,,
,20,,General classification,,,
16.06,22,,Stage 3 - Traun  › Ternber,147.2,,
15.06,14,25,Stage 2 - Eferding › Oberneukirchen,142.9,,
14.06,23,46,Stage 1 - Wels › Reichersberg,184.8,,
13.06,59,59,Prologue - Linz › Linz,0.7,,
10.06,DNF,,Ronde van Limburg (1.1),201.1,,
24.05 » 26.05,,,A Travers les Hauts de France (2.2),,,
,73,,General classification,,,
26.05,75,,Stage 3 - Petite-Forêt  › Pecquencourt,188.5,,
25.05,62,60,Stage 2 - Seclin › Bonningues-lès-Calais,197.8,,
24.05,68,71,Stage 1 - Gavrelle › Épinoy,125.7,,
05.05,14,,Skive-Løbet (1.2),188,,
04.05,27,,GP Himmerland Rundt (1.2),200,,
12.04 » 14.04,,,GP Beiras e Serra da Estrela (2.1),,,
,51,,General classification,,,
14.04,53,,Stage 3 - Celorico da Beira › Colvilhã,177.4,,
13.04,17,47,Stage 2 - Manteigas › Fundão,197.5,,
12.04,78,78,Stage 1 - Vilar Formoso › Pinhel,155.6,,
06.04,DNF,,Volta Limburg Classic (1.1),192.1,,
09.10,DNF,,Tre Valli Varesine (1.HC),212,,
06.10,76,,Giro dell'Emilia (1.HC),207.4,,
23.09,19,,World Championships - TTT (WC),62.4,,5
19.09,70,,Giro della Toscana - Memorial Alfredo Martini (1.1),198.9,,
16.09,112,,Coppa Bernocchi - GP BPM (1.1),194.7,,
15.09,DNF,,Coppa Agostoni - Giro delle Brianze (1.1),199.9,,
09.09,DNF,,Tour du Doubs (1.1),188.7,,
14.08 » 19.08,,,Tour de Hongrie (2.1),,,
,12,,General classification,,10,10
19.08,36,,Stage 5 - Kazincbarcika › Kazincbarcika,128,,
18.08,10,12,Stage 4 - Karcag › Miskolc,182,,
17.08,52,25,Stage 3 - Cegléd › Hajdúszoboszló,206,,
16.08,65,24,Stage 2 - Velence › Székesfehérvár,190,,
15.08,12,25,Stage 1 - Balatonalmádi › Keszthely,154,,
14.08,106,106,Prologue - Siófok › Siófok,3.5,,
09.08 » 12.08,,,Czech Cycling Tour (2.1),,,
,16,,Points classification,,,
,12,,General classification,,10,10
12.08,33,,Stage 4 - Olomouc › Dolany,147.9,,
11.08,7,11,Stage 3 - Mohelnice › Šternberk,178,2,
10.08,23,26,Stage 2 - Olomouc › Frýdek-Místek,197.7,,
09.08,8,38,Stage 1 (TTT) - Uničov › Uničov,18.2,,
05.08,19,,La Poly Normande (1.1),168.9,2,3
29.07,66,,GP Kranj (1.2),157.3,,
05.07 » 08.07,,,Sibiu Cycling Tour (2.1),,,
,9,,Mountains classification,,,
,17,,Points classification,,,
,10,,General classification,,14,20
08.07,29,,Stage 3b - Sibiu › Sibiu,152.8,,
08.07,8,10,Stage 3a (TTT) - Cisnadie › Sibiu,9.6,,
06.07,9,10,Stage 1 - Sibiu › Balea Lac,91.2,,
05.07,89,89,Prologue - Sibiu › Sibiu,2.2,,
03.07,2,,Trofeo Citta di Brescia (1.2),121.8,10,30
30.06,49,,National Championships Italy - Road Race (NC),233.8,,
20.06 » 24.06,,,Adriatica Ionica Race/Following the Serenissima Routes (2.1),,,
,33,,General classification,,,
24.06,48,,Stage 5 - Grado › Trieste,124.6,,
23.06,44,33,Stage 4 -  San Vito di Cadore › Grado,229.2,,
22.06,35,34,Stage 3 - Mussolente › Passo Giau,158.3,,
21.06,11,19,Stage 2 - Lido di Jesolo › Maser ,152.5,,
20.06,8,42,Stage 1 (TTT) - Musile di Piave › Lido di Jesolo,23.3,,
13.06 » 17.06,,,Tour of Slovenia (2.1),,,
,47,,General classification,,,
17.06,81,,Stage 5 (ITT) - Trebnje › Novo Mesto,21.5,,
16.06,80,48,Stage 4 - Ljubljana › Kamnik,155.2,,
15.06,31,36,Stage 3 - Slovenske Konjice › Celje,175.7,,
14.06,84,96,Stage 2 - Maribor › Rogaska Slatina,152.7,,
13.06,92,95,Stage 1 - Lendava › Murska Sobota,159,,
07.06,30,,GP du canton d'Argovie (1.HC),185.9,,5
03.06,15,,Gran Premio Citta di Lugano (1.1),185.6,6,5
19.05 » 23.05,,,Tour of Albania (2.2),,,
,1,,Mountains classification,,,
,2,,Points classification,,,
,2,,General classification,,18,30
23.05,24,,Stage 5 - Sarandë › Fier,159.9,,
22.05,1,2,Stage 4 - Vlorë › Sarandë,122.8,5,7
21.05,4,5,Stage 3 - Elbasan › Vlorë,171.9,,
20.05,7,5,Stage 2 - Korçë › Elbasan,189.9,,
19.05,6,6,Stage 1 - Tirana › Korçë,165.3,,
03.05 » 06.05,,,Rhône-Alpes Isère Tour (2.2),,,
,50,,General classification,,,
06.05,74,,Stage 4 - Bourgoin-Jallieu ›  Charvieu-Chavagneux ,171.7,,
