date,result ranking,general classification,race name,distance,PCS point,UCI point,year
24.05 » 26.05,,,A Travers les Hauts de France (2.2) ,,,,2019
,66,,General classification ,,,,2019
26.05,69,,Stage 3 - Petite-Forêt  › Pecquencourt ,188.5,,,2019
25.05,72,73,Stage 2 - Seclin › Bonningues-lès-Calais ,197.8,,,2019
24.05,97,99,Stage 1 - Gavrelle › Épinoy ,125.7,,,2019
12.05,77,,Grand Prix de la Somme « Conseil Départemental 80» (1.2) ,168.6,,,2019
21.08,DNF,,Grand Prix des Marbriers (1.2) ,160,,,2018
22.07,106,,Grand Prix de la ville de Pérenchies (1.2) ,163.2,,,2018
18.05 » 20.05,,,A Travers Les Hauts De France - Trophee Paris-Arras Tour (2.2) ,,,,2018
,53,,General classification ,,,,2018
20.05,79,,Stage 3 - Hermies › Arras ,192.6,,,2018
19.05,45,53,Stage 2 - Lens › Liévin ,189.6,,,2018
18.05,95,96,Stage 1 - Le Cateau-Cambrésis › Villers-lès-Cagnicourt ,121.7,,,2018
04.03,DNF,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2) ,186,,,2018
24.09,34,,Paris-Chauny (1.2) ,174.9,,,2017
22.08,11,,Grand Prix des Marbriers (1.2) ,160,,,2017
23.07,97,,Grand Prix de la ville de Pérenchies (1.2) ,163.2,,,2017
05.03,DNF,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2) ,181.3,,,2017
09.10,175,,Paris - Tours Elite (1.HC) ,252.5,,,2016
02.10,DNF,,Tour de l'Eurométropole (1.1) ,195.6,,,2016
25.09,103,,Gooikse Pijl (1.2) ,198.1,,,2016
18.09,DNF,,Grand Prix d'Isbergues - Pas de Calais (1.1) ,204.3,,,2016
11.09,70,,Tour du Doubs - Conseil Général (1.1) ,182.8,,,2016
04.09,143,,GP de Fourmies / La Voix du Nord (1.HC) ,205,,,2016
23.08 » 26.08,,,Tour du Poitou Charentes (2.1) ,,,,2016
,110,,General classification ,,,,2016
26.08,114,,Stage 5 - Thouars › Poitiers ,171.3,,,2016
25.08,120,117,Stage 4 (ITT) - Saint-Sauveur › Châtellerault ,23,,,2016
25.08,102,114,Stage 3 - Thuré › Châtellerault ,95.2,,,2016
24.08,118,119,Stage 2 - La Rochelle › Niort ,179.8,,,2016
23.08,113,113,Stage 1 -  Angoulême › Puilboreau ,189.6,,,2016
16.08 » 19.08,,,Tour du Limousin (2.1) ,,,,2016
16.08,DNF,,Stage 1 - Limoges  › Oradour-sur-Glane ,165.4,,,2016
05.08,DNF,,Dwars door het Hageland - Aarschot (1.1) ,194.1,,,2016
24.07,DNF,,Grand Prix de la ville de Pérenchies (1.2) ,163.2,,,2016
20.07,119,,Grand Prix Cerami (1.1) ,211,,,2016
