date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.06,6,,National Championships Czech Republic - ITT (NC) ,40,,,2008
11.06 » 14.06,,,Tour de Slovénie (2.1) ,,,,2008
13.06,DNF,,Stage 3 - Škofja Loka › Krvavec ,153,,,2008
12.06,107,114,Stage 2 - Piran › Koper ,179,,,2008
11.06,114,115,Stage 1 - Ljubljana › Postojna ,161,,,2008
08.05 » 11.05,,,Szlakiem Grodów Piastowskich (2.1) ,,,,2008
08.05,DNF,,Stage 1 - Legnica › Swidnica ,185.6,,,2008
14.04 » 20.04,,,Presidential Cycling Tour of Turkey (2.1) ,,,,2008
,65,,General classification ,,,,2008
20.04,78,,Stage 7 - Antalya › Antalya ,136.6,,,2008
19.04,87,,Stage 6 - Finike › Antalya ,115.8,,,2008
18.04,70,,Stage 5 - Kalkan › Finike ,100.1,,,2008
17.04,75,,Stage 4 - Marmaris › Ölüdeniz ,177.7,,,2008
16.04,89,,Stage 3 - Bodrum › Marmaris ,166.8,,,2008
15.04,89,,Stage 2 - Kuşadası › Bodrum ,165.9,,,2008
14.04,98,,Stage 1 - İzmir  › Kuşadası ,132.7,,,2008
23.09,9,,Duo Normand (1.2) ,54.3,,,2007
15.09,DNF,,Praha - Karlovy Vary - Praha (1.2) ,262,,,2007
29.08 » 02.09,,,Okolo Slovenska (2.2) ,,,,2007
29.08,DNF,,Stage 1 - Banská Bystrica › Banská Bystrica ,142.4,,,2007
15.10,21,,Chrono des Nations (1.1) ,47.8,,,2006
21.09,32,,World Championships - ITT (WC) ,50.8,10,,2006
22.08 » 25.08,,,Tour du Poitou Charentes et de la Vienne (2.1) ,,,,2006
23.08,DNF,,Stage 2 - Cognac › Partenay ,191,,,2006
22.08,103,,Stage 1 - Saintes › Cognac ,187.1,,,2006
20.08,112,,Châteauroux Classic de l'Indre Trophée Fenioux (1.1) ,200,,,2006
24.07 » 28.07,,,Tour de la Région Wallonne (2.HC) ,,,,2006
,65,,General classification ,,,,2006
28.07,64,,Stage 5 - Amay › Wanze ,156,,,2006
27.07,69,,Stage 4 - St. Hubert › Beaufays ,191.7,,,2006
26.07,66,,Stage 3 - Mettet › St. Hubert ,205.4,,,2006
25.07,69,,Stage 2 - Nivelles › Perwez ,187.7,,,2006
24.07,80,,Stage 1 - Flobecq › Marcinelle ,159.4,,,2006
22.06,1,,National Championships Czech Republic - ITT (NC) ,50,15,,2006
08.06 » 11.06,,,Tour de Slovénie (2.1) ,,,,2006
,24,,General classification ,,,,2006
11.06,91,,Stage 4 - Grosuplje › Novo mesto ,156,,,2006
10.06,25,22,Stage 3 - Nova Gorica › Vršic ,158,,,2006
09.06,17,17,Stage 2 - Medvode › Nova Gorica ,183,,,2006
08.06,89,89,Stage 1 - Lendava › Brežice ,214,,,2006
13.05 » 20.05,,,Course de la Paix (2.HC) ,,,,2006
,79,,General classification ,,,,2006
20.05,101,,Stage 8 - Wernigerode › Hannover ,132,,,2006
19.05,98,86,Stage 7 - Delitzsch › Thale ,192,,,2006
18.05,89,86,Stage 6 - Dippoldiswalde › Meerane ,172,,,2006
17.05,108,88,Stage 5 - Bilina › Altenberg ,140.8,,,2006
16.05,94,80,Stage 4 - Karlovy Vary › Teplice ,176.5,,,2006
15.05,77,77,Stage 3 - Beroun › Karlovy Vary ,167.1,,,2006
14.05,89,93,Stage 2 - Schrems › Ceske Budejovice ,177.3,,,2006
13.05,107,107,Stage 1 - Linz › Schrems ,139,,,2006
21.03 » 25.03,,,Settimana Internazionale Coppi e Bartali (2.1) ,,,,2006
22.03,DNF,,Stage 2 - Cervia › Faenza ,199.3,,,2006
21.03,197,196,Stage 1a - Riccione  › Riccione ,95.2,,,2006
26.02,DNF,,GP Lugano (1.1) ,174.3,,,2006
16.10,1,,Chrono des Nations (1.1) ,48.15,75,,2005
25.09,DNF,,World Championships - Road Race (WC) ,273,,,2005
22.09,12,,World Championships - ITT (WC) ,44.1,30,,2005
31.08 » 04.09,,,International Hessen Rundfahrt (2.1) ,,,,2005
01.09,DNF,,Stage 2 - Klingenberg am Main › Fulda ,206,,,2005
31.08,71,,Stage 1 - Frankfurt › Klingenberg am Main ,192,,,2005
10.08 » 14.08,,,Rothaus Regio-Tour International (2.1) ,,,,2005
14.08,DNF,,Stage 5 - Bahlingen › Vogtsburg ,168.8,,,2005
13.08,38,,Stage 4 (ITT) - Waldkirch › Kandel ,12.3,,,2005
12.08,105,,Stage 3 - Herbolzheim › Lahr ,184.1,,,2005
11.08,89,,Stage 2 - Wehr › Müllheim ,170.8,,,2005
10.08,80,,Stage 1 - Heitersheim › Guebwiller  ,192.3,,,2005
23.06,1,,National Championships Czech Republic - ITT (NC) ,,15,,2005
09.06 » 12.06,,,Tour de Slovénie (2.1) ,,,,2005
,33,,General classification ,,,,2005
12.06,70,,Stage 4 - Šentjernej › Novo mesto ,147,,,2005
11.06,36,33,Stage 3 - Tarvisio/Trbiž › Vršic ,133,,,2005
10.06,19,21,Stage 2 - Medvode › Villach/Beljak ,171,,,2005
09.06,36,37,Stage 1 - Ptuj › Ptuj ,160,,,2005
02.05 » 05.05,,,International UNIQA Classic (2.1) ,,,,2005
,5,,General classification ,,28,,2005
05.05,27,,Stage 3 - Gresten › Linz ,157,,,2005
04.05,24,,Stage 2 - Traismauer › Gresten ,168,,,2005
03.05,52,,Stage 1 - Sankt Pölten › Traismauer ,185,,,2005
02.05,1,,Prologue - Sankt Pölten › Sankt Pölten ,8,20,,2005
25.04 » 29.04,,,Tour of Belgium (2.1) ,,,,2005
,39,,General classification ,,,,2005
29.04,55,,Stage 5 - Visé › Putte ,175,,,2005
28.04,56,41,Stage 4 - Londerzeel › Visé ,232,,,2005
27.04,94,,Stage 3a - Knokke-Heist › Buggenhout ,108,,,2005
27.04,1,56,Stage 3b (ITT) - Buggenhout › Londerzeel ,15,20,,2005
26.04,96,91,Stage 2 - Oostende › Knokke-Heist ,165,,,2005
25.04,78,79,Stage 1 - Oostende › Oostende ,155,,,2005
07.04 » 10.04,,,Settimana Ciclista Lombarda (2.2) ,,,,2005
,74,,General classification ,,,,2005
10.04,101,,Stage 4 - Trescore Balneario › Selvino ,145.7,,,2005
09.04,49,52,Stage 3 - Roncadelle › Roncadelle ,162,,,2005
07.04,59,59,Stage 2 (ITT) - Casazza › Colle Gallo ,6.6,,,2005
07.04,123,123,Stage 1 - Brignano Gera d'Adda › Brignano Gera d'Adda ,99.4,,,2005
22.03 » 26.03,,,Settimana Ciclistica Internazionale Coppi-Bartali (2.1) ,,,,2005
25.03,109,,Stage 4 - Fiorano Modenese › Serramazzoni ,152.4,,,2005
24.03,132,,Stage 3 - Finale Emilia › Finale Emilia ,184.1,,,2005
23.03,93,,Stage 2 - Riccione › Faenza ,206.9,,,2005
22.03,146,,Stage 1a - Riccione › Riccione ,95.2,,,2005
02.03 » 06.03,,,Vuelta a Murcia (2.1) ,,,,2005
,104,,General classification ,,,,2005
06.03,105,,Stage 5 - Murcia › Murcia ,150.6,,,2005
05.03,107,114,Stage 4 - Águilas › Collado Bermejo ,152.3,,,2005
04.03,116,112,Stage 3 - Mula › Fortuna ,155.8,,,2005
03.03,71,95,Stage 2 (ITT) - Alhama de Murcia › Alhama de Murcia ITT ,22,,,2005
02.03,122,123,Stage 1 - Murcia › Molina de Segura ,162,,,2005
27.02,DNF,,Clasica de Almeria (1.1) ,173.4,,,2005
23.10,3,,Firenze - Pistoia (1.3) ,33,40,,2004
16.10,13,,Giro di Lombardia (CDM) ,246,38,,2004
14.10,113,,Giro del Piemonte (1.1) ,186,,,2004
13.10,10,,Milano-Torino (1.1) ,199,22,,2004
03.10,55,,World Championships - Road Race (WC) ,265.5,15,,2004
18.09,47,,Giro del Lazio (1.HC) ,196,5,,2004
06.09 » 12.09,,,Tour de Pologne (2.2) ,,,,2004
,20,,Mountains classification ,,,,2004
,6,,Points classification ,,,,2004
,1,,General classification ,,100,100,2004
12.09,1,,Stage 8 (ITT) - Jelenia Góra › Karpacz ,19,20,20,2004
12.09,3,4,Stage 7 - Jelenia Góra › Karpacz ,61,7,8,2004
11.09,9,7,Stage 6 - Piechowice › Karpacz ,166.5,,,2004
10.09,22,13,Stage 5 - Olesnica › Szklarska Poreba ,229,,,2004
09.09,52,26,Stage 4 - Inowroclaw › Kalisz ,183,,,2004
08.09,29,28,Stage 3 - Ostróda › Bydgoszcz ,204,,,2004
07.09,69,67,Stage 2 - Tczew › Olsztyn ,227.5,,,2004
06.09,58,64,Stage 1 - Gdansk › Gdynia ,174.5,,,2004
14.08,65,,Olympic Games Road Race (Olympics) ,224.4,15,,2004
02.08 » 05.08,,,Vuelta a Burgos (2.1) ,,,,2004
,23,,Points classification ,,,,2004
,10,,General classification ,,40,,2004
05.08,56,,Stage 4 - Miranda de Ebro  › Burgos  ,171,,,2004
04.08,9,10,Stage 3 - Vilviestre del Pinar  › Lagunas de Neila ,139,,,2004
03.08,72,14,Stage 2 - Lerma › Aranda de Duero ,170,,,2004
02.08,14,14,Stage 1 - Burgos  › Poza de la Sal (Altotero) ,149,,,2004
23.07 » 25.07,,,Brixia Tour (2.3) ,,,,2004
25.07,DNF,,Stage 3 - Bettole di Buffalora › Manerbio ,192.5,,,2004
24.07,107,37,Stage 2b - Pisogne › Darfo Boario Terme ,82.7,,,2004
24.07,36,,Stage 2a - Darfo Boario Terme › Val Palot ,83.3,,,2004
23.07,30,30,Stage 1 - San Vigilio di Concesio › Toscolano Maderno ,159,,,2004
27.06,1,,National Championships Czech Republic - Road Race (NC) ,198,15,,2004
24.06,2,,National Championships Czech Republic - ITT (NC) ,43,7,,2004
08.05 » 30.05,,,Giro d'Italia (GT) ,,,,2004
15.05,DNS,,Stage 7 - Frosinone › Montevergine di Mercogliano ,214,,,2004
14.05,95,35,Stage 6 - Spoleto › Valmontone ,164,,,2004
13.05,60,31,Stage 5 - Civitella in Val di Chiana › Spoleto ,177,,,2004
12.05,95,31,Stage 4 - Porretta Terme › Civitella in Val di Chiana ,184,,,2004
11.05,35,31,Stage 3 - Pontremoli › Corno alle Scale ,191,,,2004
10.05,33,16,Stage 2 - Novi Ligure › Pontremoli ,184,,,2004
09.05,132,31,Stage 1 - Genova › Alba ,143,,,2004
08.05,19,19,Prologue - Genova › Genova ,6.9,,,2004
20.04 » 23.04,,,Giro del Trentino (2.2) ,,,,2004
,29,,General classification ,,,,2004
23.04,83,,Stage 4 - Terme di Comano › Arco ,168.8,,,2004
22.04,7,31,Stage 3 - Roncone Breguzzo › Fiavè ,165,2,,2004
21.04,39,35,Stage 2 - Livo Val di Non › Roncone ,171.5,,,2004
20.04,37,38,Stage 1 - Arco › Marcena di Rumo val di Non ,168.5,,,2004
09.04 » 12.04,,,Settimana Ciclista Lombarda (2.5) ,,,,2004
,42,,General classification ,,,,2004
12.04,48,,Stage 4 - Carobbio degli Angeli › Bergamo ,157,,,2004
11.04,85,48,Stage 3 - Seriate › Stezzano ,185,,,2004
10.04,46,47,Stage 2 - Roncadelle › Roncadelle ,162,,,2004
09.04,47,47,Stage 1 (ITT) - Casazza › Colle Gallo ,6.6,,,2004
12.10,DNF,,World Championships - Road Race (WC) ,260.4,,,2003
17.09 » 21.09,,,International Rheinland-Pfalz Rundfahrt (2.1) ,,,,2003
20.09,2,,Stage 4 - Saarburg  › Kaiserslautern ,193.7,12,,2003
27.08 » 31.08,,,Okolo Slovenska (2.3) ,,,,2003
,1,,General classification ,,25,,2003
31.08,1,,Stage 5 (ITT) - Stary Smokovec › Stary Smokovec ,31.7,5,,2003
30.08,1,,Stage 4 - Eurocamp FICC › Tatranska Lomnica ,191.4,5,,2003
29.08,25,,Stage 3 - Banska Stiavnica › Strbske Pleso ,221,,,2003
28.08,20,,Stage 2 - Zilina › Banska Stiavnica ,178.1,,,2003
27.08,49,,Stage 1 - Zilina › Zilina ,179.3,,,2003
27.06,3,,National Championships Czech Republic - ITT (NC) ,45,2,,2003
16.06 » 25.06,,,Tour de Suisse () ,,,,2003
,32,,Points classification ,,,,2003
,9,,General classification ,,80,,2003
25.06,66,,"Stage 9 - 
Stäfa › Aarau ",152,,,2003
24.06,11,10,"Stage 8 (ITT) - 
Gossau › Gossau ",32.5,,,2003
23.06,42,10,"Stage 7 - 
Savognin › Oberstaufen(D) ",231,,,2003
22.06,6,10,"Stage 6 - 
Silvaplana › Silvaplana ",135,7,,2003
21.06,15,12,"Stage 5 - 
Ascona › La Punt ",177.8,,,2003
20.06,20,13,"Stage 4 - 
Visp › Losone ",168,,,2003
19.06,12,13,"Stage 3 - 
Nyon › Saas Fee ",205,,,2003
18.06,92,20,"Stage 2 - 
Murten › Nyon ",175,,,2003
17.06,23,20,"Stage 1 - 
Egerkingen › Le Locle ",163,,,2003
16.06,26,26,Prologue - Egerkingen › Egerkingen ,6.5,,,2003
29.05 » 01.06,,,Tour de Luxembourg (2.2) ,,,,2003
,11,,General classification ,,12,7,2003
01.06,18,,Stage 5 - Wiltz › Diekirch ,169,,,2003
31.05,11,13,Stage 4 (ITT) - Bettembourg › Bettembourg ,9.8,,,2003
31.05,43,42,Stage 3 - Mersch › Echternach ,98,,,2003
30.05,79,56,Stage 2 - Wasserbillig › Leudelange ,204,,,2003
29.05,59,59,Stage 1 - Luxembourg › Luxembourg ,163,,,2003
09.05 » 17.05,,,Course de la Paix (2.2) ,,,,2003
,6,,Mountains classification ,,,,2003
,2,,General classification ,,70,,2003
17.05,61,,Stage 9 - Bad Elster › Erfurt ,160.5,,,2003
16.05,17,2,Stage 8 - Freyburg › Klingentahl ,187,,,2003
15.05,41,2,Stage 7 - Lübben › Naumburg ,213.6,,,2003
14.05,46,2,Stage 6 - Krosno › Frankfurt ,146.6,,,2003
13.05,57,2,Stage 5 - Jawor › Zielona Gora ,212.8,,,2003
12.05,1,2,Stage 4 - Kłodzko › Wałbrzych ,179.4,20,,2003
11.05,35,49,Stage 3 - Krnov › Polanica-Zdroj ,191.3,,,2003
10.05,60,66,Stage 2 - Unicov › Opava ,155.4,,,2003
09.05,64,67,Stage 1 - Olomouc › Olomouc ,111.3,,,2003
23.04 » 27.04,,,Niedersachsen-Rundfahrt (2.3) ,,,,2003
,56,,General classification ,,,,2003
27.04,79,,Stage 5 - Bückeburg › Peine ,143.4,,,2003
26.04,52,28,Stage 4 - Göttingen › Bückeburg ,188.8,,,2003
25.04,80,30,Stage 3 - Osterode › Göttingen ,176.1,,,2003
24.04,41,31,Stage 2 - Goslar › Osterode ,206.6,,,2003
23.04,99,42,Stage 1b - Wolfsburg › Goslar ,102.2,,,2003
