date,result ranking,general classification,race name,distance,PCS point,UCI point,year
28.02,3,,National Championships Uruguay  - Road Race (NC),170,7,20,2021
18.03 » 27.03,,,Vuelta Ciclista del Uruguay (2.2),,,,2016
,32,,General classification,,,,2016
27.03,50,,Stage 10 - San Carlos › Montevideo ,168.2,,,2016
26.03,20,35,Stage 9 - Mariscala › Rocha,159.1,,,2016
25.03,47,40,Stage 8 - Melo › Treinta y Tres,70,,,2016
24.03,51,37,Stage 7 (ITT) - Melo › Melo,32.2,,,2016
23.03,34,25,Stage 6 - Durazno › Tacuarembo,203,,,2016
22.03,74,28,Stage 5 - Young › Durazno,164.1,,,2016
21.03,47,29,Stage 4 - Carmelo › Mercedes,173.9,,,2016
20.03,37,25,Stage 3b - Santa Lucia › Colonia,143,,,2016
20.03,5,27,Stage 3a (TTT) - Canelonos › Santa Lucia,11.4,1,,2016
19.03,42,44,Stage 2 - Minas › Florida,143,,,2016
18.03,52,52,Stage 1 - Montevideo › Minas,109.2,,,2016
30.03 » 08.04,,,Vuelta Ciclista al Uruguay (2.2),,,,2012
,62,,General classification,,,,2012
08.04,85,,Stage 10 - Trinidad  › Montevideo,198.3,,,2012
07.04,76,57,Stage 9 - Montevideo  › Durazno,185,,,2012
06.04,54,52,Stage 8 (ITT) - Montevideo › Montevideo,31,,,2012
05.04,62,51,Stage 7 - Treinta y Tres  › Minas,165.9,,,2012
04.04,42,13,Stage 6 - Ansina  › Melo,146.1,,,2012
03.04,65,28,Stage 5 - Tacuarembó › Tacuarembó,141.1,,,2012
02.04,24,21,Stage 4 - Paysandú  › Salto,113.5,,,2012
01.04,26,21,Stage 3 -  Mercedes  › Paysandú,173.5,,,2012
31.03,20,19,Stage 2 - Cardona  › Fray Bentos,165.1,,,2012
30.03,16,18,Stage 1 - Montevideo  › Trinidad,188.1,,,2012
21.02 » 25.02,,,Rutas de América (2.2),,,,2012
, 4 ,,Mountains classification,,,,2012
, 4 ,,Points classification,,,,2012
, 8 ,,General classification,,3,,2012
,8,,General classification,,,,2012
25.02, 14 ,,Stage 6 - Trinidad › Montevideo,203.6,,,2012
25.02, 8 ,,Stage 5 - Paso de los Toros › Trinidad,105.3,,,2012
