date,result ranking,general classification,race name,distance,PCS point,UCI point,year
01.05 » 07.05,,,Volta ao Alentejo () ,,,,1995
03.05,3,,Stage 3 - Pias › Moura ,191,1,,1995
02.05,2,,Stage 2 - Beja › Vila Nova ,170,2,,1995
01.05 » 08.05,,,Volta ao Alentejo () ,,,,1994
08.05,1,,Stage 8 ,,5,,1994
15.04 » 22.04,,,Volta ao Algarve () ,,,,1994
17.04,1,,Stage 3 ,154,20,,1994
04.08 » 18.08,,,Volta a Portugal () ,,,,1993
16.08,2,,Stage 13 - Mondim de Basto › Vagos ,170.3,12,,1993
05.08,1,,Stage 2 - Alcoutim › Évora ,174.2,20,,1993
04.08,2,,Stage 1 - Loulé › Tavira ,137.2,12,,1993
02.05 » 07.05,,,Grande Prémio Jornal de Notícias () ,,,,1993
04.05,1,,Stage 3 ,,20,,1993
15.04 » 21.04,,,Volta ao Algarve () ,,,,1993
,10,,General classification ,,14,,1993
21.04,1,,Stage 7 ,,20,,1993
15.04,1,,Stage 1 ,,20,,1993
04.04 » 10.04,,,Volta ao Alentejo () ,,,,1993
05.04,1,,Stage 2 ,,5,,1993
04.08 » 18.08,,,Volta a Portugal () ,,,,1992
06.08,1,,Stage 3 - Lisbon › Almada ,150.8,20,,1992
01.05 » 08.05,,,Volta ao Alentejo () ,,,,1992
04.05,1,,Stage 4 ,,5,,1992
15.04 » 22.04,,,Volta ao Algarve () ,,,,1992
22.04,1,,Stage 8 ,,20,,1992
20.04,1,,Stage 6 ,,20,,1992
15.04,1,,Stage 1 ,,20,,1992
04.08 » 18.08,,,Volta a Portugal () ,,,,1991
13.08,1,,Stage 10 - Costa Nova › Guimarães ,150,20,,1991
10.08,5,,Stage 7 - Mirandela › Chaves ,183,4,,1991
08.07 » 13.07,,,GP Int. Torres Vedras - Trofeu Joaquim Agostinho () ,,,,1991
,10,,General classification ,,1,,1991
12.06 » 16.06,,,Tour de Luxembourg () ,,,,1991
14.06,2,,Stage 3b (ITT) - Luxembourg › Luxembourg ,1,12,,1991
29.04 » 19.05,,,Vuelta a España () ,,,,1991
10.05,OTL,,Stage 12 - Bossost › Cerler ,111,,,1991
02.05 » 08.05,,,Grande Prémio Jornal de Notícias () ,,,,1991
08.05,1,,Stage 6 ,,20,,1991
01.05 » 07.05,,,Volta ao Alentejo () ,,,,1991
07.05,1,,Stage 6 ,219,5,,1991
30.04,15,,Stage 2a - Mérida › Cáceres ,134.5,1,,1991
15.04 » 19.04,,,Volta ao Algarve () ,,,,1991
17.04,4,,Stage 3 - São Brás Alportel › Vila do Bispo ,207,5,,1991
16.04,2,,Stage 2 - Loulé  › Albufeira ,175,12,,1991
15.04,2,,Stage 1 - Monte Gordo › Castro Marim ,150,12,,1991
05.02 » 10.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol () ,,,,1991
10.02,6,,Stage 6 - Torredonjimeno › Granada ,133,3,,1991
06.02,9,,Stage 2 - San Fernando › Dos Hermanas ,174,,,1991
29.07 » 15.08,,,Volta a Portugal () ,,,,1990
,28,,General classification ,,,,1990
13.08,2,,Stage 14 - Mondim de Basto › Viana do Castelo ,152.8,12,,1990
11.08,1,,Stage 12 - Lamego › Macedo de Cavaleiros ,140.6,20,,1990
09.08,1,,Stage 10 - Fundão › Covilhã ,165.5,20,,1990
06.08,4,,Stage 8 - Marinha Grande › Tondela ,185.7,5,,1990
03.08,4,,Stage 5 - Sintra › Caldas da Rainha ,157.5,5,,1990
02.08,3,,Stage 4 - Évora › Terrugem ,202.3,7,,1990
01.08,2,,Stage 3 - Vila Real de Santo António › Évora ,201,12,,1990
31.07,2,,Stage 2 - Loulé › Monte Gordo ,165.1,12,,1990
30.07,1,,Stage 1 - Alcácer do Sal › Loulé ,191.2,20,,1990
01.05 » 08.05,,,Volta ao Alentejo () ,,,,1990
06.05,1,,Stage 6 ,,5,,1990
05.05,1,,Stage 5 ,,5,,1990
15.04 » 23.04,,,Volta ao Algarve () ,,,,1990
17.04,1,,Stage 3 ,,20,,1990
27.08,DNF,,World Championships - Road Race (WC) ,259.35,,,1989
23.07 » 11.08,,,Volta a Portugal () ,,,,1989
,28,,General classification ,,,,1989
10.08,2,,Stage 20 - Mondim de Basto › Matosinhos ,152,12,,1989
06.08,4,,Stage 16 - Vilar Formoso › Srª do Castelo - Mangualde ,167,5,,1989
01.08,5,,Stage 10 ,,4,,1989
29.07,2,,Stage 7 ,,12,,1989
28.07,2,,Stage 6 ,,12,,1989
25.07,3,,Stage 2 - Vila Real › Monte Faro ,198,7,,1989
18.06 » 24.06,,,Grande Prémio Jornal de Notícias () ,,,,1989
20.06,3,,Stage 2 - Trancoso › Moncorvo ,125.5,7,,1989
18.06,7,,Prologue - Figueira da Foz › Figueira da Foz ,4.4,2,,1989
24.04 » 15.05,,,Vuelta a España () ,,,,1989
26.04,7,,Stage 3b - Vigo › Orense ,101,12,,1989
28.07 » 14.08,,,Volta a Portugal () ,,,,1988
,41,,General classification ,,,,1988
14.08,3,,Stage 17b ,,7,,1988
13.08,4,,Stage 16 - Mondim de Basto › Marco de Canaveses ,89,5,,1988
08.08,3,,Stage 11 - Manteigas › Almeida ,169,7,,1988
05.08,2,,Stage 8 - Redondo › Castelo de Vide ,155,12,,1988
02.08,1,,Stage 5 - Sintra › Grândola ,187,20,,1988
29.07,2,,Stage 1 - Santa Maria da Feira › Águeda ,139.5,12,,1988
18.06 » 26.06,,,Grande Prémio Jornal de Notícias () ,,,,1988
25.06,1,,Stage 7 ,,20,,1988
25.04 » 15.05,,,Vuelta a España () ,,,,1988
,98,,General classification ,,20,,1988
15.05,2,,Stage 21 - Collado Villalba › Madrid ,202,50,,1988
09.04 » 16.04,,,Volta ao Alentejo () ,,,,1988
16.04,1,,Stage 8 - Montemor-o-Novo › Évora ,170,5,,1988
12.04,1,,Stage 4 - Sines › Moura ,207,5,,1988
10.04,1,,Stage 2b - Almodôvar › Beja ,65,5,,1988
28.07 » 12.08,,,Volta a Portugal () ,,,,1987
,27,,General classification ,2745,,,1987
11.08,3,,Stage 14 - Mondim de Basto › Marco de Canaveses ,88,7,,1987
09.08,2,,Stage 12 - Vila Pouca de Aguiar › Praia da Amorosa ,178,12,,1987
08.08,1,,Stage 11b - Macedo de Cavaleiros › Vila Pouca de Aguiar ,96,20,,1987
07.08,1,,Stage 10 - Gouveia › Macedo de Cavaleiros ,225,20,,1987
01.08,2,,Stage 4b - Monchique › Loulé ,112,12,,1987
29.07,2,,Stage 1 - Águeda › Marinha Grande ,203,12,,1987
02.07 » 10.07,,,GP Int. Torres Vedras - Trofeu Joaquim Agostinho () ,,,,1987
07.07,1,,Stage 5 ,,5,,1987
18.06 » 26.06,,,Grande Prémio Jornal de Notícias () ,,,,1987
26.06,1,,Stage 8 ,,20,,1987
19.05 » 24.05,,,Volta ao Alentejo () ,,,,1987
23.05,1,,Stage 5 - Grândola › Montemor-o-Novo ,215,5,,1987
20.05,1,,Stage 2b - Reguengos de Monsaraz › Moura ,85,5,,1987
