date,result ranking,general classification,race name,distance,PCS point,UCI point,year
24.04 » 27.04,,,Giro del Trentino (2.2) ,,,,2003
26.04,DNF,,Stage 3 - Fondo › Levico Terme ,165.4,,,2003
25.04,90,91,Stage 2 - Moena › Ronzone ,166.5,,,2003
24.04,64,65,Stage 1 - Arco › Moena ,170.5,,,2003
17.04 » 21.04,,,Settimana Ciclista Lombarda (2.5) ,,,,2003
,59,,General classification ,,,,2003
21.04,61,,Stage 5 - Carobbio degli Angeli › Bergamo ,157,,,2003
20.04,41,55,Stage 4 - Castione della Presolana › Clusone ,153.6,,,2003
19.04,43,61,Stage 3 - Roncadelle › Roncadelle ,162,,,2003
18.04,93,98,Stage 2 (ITT) - Almenno San Bartolomeo › Roncola San Bartolomeo ,7.6,,,2003
17.04,61,61,Stage 1 - Alzate Brianza › Alzate Brianza ,151.3,,,2003
23.03,OTL,,Stausee Rundfahrt (1.3) ,188,,,2003
16.03,30,,"Giro del Lago Maggiore ""GP Knorr"" (1.5) ",176,,,2003
07.08 » 11.08,,,Vuelta Ciclista a León (2.2) ,,,,2002
08.08,1,,Stage 2 - Cistierna › Cistierna ,154,5,,2002
07.08,3,,Vuelta Ciclista a León (2.2) ,,14,,2001
12.10,75,,World Championships U23 - Road Race (WC) ,168,,,1996
31.07,69,,Olympic Games Road Race (Olympics) ,221.85,15,,1996
