date,result ranking,general classification,race name,distance,PCS point,UCI point,year
27.08,17,,Commonwealth Games - Road Race (JR) ,180,,,1994
02.07 » 24.07,,,Tour de France () ,,,,1994
,18,,Points classification ,,,,1994
,69,,General classification ,,25,,1994
24.07,11,,Stage 21 - Disneyland-Paris › Paris ,175,8,,1994
23.07,4,,Stage 20 - Morzine-Avoriaz › Lac Saint Point-Malbuisson ,208.5,40,,1994
22.07,76,,Stage 19 (ITT) - Cluses › Avoriaz ,47.5,,,1994
21.07,40,,Stage 18 - Moutiers › Cluses ,174.5,,,1994
20.07,77,,Stage 17 - Bourg D'oisans › Val Thorens ,149,,,1994
19.07,49,,Stage 16 - Valréas › L'alpe D'huez ,224.5,,,1994
18.07,97,,Stage 15 - Montpellier › Carpentras ,231,,,1994
17.07,49,,Stage 14 - Castres › Montpellier ,202,,,1994
16.07,25,,Stage 13 - Bagnères De Bigorre › Albi ,223,,,1994
15.07,91,,Stage 12 - Lourdes › Luz Ardiden ,204.5,,,1994
13.07,93,,Stage 11 - Cahors › Hautacam ,263.5,,,1994
12.07,97,,Stage 10 - Bergerac › Cahors ,160.5,,,1994
11.07,53,,Stage 9 (ITT) - Périgueux › Bergerac ,64,,,1994
10.07,38,,Stage 8 - Poitiers › Trélissac ,218.5,,,1994
09.07,38,,Stage 7 - Rennes › Futuroscope ,259.5,,,1994
08.07,16,,Stage 6 - Cherbourg › Rennes ,270.5,,,1994
07.07,46,,Stage 5 - Portsmouth › Portsmouth ,187,,,1994
06.07,13,,Stage 4 - Dover › Brighton ,204.5,4,,1994
05.07,2,,Stage 3 (TTT) - Calais › Eurotunnel ,66.5,40,,1994
04.07,18,,Stage 2 - Roubaix › Boulogne-Sur-Mer ,203.5,,,1994
03.07,41,,Stage 1 - Lille-Euralille › Armentières ,234,,,1994
02.07,132,132,Prologue - Lille-Euralille › Lille-Euralille ,7.2,,,1994
14.06 » 23.06,,,Tour de Suisse () ,,,,1994
,30,,General classification ,,5,,1994
15.06,2,,Stage 1 - Yverdon › Thun ,161.5,30,,1994
30.05 » 02.06,,,Tour de Luxembourg () ,,,,1994
,9,,General classification ,,16,,1994
08.04 » 15.05,,,Tour DuPont () ,,,,1994
,15,,General classification ,,20,,1994
07.04 » 11.04,,,Vuelta Ciclista al Pais Vasco () ,,,,1994
,54,,General classification ,,5,,1994
08.04,10,,Stage 2 - Mondragon › Vitoria  ,185,1,,1994
29.03 » 31.03,,,KBC Driedaagse van De Panne-Koksijde () ,,,,1994
,105,,General classification ,,,,1994
19.03,82,,Milano-Sanremo (CDM) ,294,5,,1994
20.02,3,,Trofeo Luis Puig () ,201,40,,1994
16.02,3,,Monte Carlo - Alassio () ,175.5,40,,1994
15.02,20,,Trofeo Laigueglia () ,158,1,,1994
03.10,41,,Paris - Tours (CDM) ,251,5,,1993
18.09,1,,GP Impanis () ,198,75,,1993
15.09,29,,Paris-Bruxelles () ,251.2,,,1993
12.09,49,,GP de Fourmies / La Voix du Nord () ,212,,,1993
09.08 » 13.08,,,Kellogg's Tour (2.1) ,,,,1993
,1,,General classification ,,100,,1993
29.08,DNF,,World Championships - Road Race (WC) ,257.6,,,1993
22.08,43,,Zuri Metzgete (CDM) ,239.2,5,,1993
15.08,14,,Wincanton Classic (CDM) ,231,26,,1993
09.08,1,,Stage 1 - Portsmouth › Bath ,160,20,,1993
03.07 » 26.07,,,Tour de France () ,,,,1993
,84,,General classification ,,25,,1993
26.07,6,,Stage 20 - Viry-Châtillon  › Paris ,196.5,26,,1993
25.07,117,,Stage 19 (ITT) - Brétigny-Sur-Orge  › Montlhéry ,48,,,1993
24.07,36,,Stage 18 - Orthez › Bordeaux ,199.5,,,1993
23.07,92,,Stage 17 - Tarbes › Pau ,190,,,1993
22.07,50,,Stage 16 - Andorra › Pla d'Adet ,230,,,1993
19.07,92,,Stage 15 - Perpignan › Pal ,231.5,,,1993
18.07,73,,Stage 14 - Montpellier › Perpignan ,223,,,1993
17.07,51,,Stage 13 - Marseille › Montpellier ,181.5,,,1993
16.07,76,,Stage 12 - Isola › Marseille ,286,,,1993
15.07,96,,Stage 11 - Serre Chevalier › Isola 2000 ,179,,,1993
14.07,107,,Stage 10 - Villard De Lans › Serre Chevalier ,203,,,1993
12.07,52,,Stage 9 (ITT) - Lac De Madine › Lac De Madine ,59,,,1993
11.07,47,,Stage 8 - Châlons Sur Marne › Verdun ,184.5,,,1993
10.07,6,,Stage 7 - Péronne › Châlons Sur Marne ,199,26,,1993
09.07,34,,Stage 6 - Évreux › Amiens ,158,,,1993
08.07,65,,Stage 5 - Avranches › Evreux ,225.5,,,1993
07.07,3,,Stage 4 (TTT) - Dinard › Avranches ,81,30,,1993
06.07,50,,Stage 3 - Vannes › Dinard ,189.5,,,1993
05.07,37,,Stage 2 - Les Sables › Vannes ,227.5,,,1993
04.07,41,,Stage 1 - Luçon › Les Sables ,215,,,1993
03.07,179,179,Prologue - Puy-du-Fou › Puy-du-Fou ,6.8,,,1993
15.06 » 22.06,,,Tour of Sweden () ,,,,1993
,1,,General classification ,,100,,1993
20.06,4,,Stage 5 (ITT) - Burseryd › Burseryd ,34.1,5,,1993
19.06,1,,Stage 4 - Hamstad › Huskvarna ,200,20,,1993
17.06,3,,Stage 2 - Kristianstad › Helsingborg ,200,7,,1993
10.06 » 13.06,,,Tour de Luxembourg () ,,,,1993
,7,,General classification ,,20,,1993
24.04,24,,Amstel Gold Race (CDM) ,249,11,,1993
21.04,21,,Scheldeprijs () ,208,5,,1993
18.04,97,,Liège - Bastogne - Liège (CDM) ,261,5,,1993
04.04 » 08.04,,,Vuelta Ciclista al Pais Vasco () ,,,,1993
,60,,General classification ,,5,,1993
06.04,5,,Stage 3 - Vera de Bidasoa  › Vitoria ,195,10,,1993
04.04,4,,Stage 1 - Rentería  › Rentería  ,135.5,13,,1993
27.03 » 28.03,,,Critérium International () ,,,,1993
,78,,General classification ,,,,1993
17.02,39,,Trofeo Laigueglia () ,160,,,1993
15.10,16,,Gran Piemonte () ,194,5,,1992
13.10,19,,Milano-Torino () ,206,7,,1992
11.10,6,,Paris - Tours (CDM) ,286.5,70,,1992
04.10,31,,Grand Prix Téléglobe (CDM) ,224,5,,1992
23.09 » 27.09,,,Tour of Ireland () ,,,,1992
,1,,General classification ,,100,,1992
26.09,1,,Stage 4 - Limerick › Cork ,195,20,,1992
23.09,2,,Stage 1 - Dublin › Dundalk ,180,12,,1992
20.09,1,,Grand Prix d'Isbergues - Pas de Calais () ,210,75,,1992
16.09,3,,Paris-Bruxelles () ,246,60,,1992
16.09,25,,GP Impanis () ,193,,,1992
13.09,7,,GP de Fourmies / La Voix du Nord () ,210,35,,1992
10.08 » 14.08,,,Tour of Britain (2.1) ,,,,1992
,10,,General classification ,,14,,1992
