date,result ranking,general classification,race name,distance,PCS point,UCI point
31.03, 21 ,,Gran Premio Miguel Indurain (1.1),189.1,,3
22.03 » 25.03,,,Settimana Internazionale Coppi e Bartali (2.1),,,
, 54 ,,General classification,,,
25.03, 83 ,,Stage 4 (ITT) - Fiorano Modenese › Montegibbio,12.5,,
24.03, 148 ,54,Stage 3 - Crevalcore › Crevalcore,171,,
23.03, 12 ,18,Stage 2 - Riccione › Sogliano al Rubicone,130,,
22.03, 68 ,68,Stage 1a - Gatteo › Gatteo,97.8,,
22.03,15,57,Stage 1b (TTT) - Gatteo a Mare › Gatteo,13.3,,
04.03 » 11.03,,,Paris - Nice (2.UWT),,,
, 16 ,,Points classification,,,
, 22 ,,General classification,,,
11.03, 36 ,,Stage 8 - Nice › Nice,110,,
10.03, 22 ,20,Stage 7 - Nice › Valdeblore La Colmiane,175,,
09.03, 17 ,25,Stage 6 - Sisteron › Vence,198,,
08.03, 55 ,35,Stage 5 - Salon-de-Provence › Sisteron,163.5,,
07.03, 73 ,40,Stage 4 (ITT) - La Fouillouse › Saint-Étienne,18.4,,
06.03, 3 ,32,Stage 3 - Bourges › Châtel-Guyon,210,,
05.03, 61 ,58,Stage 2 - Orsonville › Vierzon,187,,
04.03, 62 ,62,Stage 1 - Chatou › Meudon,135,,
17.02 » 18.02,,,Tour Cycliste International du Haut Var Matin (2.1),,,
,23,,Points classification,,,
,12,,General classification,,10,10
18.02,17,,Stage 2 - Vidauban › Flayosc,188.5,,
17.02,14,14,Stage 1 - le Cannet-des-Maures  › Fayence,169.7,,
08.02 » 11.02,,,Tour Cycliste International La Provence (2.1),,,
,8,,Mountains classification,,,
,4,,Points classification,,,
,13,,General classification,,8,5
11.02,53,,Stage 3 - Aix en Provence › Marseille,166.7,,
10.02,1,13,Stage 2 - La Ciotat › Gémenos/Col de l'Espigoulier,144.5,20,14
09.02,82,90,Stage 1 - Aubagne › Istres,165.9,,
08.02,94,94,Prologue - Castellet › Castellet,5.8,,
31.01 » 04.02,,,Etoile de Bessèges (2.1),,,
,1,,Mountains classification,,,
,16,,Points classification,,,
,53,,General classification,,,
04.02,57,,Stage 5 (ITT) - Alès › Alès,10.7,,
03.02,73,57,Stage 4 - Chusclan › Laudun L'ardoise,152.9,,
02.02,47,40,Stage 3 - Bessèges › Bessèges,152.6,,
01.02,56,50,Stage 2 - Nimes › Générac,148.3,,
31.01,30,33,Stage 1 - Bellegarde › Beaucaire,157,,
28.01,6,,Grand Prix Cycliste la Marseillaise (1.1),145.3,24,40
08.10,44,,Paris-Tours Elite (1.HC),234.5,,
30.09 » 01.10,,,Tour of Almaty (2.1),,,
,8,,Mountains classification,,,
,3,,Points classification,,,
,2,,General classification,,70,85
01.10,5,,Stage 2 - Almaty › Almaty,160.5,4,
30.09,2,2,Stage 1 - Almaty › Almaty,171.2,12,5
23.09 » 24.09,,,Tour du Gévaudan Languedoc-Roussillon (2.2),,,
,17,,General classification,,,
24.09,20,,Stage 2 - Mende › Mende,146,,
23.09,14,14,Stage 1 - Mende › Col de la Pierre-Plate (Florac) ,138.5,,
14.09,34,,Coppa Bernocchi (1.1),194,,
13.09,26,,Coppa Agostoni - Giro delle Brianze (1.1),199.9,,
10.09,36,,Tour du Doubs (1.1),182,,
09.09,15,,Tour du Jura (1.2),174.1,,
15.08 » 18.08,,,Tour du Limousin (2.1),,,
15.08,DNF,,Stage 1 - Panazol › Rochechouart,168,,
01.08 » 05.08,,,Vuelta a Burgos (2.HC),,,
,69,,General classification,,,
05.08,118,,Stage 5 - Comunero de Revenga › Lagunas de Neila,136,,
04.08,45,47,Stage 4 - Bodegas Nabal › Clunia,147,,
03.08,63,55,Stage 3 - Oja Guareña › Picón Blanco,173,,
02.08,66,40,Stage 2 - Oña › Belorado,153,,
01.08,31,31,Stage 1 - Burgos › Burgos,151,,
31.07,DNF,,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1),170,,
25.07,19,,Prueba Villafranca-Ordiziako Klasika (1.1),165.7,2,3
02.07 » 08.07,,,Int. Österreich-Rundfahrt-Tour of Austria (2.1),,,
,10,,Mountains classification,,,
,35,,Points classification,,,
,31,,General classification,,,
08.07,61,,Stage 6 - St. Johann - Alpenbdorf › Wels,203.9,,
07.07,34,29,Stage 5 - Kitzbühel › St. Johann - Alpenbdorf,212.5,,
06.07,30,29,Stage 4 - Salzburg › Kitzbüheler Horn,82.7,,
05.07,60,40,Stage 3 - Wieselburg › Altheim,226.2,,
04.07,23,40,Stage 2 - Wieselburg › Pöggstall,199.6,,
03.07,80,87,Stage 1 - Graz › Wien,193.8,,
02.07,82,82,Prologue - Graz › Schlossberg,0.8,,
25.06,39,,National Championships France - Road Race (NC),248,,
15.06 » 18.06,,,Route du Sud Cycliste - La Dépêche du Midi (2.1),,,
,30,,General classification,,,
18.06,47,,Stage 4 - Gers - Saint Michel › Nogaro,154.8,,
17.06,29,30,Stage 3 - Saint-Gaudens › Gavarnie-Gèdre,167,,
