date,result ranking,general classification,race name,distance,PCS point,UCI point,year
24.04,DNF,,Liège-Bastogne-Liège (1.UWT),257.2,,,2022
20.04,119,,La Flèche Wallonne (1.UWT),202.1,5,,2022
17.04,81,,Paris-Roubaix (1.UWT),257.2,5,,2022
13.04,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),205.1,,,2022
10.04,118,,Amstel Gold Race (1.UWT),254.1,5,,2022
22.03 » 26.03,,,Settimana Internazionale Coppi e Bartali (2.1),,,,2022
26.03,DNF,,Stage 5 - Casalguidi › Cantagrillo,160,,,2022
25.03,67,85,Stage 4 - Montecatini › Montecatini,158.7,,,2022
24.03,65,82,Stage 3 - San Marino › San Marino,147,,,2022
23.03,67,86,Stage 2 - Riccione › Longiano,165.9,,,2022
22.03,89,89,Stage 1 - Riccione › Riccione,164.6,,,2022
30.01,56,,Trofeo Playa de Palma - Palma (1.1),169.1,,,2022
29.01,94,,Trofeo Pollença - Port d'Andratx (1.1),170.1,,,2022
28.01,88,,Trofeo Serra de Tramuntana (1.1),158.9,,,2022
27.01,46,,Trofeo Alcúdia - Port d'Alcúdia (1.1),173.2,,,2022
11.10,33,,Coppa Agostoni - Giro delle Brianze (1.1),180,,,2021
09.10,73,,Il Lombardia (1.UWT),239,5,,2021
06.10,81,,Milano - Torino (1.Pro),190,,,2021
05.10,37,,Tre Valli Varesine (1.Pro),196.7,,3,2021
28.09 » 01.10,,,Giro di Sicilia - Tour of Sicily (2.1),,,,2021
,26,,General classification,,,,2021
01.10,25,,Stage 4 - Sant'Agata di Militello › Mascali,180,,,2021
30.09,35,35,Stage 3 - Termini Imerese › Caronia,180,,,2021
29.09,26,43,Stage 2 - Selinunte › Mondello,173,,,2021
28.09,66,69,Stage 1 - Avola › Licata,179,,,2021
19.09,35,,Eschborn-Frankfurt (1.UWT),187.4,5,5,2021
05.09 » 12.09,,,Tour of Britain (2.Pro),,,,2021
,46,,General classification,,,,2021
12.09,54,,Stage 8 - Stonehaven › Aberdeen,173,,,2021
11.09,44,47,Stage 7 - Hawick › Edinburgh,194.8,,,2021
10.09,44,49,Stage 6 - Carlisle  › Gateshead,198,,,2021
09.09,39,51,Stage 5 - Alderley Park › Warrington,152.2,,,2021
08.09,42,52,"Stage 4 - Aberaeron › Great Orme, Llandudno",210,,,2021
07.09,4,61,Stage 3 (TTT) - Carmarthenshire (Llandeilo) › Carmarthenshire (National Botanic Garden of Wales),18.2,6,,2021
06.09,48,62,Stage 2 - Sherford › Exeter,183.9,,,2021
05.09,89,89,Stage 1 - Penzance › Bodmin,180.8,,,2021
26.08 » 29.08,,,Deutschland Tour (2.Pro),,,,2021
,58,,General classification,,,,2021
29.08,75,,Stage 4 - Erlangen › Nürnberg,156.3,,,2021
28.08,49,43,Stage 3 - Ilmenau  › Erlangen,193.9,,,2021
27.08,45,45,Stage 2 - Sangerhausen › Ilmenau,180.6,,,2021
26.08,53,56,Stage 1 - Stralsund › Schwerin,191.4,,,2021
31.07,93,,Donostia San Sebastian Klasikoa (1.UWT),223.5,5,,2021
26.06 » 18.07,,,Tour de France (2.UWT),,,,2021
,62,,Mountains classification,,,,2021
,124,,Points classification,,,,2021
,136,,General classification,,25,,2021
18.07,77,,Stage 21 - Chatou › Paris Champs-Élysées,108.4,,,2021
17.07,104,137,Stage 20 (ITT) - Libourne › Saint-Émilion,30.8,,,2021
16.07,72,137,Stage 19 - Mourenx › Libourne,207,,,2021
15.07,128,139,Stage 18 - Pau › Luz Ardiden,129.7,,,2021
14.07,128,139,Stage 17 - Muret › Saint-Lary-Soulan (Col du Portet),178.4,,,2021
13.07,129,140,Stage 16 - El Pas de la Casa  › Saint-Gaudens,169,,,2021
11.07,125,141,Stage 15 - Céret › Andorra la Vella,191.3,,,2021
10.07,131,142,Stage 14 - Carcassonne › Quillan,183.7,,,2021
09.07,134,139,Stage 13 - Nîmes › Carcassonne,219.9,,,2021
